insumo,dep,cultivo,tipo,mes,ha,usd,estructura
Asistencia técnica,Áncash,acelga,transitorio,Abr,6.0,3.39,media de su familia
Fertilizante,Áncash,acelga,transitorio,May,7.0,953.26,media de su familia
Fitosanitario,Áncash,acelga,transitorio,May,7.0,607.05,media de su familia
Semilla,Áncash,acelga,transitorio,May,7.0,750.08,media de su familia
Riego,Áncash,acelga,transitorio,May,7.0,272.74,media de su familia
Abono orgánico,Áncash,acelga,transitorio,May,7.0,333.7,media de su familia
Asistencia técnica,Áncash,acelga,transitorio,May,7.0,3.95,media de su familia
Fertilizante,Áncash,acelga,transitorio,Jun,6.0,817.08,media de su familia
Fitosanitario,Áncash,acelga,transitorio,Jun,6.0,520.32,media de su familia
Semilla,Áncash,acelga,transitorio,Jun,6.0,642.92,media de su familia
Riego,Áncash,acelga,transitorio,Jun,6.0,233.78,media de su familia
Abono orgánico,Áncash,acelga,transitorio,Jun,6.0,286.03,media de su familia
Asistencia técnica,Áncash,acelga,transitorio,Jun,6.0,3.39,media de su familia
Fertilizante,Áncash,acelga,transitorio,Jul,6.0,817.08,media de su familia
Fitosanitario,Áncash,acelga,transitorio,Jul,6.0,520.32,media de su familia
Semilla,Áncash,acelga,transitorio,Jul,6.0,642.92,media de su familia
Riego,Áncash,acelga,transitorio,Jul,6.0,233.78,media de su familia
Abono orgánico,Áncash,acelga,transitorio,Jul,6.0,286.03,media de su familia
Asistencia técnica,Áncash,acelga,transitorio,Jul,6.0,3.39,media de su familia
Fertilizante,Arequipa,acelga,transitorio,Ago,9.0,1225.62,media de su familia
Fitosanitario,Arequipa,acelga,transitorio,Ago,9.0,780.49,media de su familia
Semilla,Arequipa,acelga,transitorio,Ago,9.0,964.38,media de su familia
Riego,Arequipa,acelga,transitorio,Ago,9.0,350.67,media de su familia
Abono orgánico,Arequipa,acelga,transitorio,Ago,9.0,429.04,media de su familia
Asistencia técnica,Arequipa,acelga,transitorio,Ago,9.0,5.08,media de su familia
Fertilizante,Arequipa,acelga,transitorio,Set,5.0,680.9,media de su familia
Fitosanitario,Arequipa,acelga,transitorio,Set,5.0,433.6,media de su familia
Semilla,Arequipa,acelga,transitorio,Set,5.0,535.77,media de su familia
Riego,Arequipa,acelga,transitorio,Set,5.0,194.81,media de su familia
Abono orgánico,Arequipa,acelga,transitorio,Set,5.0,238.36,media de su familia
Asistencia técnica,Arequipa,acelga,transitorio,Set,5.0,2.82,media de su familia
Fertilizante,Arequipa,acelga,transitorio,Oct,9.0,1225.62,media de su familia
Fitosanitario,Arequipa,acelga,transitorio,Oct,9.0,780.49,media de su familia
Semilla,Arequipa,acelga,transitorio,Oct,9.0,964.38,media de su familia
Riego,Arequipa,acelga,transitorio,Oct,9.0,350.67,media de su familia
Abono orgánico,Arequipa,acelga,transitorio,Oct,9.0,429.04,media de su familia
Asistencia técnica,Arequipa,acelga,transitorio,Oct,9.0,5.08,media de su familia
Fertilizante,Arequipa,acelga,transitorio,Nov,11.0,1497.98,media de su familia
Fitosanitario,Arequipa,acelga,transitorio,Nov,11.0,953.93,media de su familia
Semilla,Arequipa,acelga,transitorio,Nov,11.0,1178.69,media de su familia
Riego,Arequipa,acelga,transitorio,Nov,11.0,428.59,media de su familia
Abono orgánico,Arequipa,acelga,transitorio,Nov,11.0,524.39,media de su familia
Asistencia técnica,Arequipa,acelga,transitorio,Nov,11.0,6.21,media de su familia
Fertilizante,Arequipa,acelga,transitorio,Dic,12.0,1634.16,media de su familia
Fitosanitario,Arequipa,acelga,transitorio,Dic,12.0,1040.65,media de su familia
Semilla,Arequipa,acelga,transitorio,Dic,12.0,1285.84,media de su familia
Riego,Arequipa,acelga,transitorio,Dic,12.0,467.56,media de su familia
Abono orgánico,Arequipa,acelga,transitorio,Dic,12.0,572.06,media de su familia
Asistencia técnica,Arequipa,acelga,transitorio,Dic,12.0,6.78,media de su familia
Fertilizante,Arequipa,acelga,transitorio,Ene,13.0,1770.34,media de su familia
Fitosanitario,Arequipa,acelga,transitorio,Ene,13.0,1127.37,media de su familia
Semilla,Arequipa,acelga,transitorio,Ene,13.0,1393.0,media de su familia
Riego,Arequipa,acelga,transitorio,Ene,13.0,506.52,media de su familia
Abono orgánico,Arequipa,acelga,transitorio,Ene,13.0,619.73,media de su familia
Asistencia técnica,Arequipa,acelga,transitorio,Ene,13.0,7.34,media de su familia
Fertilizante,Arequipa,acelga,transitorio,Feb,9.0,1225.62,media de su familia
Fitosanitario,Arequipa,acelga,transitorio,Feb,9.0,780.49,media de su familia
Semilla,Arequipa,acelga,transitorio,Feb,9.0,964.38,media de su familia
Riego,Arequipa,acelga,transitorio,Feb,9.0,350.67,media de su familia
Abono orgánico,Arequipa,acelga,transitorio,Feb,9.0,429.04,media de su familia
Asistencia técnica,Arequipa,acelga,transitorio,Feb,9.0,5.08,media de su familia
Fertilizante,Arequipa,acelga,transitorio,Mar,3.0,408.54,media de su familia
Fitosanitario,Arequipa,acelga,transitorio,Mar,3.0,260.16,media de su familia
Semilla,Arequipa,acelga,transitorio,Mar,3.0,321.46,media de su familia
Riego,Arequipa,acelga,transitorio,Mar,3.0,116.89,media de su familia
Abono orgánico,Arequipa,acelga,transitorio,Mar,3.0,143.01,media de su familia
Asistencia técnica,Arequipa,acelga,transitorio,Mar,3.0,1.69,media de su familia
Fertilizante,Arequipa,acelga,transitorio,Abr,10.0,1361.8,media de su familia
Fitosanitario,Arequipa,acelga,transitorio,Abr,10.0,867.21,media de su familia
Semilla,Arequipa,acelga,transitorio,Abr,10.0,1071.54,media de su familia
Riego,Arequipa,acelga,transitorio,Abr,10.0,389.63,media de su familia
Abono orgánico,Arequipa,acelga,transitorio,Abr,10.0,476.71,media de su familia
Asistencia técnica,Arequipa,acelga,transitorio,Abr,10.0,5.65,media de su familia
Fertilizante,Arequipa,acelga,transitorio,May,7.0,953.26,media de su familia
Fitosanitario,Arequipa,acelga,transitorio,May,7.0,607.05,media de su familia
Semilla,Arequipa,acelga,transitorio,May,7.0,750.08,media de su familia
Riego,Arequipa,acelga,transitorio,May,7.0,272.74,media de su familia
Abono orgánico,Arequipa,acelga,transitorio,May,7.0,333.7,media de su familia
Asistencia técnica,Arequipa,acelga,transitorio,May,7.0,3.95,media de su familia
Fertilizante,Arequipa,acelga,transitorio,Jun,9.0,1225.62,media de su familia
Fitosanitario,Arequipa,acelga,transitorio,Jun,9.0,780.49,media de su familia
Semilla,Arequipa,acelga,transitorio,Jun,9.0,964.38,media de su familia
Riego,Arequipa,acelga,transitorio,Jun,9.0,350.67,media de su familia
Abono orgánico,Arequipa,acelga,transitorio,Jun,9.0,429.04,media de su familia
Asistencia técnica,Arequipa,acelga,transitorio,Jun,9.0,5.08,media de su familia
Fertilizante,Arequipa,acelga,transitorio,Jul,13.0,1770.34,media de su familia
Fitosanitario,Arequipa,acelga,transitorio,Jul,13.0,1127.37,media de su familia
Semilla,Arequipa,acelga,transitorio,Jul,13.0,1393.0,media de su familia
Riego,Arequipa,acelga,transitorio,Jul,13.0,506.52,media de su familia
Abono orgánico,Arequipa,acelga,transitorio,Jul,13.0,619.73,media de su familia
Asistencia técnica,Arequipa,acelga,transitorio,Jul,13.0,7.34,media de su familia
Fertilizante,Ica,acelga,transitorio,Oct,3.0,408.54,media de su familia
Fitosanitario,Ica,acelga,transitorio,Oct,3.0,260.16,media de su familia
Semilla,Ica,acelga,transitorio,Oct,3.0,321.46,media de su familia
Riego,Ica,acelga,transitorio,Oct,3.0,116.89,media de su familia
Abono orgánico,Ica,acelga,transitorio,Oct,3.0,143.01,media de su familia
Asistencia técnica,Ica,acelga,transitorio,Oct,3.0,1.69,media de su familia
Fertilizante,Ica,acelga,transitorio,Nov,5.0,680.9,media de su familia
Fitosanitario,Ica,acelga,transitorio,Nov,5.0,433.6,media de su familia
Semilla,Ica,acelga,transitorio,Nov,5.0,535.77,media de su familia
Riego,Ica,acelga,transitorio,Nov,5.0,194.81,media de su familia
Abono orgánico,Ica,acelga,transitorio,Nov,5.0,238.36,media de su familia
Asistencia técnica,Ica,acelga,transitorio,Nov,5.0,2.82,media de su familia
Fertilizante,Ica,acelga,transitorio,Dic,2.0,272.36,media de su familia
Fitosanitario,Ica,acelga,transitorio,Dic,2.0,173.44,media de su familia
Semilla,Ica,acelga,transitorio,Dic,2.0,214.31,media de su familia
Riego,Ica,acelga,transitorio,Dic,2.0,77.93,media de su familia
Abono orgánico,Ica,acelga,transitorio,Dic,2.0,95.34,media de su familia
Asistencia técnica,Ica,acelga,transitorio,Dic,2.0,1.13,media de su familia
Fertilizante,Ica,acelga,transitorio,Ene,6.0,817.08,media de su familia
Fitosanitario,Ica,acelga,transitorio,Ene,6.0,520.32,media de su familia
Semilla,Ica,acelga,transitorio,Ene,6.0,642.92,media de su familia
Riego,Ica,acelga,transitorio,Ene,6.0,233.78,media de su familia
Abono orgánico,Ica,acelga,transitorio,Ene,6.0,286.03,media de su familia
Asistencia técnica,Ica,acelga,transitorio,Ene,6.0,3.39,media de su familia
Fertilizante,Ica,acelga,transitorio,Mar,4.0,544.72,media de su familia
Fitosanitario,Ica,acelga,transitorio,Mar,4.0,346.88,media de su familia
Semilla,Ica,acelga,transitorio,Mar,4.0,428.61,media de su familia
Riego,Ica,acelga,transitorio,Mar,4.0,155.85,media de su familia
Abono orgánico,Ica,acelga,transitorio,Mar,4.0,190.69,media de su familia
Asistencia técnica,Ica,acelga,transitorio,Mar,4.0,2.26,media de su familia
Fertilizante,Ica,acelga,transitorio,Abr,4.0,544.72,media de su familia
Fitosanitario,Ica,acelga,transitorio,Abr,4.0,346.88,media de su familia
Semilla,Ica,acelga,transitorio,Abr,4.0,428.61,media de su familia
Riego,Ica,acelga,transitorio,Abr,4.0,155.85,media de su familia
Abono orgánico,Ica,acelga,transitorio,Abr,4.0,190.69,media de su familia
Asistencia técnica,Ica,acelga,transitorio,Abr,4.0,2.26,media de su familia
Fertilizante,Ica,acelga,transitorio,May,4.0,544.72,media de su familia
Fitosanitario,Ica,acelga,transitorio,May,4.0,346.88,media de su familia
Semilla,Ica,acelga,transitorio,May,4.0,428.61,media de su familia
Riego,Ica,acelga,transitorio,May,4.0,155.85,media de su familia
Abono orgánico,Ica,acelga,transitorio,May,4.0,190.69,media de su familia
Asistencia técnica,Ica,acelga,transitorio,May,4.0,2.26,media de su familia
Fertilizante,Ica,acelga,transitorio,Jun,2.0,272.36,media de su familia
Fitosanitario,Ica,acelga,transitorio,Jun,2.0,173.44,media de su familia
Semilla,Ica,acelga,transitorio,Jun,2.0,214.31,media de su familia
Riego,Ica,acelga,transitorio,Jun,2.0,77.93,media de su familia
Abono orgánico,Ica,acelga,transitorio,Jun,2.0,95.34,media de su familia
Asistencia técnica,Ica,acelga,transitorio,Jun,2.0,1.13,media de su familia
Fertilizante,Ica,acelga,transitorio,Jul,3.0,408.54,media de su familia
Fitosanitario,Ica,acelga,transitorio,Jul,3.0,260.16,media de su familia
Semilla,Ica,acelga,transitorio,Jul,3.0,321.46,media de su familia
Riego,Ica,acelga,transitorio,Jul,3.0,116.89,media de su familia
Abono orgánico,Ica,acelga,transitorio,Jul,3.0,143.01,media de su familia
Asistencia técnica,Ica,acelga,transitorio,Jul,3.0,1.69,media de su familia
Fertilizante,Junín,acelga,transitorio,Ago,6.0,817.08,media de su familia
Fitosanitario,Junín,acelga,transitorio,Ago,6.0,520.32,media de su familia
Semilla,Junín,acelga,transitorio,Ago,6.0,642.92,media de su familia
Riego,Junín,acelga,transitorio,Ago,6.0,233.78,media de su familia
Abono orgánico,Junín,acelga,transitorio,Ago,6.0,286.03,media de su familia
Asistencia técnica,Junín,acelga,transitorio,Ago,6.0,3.39,media de su familia
Fertilizante,Junín,acelga,transitorio,Set,10.0,1361.8,media de su familia
Fitosanitario,Junín,acelga,transitorio,Set,10.0,867.21,media de su familia
Semilla,Junín,acelga,transitorio,Set,10.0,1071.54,media de su familia
Riego,Junín,acelga,transitorio,Set,10.0,389.63,media de su familia
Abono orgánico,Junín,acelga,transitorio,Set,10.0,476.71,media de su familia
Asistencia técnica,Junín,acelga,transitorio,Set,10.0,5.65,media de su familia
Fertilizante,Junín,acelga,transitorio,Oct,5.0,680.9,media de su familia
Fitosanitario,Junín,acelga,transitorio,Oct,5.0,433.6,media de su familia
Semilla,Junín,acelga,transitorio,Oct,5.0,535.77,media de su familia
Riego,Junín,acelga,transitorio,Oct,5.0,194.81,media de su familia
Abono orgánico,Junín,acelga,transitorio,Oct,5.0,238.36,media de su familia
Asistencia técnica,Junín,acelga,transitorio,Oct,5.0,2.82,media de su familia
Fertilizante,Junín,acelga,transitorio,Nov,6.0,817.08,media de su familia
Fitosanitario,Junín,acelga,transitorio,Nov,6.0,520.32,media de su familia
Semilla,Junín,acelga,transitorio,Nov,6.0,642.92,media de su familia
Riego,Junín,acelga,transitorio,Nov,6.0,233.78,media de su familia
Abono orgánico,Junín,acelga,transitorio,Nov,6.0,286.03,media de su familia
Asistencia técnica,Junín,acelga,transitorio,Nov,6.0,3.39,media de su familia
Fertilizante,Junín,acelga,transitorio,Ene,3.0,408.54,media de su familia
Fitosanitario,Junín,acelga,transitorio,Ene,3.0,260.16,media de su familia
Semilla,Junín,acelga,transitorio,Ene,3.0,321.46,media de su familia
Riego,Junín,acelga,transitorio,Ene,3.0,116.89,media de su familia
Abono orgánico,Junín,acelga,transitorio,Ene,3.0,143.01,media de su familia
Asistencia técnica,Junín,acelga,transitorio,Ene,3.0,1.69,media de su familia
Fertilizante,Junín,acelga,transitorio,Feb,6.0,817.08,media de su familia
Fitosanitario,Junín,acelga,transitorio,Feb,6.0,520.32,media de su familia
Semilla,Junín,acelga,transitorio,Feb,6.0,642.92,media de su familia
Riego,Junín,acelga,transitorio,Feb,6.0,233.78,media de su familia
Abono orgánico,Junín,acelga,transitorio,Feb,6.0,286.03,media de su familia
Asistencia técnica,Junín,acelga,transitorio,Feb,6.0,3.39,media de su familia
Fertilizante,Junín,acelga,transitorio,Mar,4.0,544.72,media de su familia
Fitosanitario,Junín,acelga,transitorio,Mar,4.0,346.88,media de su familia
Semilla,Junín,acelga,transitorio,Mar,4.0,428.61,media de su familia
Riego,Junín,acelga,transitorio,Mar,4.0,155.85,media de su familia
Abono orgánico,Junín,acelga,transitorio,Mar,4.0,190.69,media de su familia
Asistencia técnica,Junín,acelga,transitorio,Mar,4.0,2.26,media de su familia
Fertilizante,Junín,acelga,transitorio,Abr,5.0,680.9,media de su familia
Fitosanitario,Junín,acelga,transitorio,Abr,5.0,433.6,media de su familia
Semilla,Junín,acelga,transitorio,Abr,5.0,535.77,media de su familia
Riego,Junín,acelga,transitorio,Abr,5.0,194.81,media de su familia
Abono orgánico,Junín,acelga,transitorio,Abr,5.0,238.36,media de su familia
Asistencia técnica,Junín,acelga,transitorio,Abr,5.0,2.82,media de su familia
Fertilizante,Junín,acelga,transitorio,May,2.0,272.36,media de su familia
Fitosanitario,Junín,acelga,transitorio,May,2.0,173.44,media de su familia
Semilla,Junín,acelga,transitorio,May,2.0,214.31,media de su familia
Riego,Junín,acelga,transitorio,May,2.0,77.93,media de su familia
