insumo,dep,cultivo,tipo,mes,ha,usd,estructura
Fitosanitario,Tacna,Amilac,transitorio,Dic,54.0,3249.94,propia
Semilla,Tacna,Amilac,transitorio,Dic,54.0,6757.63,propia
Riego,Tacna,Amilac,transitorio,Dic,54.0,944.29,propia
Abono orgánico,Tacna,Amilac,transitorio,Dic,54.0,2326.74,propia
Fertilizante,Tacna,Amilac,transitorio,Feb,2.0,342.71,propia
Fitosanitario,Tacna,Amilac,transitorio,Feb,2.0,120.37,propia
Semilla,Tacna,Amilac,transitorio,Feb,2.0,250.28,propia
Riego,Tacna,Amilac,transitorio,Feb,2.0,34.97,propia
Abono orgánico,Tacna,Amilac,transitorio,Feb,2.0,86.18,propia
Fertilizante,Tacna,Amilac,transitorio,Mar,3.0,514.06,propia
Fitosanitario,Tacna,Amilac,transitorio,Mar,3.0,180.55,propia
Semilla,Tacna,Amilac,transitorio,Mar,3.0,375.42,propia
Riego,Tacna,Amilac,transitorio,Mar,3.0,52.46,propia
Abono orgánico,Tacna,Amilac,transitorio,Mar,3.0,129.26,propia
Fertilizante,Tacna,Amilac,transitorio,Abr,2.0,342.71,propia
Fitosanitario,Tacna,Amilac,transitorio,Abr,2.0,120.37,propia
Semilla,Tacna,Amilac,transitorio,Abr,2.0,250.28,propia
Riego,Tacna,Amilac,transitorio,Abr,2.0,34.97,propia
Abono orgánico,Tacna,Amilac,transitorio,Abr,2.0,86.18,propia
Fertilizante,Tacna,Amilac,transitorio,Jul,2.0,342.71,propia
Fitosanitario,Tacna,Amilac,transitorio,Jul,2.0,120.37,propia
Semilla,Tacna,Amilac,transitorio,Jul,2.0,250.28,propia
Riego,Tacna,Amilac,transitorio,Jul,2.0,34.97,propia
Abono orgánico,Tacna,Amilac,transitorio,Jul,2.0,86.18,propia
Fertilizante,Amazonas,choclo,transitorio,Ago,6.0,1183.29,propia
Fitosanitario,Amazonas,choclo,transitorio,Ago,6.0,510.77,propia
Semilla,Amazonas,choclo,transitorio,Ago,6.0,437.64,propia
Riego,Amazonas,choclo,transitorio,Ago,6.0,10.61,propia
Abono orgánico,Amazonas,choclo,transitorio,Ago,6.0,361.21,propia
Fertilizante,Amazonas,choclo,transitorio,Set,80.0,15777.19,propia
Fitosanitario,Amazonas,choclo,transitorio,Set,80.0,6810.27,propia
Semilla,Amazonas,choclo,transitorio,Set,80.0,5835.19,propia
Riego,Amazonas,choclo,transitorio,Set,80.0,141.48,propia
Abono orgánico,Amazonas,choclo,transitorio,Set,80.0,4816.13,propia
Fertilizante,Amazonas,choclo,transitorio,Oct,572.0,112806.91,propia
Fitosanitario,Amazonas,choclo,transitorio,Oct,572.0,48693.43,propia
Semilla,Amazonas,choclo,transitorio,Oct,572.0,41721.61,propia
Riego,Amazonas,choclo,transitorio,Oct,572.0,1011.6,propia
Abono orgánico,Amazonas,choclo,transitorio,Oct,572.0,34435.36,propia
Fertilizante,Amazonas,choclo,transitorio,Nov,627.0,123653.73,propia
Fitosanitario,Amazonas,choclo,transitorio,Nov,627.0,53375.49,propia
Semilla,Amazonas,choclo,transitorio,Nov,627.0,45733.3,propia
Riego,Amazonas,choclo,transitorio,Nov,627.0,1108.87,propia
Abono orgánico,Amazonas,choclo,transitorio,Nov,627.0,37746.45,propia
Fertilizante,Amazonas,choclo,transitorio,Dic,837.0,165068.85,propia
Fitosanitario,Amazonas,choclo,transitorio,Dic,837.0,71252.45,propia
Semilla,Amazonas,choclo,transitorio,Dic,837.0,61050.67,propia
Riego,Amazonas,choclo,transitorio,Dic,837.0,1480.26,propia
Abono orgánico,Amazonas,choclo,transitorio,Dic,837.0,50388.81,propia
Fertilizante,Amazonas,choclo,transitorio,Ene,76.0,14988.33,propia
Fitosanitario,Amazonas,choclo,transitorio,Ene,76.0,6469.76,propia
Semilla,Amazonas,choclo,transitorio,Ene,76.0,5543.43,propia
Riego,Amazonas,choclo,transitorio,Ene,76.0,134.41,propia
Abono orgánico,Amazonas,choclo,transitorio,Ene,76.0,4575.33,propia
Fertilizante,Amazonas,choclo,transitorio,Feb,52.0,10255.17,propia
Fitosanitario,Amazonas,choclo,transitorio,Feb,52.0,4426.68,propia
Semilla,Amazonas,choclo,transitorio,Feb,52.0,3792.87,propia
Riego,Amazonas,choclo,transitorio,Feb,52.0,91.96,propia
Abono orgánico,Amazonas,choclo,transitorio,Feb,52.0,3130.49,propia
Fertilizante,Amazonas,choclo,transitorio,Mar,21.0,4141.51,propia
Fitosanitario,Amazonas,choclo,transitorio,Mar,21.0,1787.7,propia
Semilla,Amazonas,choclo,transitorio,Mar,21.0,1531.74,propia
Riego,Amazonas,choclo,transitorio,Mar,21.0,37.14,propia
Abono orgánico,Amazonas,choclo,transitorio,Mar,21.0,1264.24,propia
Fertilizante,Amazonas,choclo,transitorio,Abr,8.0,1577.72,propia
Fitosanitario,Amazonas,choclo,transitorio,Abr,8.0,681.03,propia
Semilla,Amazonas,choclo,transitorio,Abr,8.0,583.52,propia
Riego,Amazonas,choclo,transitorio,Abr,8.0,14.15,propia
Abono orgánico,Amazonas,choclo,transitorio,Abr,8.0,481.61,propia
Fertilizante,Amazonas,choclo,transitorio,May,5.0,986.07,propia
Fitosanitario,Amazonas,choclo,transitorio,May,5.0,425.64,propia
Semilla,Amazonas,choclo,transitorio,May,5.0,364.7,propia
Riego,Amazonas,choclo,transitorio,May,5.0,8.84,propia
Abono orgánico,Amazonas,choclo,transitorio,May,5.0,301.01,propia
Fertilizante,Amazonas,choclo,transitorio,Jun,3.0,591.64,propia
Fitosanitario,Amazonas,choclo,transitorio,Jun,3.0,255.39,propia
Semilla,Amazonas,choclo,transitorio,Jun,3.0,218.82,propia
Riego,Amazonas,choclo,transitorio,Jun,3.0,5.31,propia
Abono orgánico,Amazonas,choclo,transitorio,Jun,3.0,180.61,propia
Fertilizante,Áncash,choclo,transitorio,Ago,384.0,75730.51,propia
Fitosanitario,Áncash,choclo,transitorio,Ago,384.0,32689.3,propia
Semilla,Áncash,choclo,transitorio,Ago,384.0,28008.91,propia
Riego,Áncash,choclo,transitorio,Ago,384.0,679.12,propia
Abono orgánico,Áncash,choclo,transitorio,Ago,384.0,23117.45,propia
Fertilizante,Áncash,choclo,transitorio,Set,242.0,47726.0,propia
Fitosanitario,Áncash,choclo,transitorio,Set,242.0,20601.07,propia
Semilla,Áncash,choclo,transitorio,Set,242.0,17651.45,propia
Riego,Áncash,choclo,transitorio,Set,242.0,427.98,propia
Abono orgánico,Áncash,choclo,transitorio,Set,242.0,14568.81,propia
Fertilizante,Áncash,choclo,transitorio,Oct,235.0,46345.5,propia
Fitosanitario,Áncash,choclo,transitorio,Oct,235.0,20005.17,propia
Semilla,Áncash,choclo,transitorio,Oct,235.0,17140.87,propia
Riego,Áncash,choclo,transitorio,Oct,235.0,415.6,propia
Abono orgánico,Áncash,choclo,transitorio,Oct,235.0,14147.4,propia
Fertilizante,Áncash,choclo,transitorio,Nov,911.0,179662.75,propia
Fitosanitario,Áncash,choclo,transitorio,Nov,911.0,77551.95,propia
Semilla,Áncash,choclo,transitorio,Nov,911.0,66448.22,propia
Riego,Áncash,choclo,transitorio,Nov,911.0,1611.13,propia
Abono orgánico,Áncash,choclo,transitorio,Nov,911.0,54843.73,propia
Fertilizante,Áncash,choclo,transitorio,Dic,1048.0,206681.19,propia
Fitosanitario,Áncash,choclo,transitorio,Dic,1048.0,89214.54,propia
Semilla,Áncash,choclo,transitorio,Dic,1048.0,76440.98,propia
Riego,Áncash,choclo,transitorio,Dic,1048.0,1853.42,propia
Abono orgánico,Áncash,choclo,transitorio,Dic,1048.0,63091.36,propia
Fertilizante,Áncash,choclo,transitorio,Ene,610.0,120301.07,propia
Fitosanitario,Áncash,choclo,transitorio,Ene,610.0,51928.31,propia
Semilla,Áncash,choclo,transitorio,Ene,610.0,44493.32,propia
Riego,Áncash,choclo,transitorio,Ene,610.0,1078.8,propia
Abono orgánico,Áncash,choclo,transitorio,Ene,610.0,36723.03,propia
Fertilizante,Áncash,choclo,transitorio,Feb,81.0,15974.4,propia
Fitosanitario,Áncash,choclo,transitorio,Feb,81.0,6895.4,propia
Semilla,Áncash,choclo,transitorio,Feb,81.0,5908.13,propia
Riego,Áncash,choclo,transitorio,Feb,81.0,143.25,propia
Abono orgánico,Áncash,choclo,transitorio,Feb,81.0,4876.34,propia
Fertilizante,Áncash,choclo,transitorio,Mar,15.0,2958.22,propia
Fitosanitario,Áncash,choclo,transitorio,Mar,15.0,1276.93,propia
Semilla,Áncash,choclo,transitorio,Mar,15.0,1094.1,propia
Riego,Áncash,choclo,transitorio,Mar,15.0,26.53,propia
Abono orgánico,Áncash,choclo,transitorio,Mar,15.0,903.03,propia
Fertilizante,Áncash,choclo,transitorio,Abr,95.0,18735.41,propia
Fitosanitario,Áncash,choclo,transitorio,Abr,95.0,8087.2,propia
Semilla,Áncash,choclo,transitorio,Abr,95.0,6929.29,propia
Riego,Áncash,choclo,transitorio,Abr,95.0,168.01,propia
Abono orgánico,Áncash,choclo,transitorio,Abr,95.0,5719.16,propia
Fertilizante,Áncash,choclo,transitorio,May,120.0,23665.79,propia
Fitosanitario,Áncash,choclo,transitorio,May,120.0,10215.41,propia
Semilla,Áncash,choclo,transitorio,May,120.0,8752.78,propia
Riego,Áncash,choclo,transitorio,May,120.0,212.22,propia
Abono orgánico,Áncash,choclo,transitorio,May,120.0,7224.2,propia
Fertilizante,Áncash,choclo,transitorio,Jun,30.0,5916.45,propia
Fitosanitario,Áncash,choclo,transitorio,Jun,30.0,2553.85,propia
Semilla,Áncash,choclo,transitorio,Jun,30.0,2188.2,propia
Riego,Áncash,choclo,transitorio,Jun,30.0,53.06,propia
Abono orgánico,Áncash,choclo,transitorio,Jun,30.0,1806.05,propia
Fertilizante,Áncash,choclo,transitorio,Jul,55.0,10846.82,propia
Fitosanitario,Áncash,choclo,transitorio,Jul,55.0,4682.06,propia
Semilla,Áncash,choclo,transitorio,Jul,55.0,4011.69,propia
Riego,Áncash,choclo,transitorio,Jul,55.0,97.27,propia
Abono orgánico,Áncash,choclo,transitorio,Jul,55.0,3311.09,propia
Fertilizante,Apurímac,choclo,transitorio,Ago,384.0,75730.51,propia
Fitosanitario,Apurímac,choclo,transitorio,Ago,384.0,32689.3,propia
Semilla,Apurímac,choclo,transitorio,Ago,384.0,28008.91,propia
Riego,Apurímac,choclo,transitorio,Ago,384.0,679.12,propia
Abono orgánico,Apurímac,choclo,transitorio,Ago,384.0,23117.45,propia
Fertilizante,Apurímac,choclo,transitorio,Set,865.0,170590.87,propia
Fitosanitario,Apurímac,choclo,transitorio,Set,865.0,73636.05,propia
Semilla,Apurímac,choclo,transitorio,Set,865.0,63092.99,propia
Riego,Apurímac,choclo,transitorio,Set,865.0,1529.78,propia
Abono orgánico,Apurímac,choclo,transitorio,Set,865.0,52074.45,propia
Fertilizante,Apurímac,choclo,transitorio,Oct,401.0,79083.16,propia
Fitosanitario,Apurímac,choclo,transitorio,Oct,401.0,34136.48,propia
Semilla,Apurímac,choclo,transitorio,Oct,401.0,29248.89,propia
Riego,Apurímac,choclo,transitorio,Oct,401.0,709.18,propia
Abono orgánico,Apurímac,choclo,transitorio,Oct,401.0,24140.87,propia
Fertilizante,Apurímac,choclo,transitorio,Nov,256.0,50487.01,propia
Fitosanitario,Apurímac,choclo,transitorio,Nov,256.0,21792.87,propia
Semilla,Apurímac,choclo,transitorio,Nov,256.0,18672.61,propia
Riego,Apurímac,choclo,transitorio,Nov,256.0,452.74,propia
Abono orgánico,Apurímac,choclo,transitorio,Nov,256.0,15411.63,propia
Fertilizante,Apurímac,choclo,transitorio,Dic,120.0,23665.79,propia
Fitosanitario,Apurímac,choclo,transitorio,Dic,120.0,10215.41,propia
Semilla,Apurímac,choclo,transitorio,Dic,120.0,8752.78,propia
Riego,Apurímac,choclo,transitorio,Dic,120.0,212.22,propia
Abono orgánico,Apurímac,choclo,transitorio,Dic,120.0,7224.2,propia
Fertilizante,Apurímac,choclo,transitorio,Ene,30.0,5916.45,propia
Fitosanitario,Apurímac,choclo,transitorio,Ene,30.0,2553.85,propia
Semilla,Apurímac,choclo,transitorio,Ene,30.0,2188.2,propia
Riego,Apurímac,choclo,transitorio,Ene,30.0,53.06,propia
Abono orgánico,Apurímac,choclo,transitorio,Ene,30.0,1806.05,propia
Fertilizante,Apurímac,choclo,transitorio,Feb,12.0,2366.58,propia
Fitosanitario,Apurímac,choclo,transitorio,Feb,12.0,1021.54,propia
Semilla,Apurímac,choclo,transitorio,Feb,12.0,875.28,propia
Riego,Apurímac,choclo,transitorio,Feb,12.0,21.22,propia
Abono orgánico,Apurímac,choclo,transitorio,Feb,12.0,722.42,propia
Fertilizante,Apurímac,choclo,transitorio,Mar,12.0,2366.58,propia
Fitosanitario,Apurímac,choclo,transitorio,Mar,12.0,1021.54,propia
Semilla,Apurímac,choclo,transitorio,Mar,12.0,875.28,propia
Riego,Apurímac,choclo,transitorio,Mar,12.0,21.22,propia
Abono orgánico,Apurímac,choclo,transitorio,Mar,12.0,722.42,propia
Fertilizante,Apurímac,choclo,transitorio,Abr,16.0,3155.44,propia
Fitosanitario,Apurímac,choclo,transitorio,Abr,16.0,1362.05,propia
Semilla,Apurímac,choclo,transitorio,Abr,16.0,1167.04,propia
Riego,Apurímac,choclo,transitorio,Abr,16.0,28.3,propia
Abono orgánico,Apurímac,choclo,transitorio,Abr,16.0,963.23,propia
Fertilizante,Apurímac,choclo,transitorio,May,16.0,3155.44,propia
Fitosanitario,Apurímac,choclo,transitorio,May,16.0,1362.05,propia
Semilla,Apurímac,choclo,transitorio,May,16.0,1167.04,propia
Riego,Apurímac,choclo,transitorio,May,16.0,28.3,propia
Abono orgánico,Apurímac,choclo,transitorio,May,16.0,963.23,propia
Fertilizante,Apurímac,choclo,transitorio,Jun,13.0,2563.79,propia
Fitosanitario,Apurímac,choclo,transitorio,Jun,13.0,1106.67,propia
Semilla,Apurímac,choclo,transitorio,Jun,13.0,948.22,propia
Riego,Apurímac,choclo,transitorio,Jun,13.0,22.99,propia
Abono orgánico,Apurímac,choclo,transitorio,Jun,13.0,782.62,propia
Fertilizante,Apurímac,choclo,transitorio,Jul,179.0,35301.46,propia
Fitosanitario,Apurímac,choclo,transitorio,Jul,179.0,15237.98,propia
Semilla,Apurímac,choclo,transitorio,Jul,179.0,13056.24,propia
Riego,Apurímac,choclo,transitorio,Jul,179.0,316.57,propia
Abono orgánico,Apurímac,choclo,transitorio,Jul,179.0,10776.1,propia
Fertilizante,Arequipa,choclo,transitorio,Set,4.0,788.86,propia
Fitosanitario,Arequipa,choclo,transitorio,Set,4.0,340.51,propia
Semilla,Arequipa,choclo,transitorio,Set,4.0,291.76,propia
Riego,Arequipa,choclo,transitorio,Set,4.0,7.07,propia
Abono orgánico,Arequipa,choclo,transitorio,Set,4.0,240.81,propia
Fertilizante,Arequipa,choclo,transitorio,Oct,103.0,20313.13,propia
Fitosanitario,Arequipa,choclo,transitorio,Oct,103.0,8768.22,propia
Semilla,Arequipa,choclo,transitorio,Oct,103.0,7512.81,propia
Riego,Arequipa,choclo,transitorio,Oct,103.0,182.16,propia
Abono orgánico,Arequipa,choclo,transitorio,Oct,103.0,6200.77,propia
Fertilizante,Arequipa,choclo,transitorio,Mar,23.0,4535.94,propia
Fitosanitario,Arequipa,choclo,transitorio,Mar,23.0,1957.95,propia
Semilla,Arequipa,choclo,transitorio,Mar,23.0,1677.62,propia
Riego,Arequipa,choclo,transitorio,Mar,23.0,40.68,propia
Abono orgánico,Arequipa,choclo,transitorio,Mar,23.0,1384.64,propia
Fertilizante,Arequipa,choclo,transitorio,Abr,276.0,54431.31,propia
Fitosanitario,Arequipa,choclo,transitorio,Abr,276.0,23495.43,propia
Semilla,Arequipa,choclo,transitorio,Abr,276.0,20131.4,propia
Riego,Arequipa,choclo,transitorio,Abr,276.0,488.11,propia
Abono orgánico,Arequipa,choclo,transitorio,Abr,276.0,16615.66,propia
Fertilizante,Arequipa,choclo,transitorio,May,1416.0,279256.26,propia
Fitosanitario,Arequipa,choclo,transitorio,May,1416.0,120541.79,propia
Semilla,Arequipa,choclo,transitorio,May,1416.0,103282.85,propia
Riego,Arequipa,choclo,transitorio,May,1416.0,2504.24,propia
Abono orgánico,Arequipa,choclo,transitorio,May,1416.0,85245.58,propia
Fertilizante,Arequipa,choclo,transitorio,Jun,87.0,17157.69,propia
Fitosanitario,Arequipa,choclo,transitorio,Jun,87.0,7406.17,propia
Semilla,Arequipa,choclo,transitorio,Jun,87.0,6345.77,propia
Riego,Arequipa,choclo,transitorio,Jun,87.0,153.86,propia
Abono orgánico,Arequipa,choclo,transitorio,Jun,87.0,5237.55,propia
Fertilizante,Ayacucho,choclo,transitorio,Ago,305.0,60150.54,propia
Fitosanitario,Ayacucho,choclo,transitorio,Ago,305.0,25964.16,propia
Semilla,Ayacucho,choclo,transitorio,Ago,305.0,22246.66,propia
Riego,Ayacucho,choclo,transitorio,Ago,305.0,539.4,propia
Abono orgánico,Ayacucho,choclo,transitorio,Ago,305.0,18361.51,propia
Fertilizante,Ayacucho,choclo,transitorio,Set,696.0,137261.55,propia
Fitosanitario,Ayacucho,choclo,transitorio,Set,696.0,59249.35,propia
Semilla,Ayacucho,choclo,transitorio,Set,696.0,50766.15,propia
Riego,Ayacucho,choclo,transitorio,Set,696.0,1230.9,propia
Abono orgánico,Ayacucho,choclo,transitorio,Set,696.0,41900.37,propia
Fertilizante,Ayacucho,choclo,transitorio,Oct,465.0,91704.92,propia
Fitosanitario,Ayacucho,choclo,transitorio,Oct,465.0,39584.7,propia
Semilla,Ayacucho,choclo,transitorio,Oct,465.0,33917.04,propia
Riego,Ayacucho,choclo,transitorio,Oct,465.0,822.37,propia
Abono orgánico,Ayacucho,choclo,transitorio,Oct,465.0,27993.78,propia
Fertilizante,Ayacucho,choclo,transitorio,Nov,206.0,40626.26,propia
Fitosanitario,Ayacucho,choclo,transitorio,Nov,206.0,17536.45,propia
Semilla,Ayacucho,choclo,transitorio,Nov,206.0,15025.61,propia
Riego,Ayacucho,choclo,transitorio,Nov,206.0,364.32,propia
Abono orgánico,Ayacucho,choclo,transitorio,Nov,206.0,12401.55,propia
Fertilizante,Ayacucho,choclo,transitorio,Dic,191.0,37668.04,propia
Fitosanitario,Ayacucho,choclo,transitorio,Dic,191.0,16259.52,propia
Semilla,Ayacucho,choclo,transitorio,Dic,191.0,13931.51,propia
Riego,Ayacucho,choclo,transitorio,Dic,191.0,337.79,propia
Abono orgánico,Ayacucho,choclo,transitorio,Dic,191.0,11498.52,propia
Fertilizante,Ayacucho,choclo,transitorio,Ene,26.0,5127.59,propia
Fitosanitario,Ayacucho,choclo,transitorio,Ene,26.0,2213.34,propia
Semilla,Ayacucho,choclo,transitorio,Ene,26.0,1896.44,propia
Riego,Ayacucho,choclo,transitorio,Ene,26.0,45.98,propia
Abono orgánico,Ayacucho,choclo,transitorio,Ene,26.0,1565.24,propia
Fertilizante,Ayacucho,choclo,transitorio,Feb,39.0,7691.38,propia
Fitosanitario,Ayacucho,choclo,transitorio,Feb,39.0,3320.01,propia
Semilla,Ayacucho,choclo,transitorio,Feb,39.0,2844.65,propia
Riego,Ayacucho,choclo,transitorio,Feb,39.0,68.97,propia
Abono orgánico,Ayacucho,choclo,transitorio,Feb,39.0,2347.87,propia
Fertilizante,Ayacucho,choclo,transitorio,Mar,6.0,1183.29,propia
Fitosanitario,Ayacucho,choclo,transitorio,Mar,6.0,510.77,propia
Semilla,Ayacucho,choclo,transitorio,Mar,6.0,437.64,propia
Riego,Ayacucho,choclo,transitorio,Mar,6.0,10.61,propia
Abono orgánico,Ayacucho,choclo,transitorio,Mar,6.0,361.21,propia
Fertilizante,Ayacucho,choclo,transitorio,Abr,4.0,788.86,propia
Fitosanitario,Ayacucho,choclo,transitorio,Abr,4.0,340.51,propia
Semilla,Ayacucho,choclo,transitorio,Abr,4.0,291.76,propia
Riego,Ayacucho,choclo,transitorio,Abr,4.0,7.07,propia
Abono orgánico,Ayacucho,choclo,transitorio,Abr,4.0,240.81,propia
Fertilizante,Ayacucho,choclo,transitorio,May,5.0,986.07,propia
Fitosanitario,Ayacucho,choclo,transitorio,May,5.0,425.64,propia
Semilla,Ayacucho,choclo,transitorio,May,5.0,364.7,propia
Riego,Ayacucho,choclo,transitorio,May,5.0,8.84,propia
Abono orgánico,Ayacucho,choclo,transitorio,May,5.0,301.01,propia
Fertilizante,Ayacucho,choclo,transitorio,Jun,50.0,9860.74,propia
Fitosanitario,Ayacucho,choclo,transitorio,Jun,50.0,4256.42,propia
Semilla,Ayacucho,choclo,transitorio,Jun,50.0,3646.99,propia
Riego,Ayacucho,choclo,transitorio,Jun,50.0,88.43,propia
Abono orgánico,Ayacucho,choclo,transitorio,Jun,50.0,3010.08,propia
Fertilizante,Ayacucho,choclo,transitorio,Jul,56.0,11044.03,propia
Fitosanitario,Ayacucho,choclo,transitorio,Jul,56.0,4767.19,propia
Semilla,Ayacucho,choclo,transitorio,Jul,56.0,4084.63,propia
Riego,Ayacucho,choclo,transitorio,Jul,56.0,99.04,propia
Abono orgánico,Ayacucho,choclo,transitorio,Jul,56.0,3371.29,propia
Fertilizante,Cajamarca,choclo,transitorio,Ago,283.0,55811.81,propia
Fitosanitario,Cajamarca,choclo,transitorio,Ago,283.0,24091.33,propia
Semilla,Cajamarca,choclo,transitorio,Ago,283.0,20641.98,propia
Riego,Cajamarca,choclo,transitorio,Ago,283.0,500.49,propia
Abono orgánico,Cajamarca,choclo,transitorio,Ago,283.0,17037.08,propia
Fertilizante,Cajamarca,choclo,transitorio,Set,1458.0,287539.29,propia
Fitosanitario,Cajamarca,choclo,transitorio,Set,1458.0,124117.18,propia
Semilla,Cajamarca,choclo,transitorio,Set,1458.0,106346.33,propia
Riego,Cajamarca,choclo,transitorio,Set,1458.0,2578.52,propia
Abono orgánico,Cajamarca,choclo,transitorio,Set,1458.0,87774.05,propia
Fertilizante,Cajamarca,choclo,transitorio,Oct,3567.0,703465.46,propia
Fitosanitario,Cajamarca,choclo,transitorio,Oct,3567.0,303652.93,propia
Semilla,Cajamarca,choclo,transitorio,Oct,3567.0,260176.51,propia
Riego,Cajamarca,choclo,transitorio,Oct,3567.0,6308.34,propia
Abono orgánico,Cajamarca,choclo,transitorio,Oct,3567.0,214739.4,propia
Fertilizante,Cajamarca,choclo,transitorio,Nov,1506.0,297005.6,propia
Fitosanitario,Cajamarca,choclo,transitorio,Nov,1506.0,128203.34,propia
Semilla,Cajamarca,choclo,transitorio,Nov,1506.0,109847.44,propia
Riego,Cajamarca,choclo,transitorio,Nov,1506.0,2663.4,propia
Abono orgánico,Cajamarca,choclo,transitorio,Nov,1506.0,90663.73,propia
Fertilizante,Cajamarca,choclo,transitorio,Dic,1200.0,236657.85,propia
Fitosanitario,Cajamarca,choclo,transitorio,Dic,1200.0,102154.06,propia
Semilla,Cajamarca,choclo,transitorio,Dic,1200.0,87527.84,propia
Riego,Cajamarca,choclo,transitorio,Dic,1200.0,2122.23,propia
Abono orgánico,Cajamarca,choclo,transitorio,Dic,1200.0,72242.02,propia
Fertilizante,Cajamarca,choclo,transitorio,Ene,397.0,78294.31,propia
Fitosanitario,Cajamarca,choclo,transitorio,Ene,397.0,33795.97,propia
Semilla,Cajamarca,choclo,transitorio,Ene,397.0,28957.13,propia
Riego,Cajamarca,choclo,transitorio,Ene,397.0,702.11,propia
Abono orgánico,Cajamarca,choclo,transitorio,Ene,397.0,23900.07,propia
Fertilizante,Cajamarca,choclo,transitorio,Feb,49.5,9762.14,propia
Fitosanitario,Cajamarca,choclo,transitorio,Feb,49.5,4213.85,propia
Semilla,Cajamarca,choclo,transitorio,Feb,49.5,3610.52,propia
Riego,Cajamarca,choclo,transitorio,Feb,49.5,87.54,propia
Abono orgánico,Cajamarca,choclo,transitorio,Feb,49.5,2979.98,propia
Fertilizante,Cajamarca,choclo,transitorio,Mar,35.0,6902.52,propia
Fitosanitario,Cajamarca,choclo,transitorio,Mar,35.0,2979.49,propia
Semilla,Cajamarca,choclo,transitorio,Mar,35.0,2552.9,propia
Riego,Cajamarca,choclo,transitorio,Mar,35.0,61.9,propia
Abono orgánico,Cajamarca,choclo,transitorio,Mar,35.0,2107.06,propia
Fertilizante,Cajamarca,choclo,transitorio,May,8.0,1577.72,propia
Fitosanitario,Cajamarca,choclo,transitorio,May,8.0,681.03,propia
Semilla,Cajamarca,choclo,transitorio,May,8.0,583.52,propia
Riego,Cajamarca,choclo,transitorio,May,8.0,14.15,propia
Abono orgánico,Cajamarca,choclo,transitorio,May,8.0,481.61,propia
Fertilizante,Cajamarca,choclo,transitorio,Jun,35.0,6902.52,propia
Fitosanitario,Cajamarca,choclo,transitorio,Jun,35.0,2979.49,propia
Semilla,Cajamarca,choclo,transitorio,Jun,35.0,2552.9,propia
Riego,Cajamarca,choclo,transitorio,Jun,35.0,61.9,propia
Abono orgánico,Cajamarca,choclo,transitorio,Jun,35.0,2107.06,propia
Fertilizante,Cajamarca,choclo,transitorio,Jul,10.0,1972.15,propia
Fitosanitario,Cajamarca,choclo,transitorio,Jul,10.0,851.28,propia
Semilla,Cajamarca,choclo,transitorio,Jul,10.0,729.4,propia
Riego,Cajamarca,choclo,transitorio,Jul,10.0,17.69,propia
Abono orgánico,Cajamarca,choclo,transitorio,Jul,10.0,602.02,propia
Fertilizante,Cusco,choclo,transitorio,Ago,1517.0,299174.97,propia
Fitosanitario,Cusco,choclo,transitorio,Ago,1517.0,129139.75,propia
Semilla,Cusco,choclo,transitorio,Ago,1517.0,110649.78,propia
Riego,Cusco,choclo,transitorio,Ago,1517.0,2682.86,propia
Abono orgánico,Cusco,choclo,transitorio,Ago,1517.0,91325.95,propia
Fertilizante,Cusco,choclo,transitorio,Set,588.0,115962.35,propia
Fitosanitario,Cusco,choclo,transitorio,Set,588.0,50055.49,propia
Semilla,Cusco,choclo,transitorio,Set,588.0,42888.64,propia
Riego,Cusco,choclo,transitorio,Set,588.0,1039.9,propia
Abono orgánico,Cusco,choclo,transitorio,Set,588.0,35398.59,propia
Fertilizante,Cusco,choclo,transitorio,Oct,81.0,15974.4,propia
Fitosanitario,Cusco,choclo,transitorio,Oct,81.0,6895.4,propia
Semilla,Cusco,choclo,transitorio,Oct,81.0,5908.13,propia
Riego,Cusco,choclo,transitorio,Oct,81.0,143.25,propia
Abono orgánico,Cusco,choclo,transitorio,Oct,81.0,4876.34,propia
Fertilizante,Cusco,choclo,transitorio,Dic,8.0,1577.72,propia
Fitosanitario,Cusco,choclo,transitorio,Dic,8.0,681.03,propia
Semilla,Cusco,choclo,transitorio,Dic,8.0,583.52,propia
Riego,Cusco,choclo,transitorio,Dic,8.0,14.15,propia
Abono orgánico,Cusco,choclo,transitorio,Dic,8.0,481.61,propia
Fertilizante,Cusco,choclo,transitorio,Ene,14.0,2761.01,propia
Fitosanitario,Cusco,choclo,transitorio,Ene,14.0,1191.8,propia
Semilla,Cusco,choclo,transitorio,Ene,14.0,1021.16,propia
Riego,Cusco,choclo,transitorio,Ene,14.0,24.76,propia
Abono orgánico,Cusco,choclo,transitorio,Ene,14.0,842.82,propia
Fertilizante,Cusco,choclo,transitorio,Feb,23.0,4535.94,propia
Fitosanitario,Cusco,choclo,transitorio,Feb,23.0,1957.95,propia
Semilla,Cusco,choclo,transitorio,Feb,23.0,1677.62,propia
Riego,Cusco,choclo,transitorio,Feb,23.0,40.68,propia
Abono orgánico,Cusco,choclo,transitorio,Feb,23.0,1384.64,propia
Fertilizante,Cusco,choclo,transitorio,Abr,10.0,1972.15,propia
Fitosanitario,Cusco,choclo,transitorio,Abr,10.0,851.28,propia
Semilla,Cusco,choclo,transitorio,Abr,10.0,729.4,propia
Riego,Cusco,choclo,transitorio,Abr,10.0,17.69,propia
