tienda,id,nombre,sku,categorias,precio,moneda,presentacion_valor,presentacion_unidad,presentacion_base,precio_por_base,supuesto,en_stock,url,consultado
agrorepuestoskarina.com,7288,CURAMICINA ORO,ART09486,Antibiotico,22.0,PEN,,,,,,True,https://agrorepuestoskarina.com/product/curamicina-oro-x-50-ml/,2026-09-10
agrorepuestoskarina.com,7280,KRESO,,Desinfectantes,7.0,PEN,,,,,,True,https://agrorepuestoskarina.com/product/kreso-reana/,2026-09-10
agrorepuestoskarina.com,7278,FORMOL,ART07948,Desinfectantes,25.0,PEN,,,,,,False,https://agrorepuestoskarina.com/product/formol-x-lt/,2026-09-10
agrorepuestoskarina.com,7277,SANIX,ART09570,Desinfectantes,35.0,PEN,,,,,,True,https://agrorepuestoskarina.com/product/sanix/,2026-09-10
agrorepuestoskarina.com,7276,BIOFARM,ART09360,Fungicidas,100.0,PEN,,,,,,True,https://agrorepuestoskarina.com/product/biofarm-x-litro/,2026-09-10
agrorepuestoskarina.com,7271,SULFODIN,ART00126,Fungicidas,25.0,PEN,,,,,,True,https://agrorepuestoskarina.com/product/sulfodin-x-1-kg/,2026-09-10
agrorepuestoskarina.com,7269,CHOQUE,ART09405,Acaricida,68.0,PEN,,,,,,True,https://agrorepuestoskarina.com/product/choque-x-250-ml-acaricida/,2026-09-10
agrorepuestoskarina.com,7267,RASTOP BLOQUES RATICIDA,ART09668,Raticidas,1.0,PEN,,,,,,True,https://agrorepuestoskarina.com/product/rastop-bloques-raticida-x-10-gramos/,2026-09-10
agrorepuestoskarina.com,7266,TRAMPA ADHECIVA SANSON RATICIDA,ART10409,Raticidas,20.0,PEN,,,,,,True,https://agrorepuestoskarina.com/product/trampa-adheciva-sanson-unidad-raticida/,2026-09-10
agrorepuestoskarina.com,7265,RASTOP PELLETS,ART10062,Raticidas,2.0,PEN,,,,,,True,https://agrorepuestoskarina.com/product/rastop-pellets-x-10-gramos/,2026-09-10
agrorepuestoskarina.com,7263,LETAL PELLET (RATICIDA),ART07731,Raticidas,3.5,PEN,,,,,,True,https://agrorepuestoskarina.com/product/letal-pellet-raticida-x-25-gr/,2026-09-10
agrorepuestoskarina.com,7262,ASPERSOR CIRCULAR  PLASTICO  1/2&#8243; MIXTO,ART09664,Riego,15.0,PEN,,,,,,True,https://agrorepuestoskarina.com/product/aspersor-circular-plastico-1-2-mixto/,2026-09-10
agrorepuestoskarina.com,7261,ASPERSOR VYR 35 3/4 «CIRCULAR BRONCE,ART08339,Riego,69.0,PEN,,,,,,False,https://agrorepuestoskarina.com/product/aspersor-vyr-35-3-4-circular-bronce/,2026-09-10
agrorepuestoskarina.com,7260,ASPERSOR VYR 60 3/4 SECTORIAL BRONCE,ART08660,Riego,105.0,PEN,,,,,,True,https://agrorepuestoskarina.com/product/aspersor-vyr-60-3-4-sectorial-bronce/,2026-09-10
