ruc,razon_social,nombre_limpio,fob_usd,peso_kg,operaciones,partidas,semanas_activo,paises,toneladas,fob_anualizado,rubro,uso_dual
20325117835,SOCIEDAD AGRICOLA DROKASA S.A.,SOCIEDAD AGRICOLA DROKA,87237.73,155.0,1,1,1,1,0.155,453636.19599999994,Semillas,False
20331066703,INRETAIL PHARMA S.A.,INRETAIL PHARMA,85982.4,40944.0,2,1,1,1,40.944,447108.48,Agroquimicos,False
20521293463,LABORATORIOS VETERINARIOS GAMMAVET S.A.C,LABORATORIOS VETERINARIOS GAMMAVET,85063.194,12932.0,6,1,2,1,12.932,442328.60880000005,Agroquimicos,False
20100148081,INTERNATIONAL COMMERCE COMPANY S.A.C.,INTERNATIONAL COMMERCE COMPANY,84640.2,16568.0,2,1,1,1,16.568,440129.04000000004,Agroquimicos,False
20515010476,SMC CORPORATION S.A.C.,SMC CORPORATION,84517.277,23415.923000000003,5,1,1,1,23.415923000000003,439489.8404,Otro,False
20600576039,HANSEANDINA PERU S.R.L.,HANSEANDINA PERU,83590.96,2450.0,1,1,1,1,2.45,434672.9920000001,Agroquimicos,False
20522859096,ANTESIS GROUP S.A.C.,ANTESIS GROUP,82417.702,17065.0,23,1,1,1,17.065,428572.05040000007,Fertilizantes,False
20601438403,ENLASA PERU S.A.C.,ENLASA PERU,82197.5,167394.0,15,2,3,1,167.394,427427.0,Fertilizantes,False
20523282841,KRETE INDUSTRIAL SOCIEDAD ANONIMA CERRAD,KRETE INDUSTRIAL SOCIEDAD ANONIMA CERRAD,78036.764,17200.0,4,2,1,1,17.2,405791.17279999994,Otro,False
20613746511,FERTILIZANTES DEL PACIFICO - PERÚ S.A.C.,FERTILIZANTES DEL PACIFICO - PERÚ,77358.269,20348.0,8,3,2,1,20.348,402262.9988,Fertilizantes,False
20100311331,PISAPIG'S S A,PISAPIG'S S A,76353.2,5311.37,5,1,2,1,5.31137,397036.64,Agroquimicos,False
20507447369,INDUSTRIAS CACHIMAYO S.A.,INDUSTRIAS CACHIMAYO,76300.0,40000.0,1,1,1,1,40.0,396760.0,Otro,False
20600672631,CROPS PROTECTION S.A.C.,CROPS PROTECTION,75693.0,28010.0,4,2,2,1,28.01,393603.60000000003,Agroquimicos,True
20610314679,360 SMART AGRO S.A.C.,360 SMART AGRO,75563.0,10245.0,2,1,1,1,10.245,392927.60000000003,Fertilizantes,False
20548112509,ZOETIS S.R.L.,ZOETIS,72129.093,9611.0,2,1,2,2,9.611,375071.28359999997,Agroquimicos,False
20255361695,LABORATORIOS AMERICANOS S.A.,LABORATORIOS AMERICANOS,70733.38,25844.5,4,1,2,1,25.8445,367813.57600000006,Otro,False
20509165611,JP INCUBATOR S.R.L.,JP INCUBATOR,67970.001,5168.0,7,1,3,2,5.168,353444.0052,Agroquimicos,False
20481450510,NETAFIM PERU S.A.C.,NETAFIM PERU,66416.75,2516.39,18,3,6,1,2.51639,345367.10000000003,Otro,False
20608519221,INAGROUP BIOTECH PERU S.A.C.,INAGROUP BIOTECH PERU,65722.762,24668.882999999998,22,2,2,1,24.668882999999997,341758.3624,Fertilizantes,False
20419922391,ALLTECHNOLOGY PERU S.R.L,ALLTECHNOLOGY PERU,64798.969,12672.0,1,1,1,1,12.672,336954.63879999996,Fertilizantes,True
20513511770,SOBITEC PERU S.A.C.,SOBITEC PERU,64593.0,25800.0,4,1,1,1,25.8,335883.60000000003,Agroquimicos,False
20613639757,PERUN COMMODITIES S.A.C.,PERUN COMMODITIES,63368.0,21200.0,2,1,1,1,21.2,329513.60000000003,Fertilizantes,False
20100177341,PRODUCTOS ROCHE Q F S A,PRODUCTOS ROCHE Q F S A,63339.539000000004,83.457,17,1,7,1,0.08345699999999999,329365.6028,Otro,False
