hub,puntos,del_padron,en_promesa,horas_mediana,clientes,pct_en_promesa
Pisco,1476.0,127.0,1252.0,3.0485938718071464,7470.465180257304,84.82384823848238
Huamachuco,477.0,70.0,292.0,2.974150965951349,7121.542335899176,61.21593291404612
Tarma,307.0,52.0,238.0,1.9855974247691868,9526.582782620922,77.52442996742671
Juliaca,287.0,76.0,179.0,4.437874042686684,13997.566121777661,62.36933797909408
Chiclayo,230.0,133.0,191.0,3.00883433913856,16451.897386273336,83.04347826086956
Sicuani,199.0,21.0,171.0,2.806293669204864,5341.974609557615,85.92964824120602
Bellavista,100.0,79.0,93.0,3.182278874170449,6865.619779071256,93.0
Satipo,21.0,21.0,21.0,1.3825185978392642,3450.7998066963473,100.0
