dep,nombre,tipo,clase,lat,lon,sectores_1h,hub,horas_reparto,reparto_en_promesa,elegido,clientes_30,sam_30,clientes_45,sam_45,clientes_60,sam_60
LA LIBERTAD,JC AGRO COMERCIALIZADORA E.I.R.L.,padron:canal,canal,-7.242392412999948,-79.38432594683331,44,Chiclayo,1.1251901204746066,True,False,529.2869403066177,2029999.617376252,1127.7497461350852,4315911.190656047,1605.646387778285,6237554.027657407
LIMA,EL SEMILLERO,padron:canal,canal,-12.126991046999931,-76.98430619899995,64,Pisco,3.012573270609794,True,False,36.75289590887829,179491.21455232473,110.31061256653024,538727.2305471436,228.6503670146741,1116666.620912029
LIMA,SEMILLERIA MANRIQUE S.R.L.,padron:canal,canal,-12.072332720999952,-77.01738574699993,65,Pisco,3.0485938718071464,True,False,16.26708337796758,79444.04054511544,120.04413860663422,586263.1421429672,250.28288710469414,1222314.0048464006
SAN MARTIN,AGROVETERINARIA RUBIO S.A.C.,padron:canal,canal,-5.903089736999945,-77.35914823124997,38,Bellavista,4.209830409302858,False,False,493.57395047289066,2243367.377621061,752.3390974846347,3431513.4186955644,986.4871804464171,4505459.6338259075
LIMA,AGROSERVICIOS WALBERT EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA - AGROSERVI WALBERT E.I.R.L.,padron:canal,canal,-12.088085452999962,-76.92572938299998,61,Pisco,3.012573270609794,True,False,32.977538144046655,161053.38716970794,94.14654476542644,459786.2902490109,204.1453313147118,996990.6467700349
LIMA,SEMILLERO DEPORTIVO CANTO GRANDE,padron:canal,canal,-11.945962191999968,-76.97148873299994,55,Pisco,3.3757308752389563,True,False,5.880932965091482,28720.88782397367,35.906249918607514,175356.42426351787,147.33931689865582,719565.4189269231
JUNIN,EMPRESA LOS SEMILLEROS DE GUINDA HUAMANCACA CHICO S.A.C.,padron:canal,canal,-12.076823579999967,-75.24886359399994,199,Tarma,1.715449670031545,True,False,1411.896447350234,4128141.748656135,2090.1230154564582,6165755.073674677,2813.9662907130432,8312160.373059698
LIMA,AGRO VETERINARIA S.O.S. MASCOTAS SOCIEDAD ANONIMA CERRADA,padron:canal,canal,-12.192644506999956,-77.00588969799998,63,,,False,False,28.635121538640146,139846.19760486294,91.34851851392646,446121.4859441698,234.2794130867082,1144157.3611994172
LIMA,AGRO COMERCIALIZADORA DE ALIMENTOS E.I.R.L,padron:canal,canal,-12.035807503999932,-76.99106993299995,66,Pisco,3.0485938718071464,True,False,19.82225991548593,96806.56229712101,96.41860405120407,470882.4139871297,260.35396790172643,1271498.4426821482
LIMA,ASOCIACION DE FUTBOL SEMILLERO 3000,padron:canal,canal,-12.097546260999934,-76.99520863399994,64,Pisco,3.012573270609794,True,False,13.914879051969438,67956.51008233496,129.32121926766158,631569.8978194754,237.09303879064873,1157898.349015671
LIMA,AGRO SERVICIOS COMERCIALES S.A.C.,padron:canal,canal,-12.09898090799993,-77.03667219399995,64,Pisco,3.0485938718071464,True,False,16.261980714201048,79419.12051380203,120.04413860663422,586263.1421429672,243.50195950716983,1189197.786377831
LIMA,CHEMIE AGROVETERINARIA S.A.C.,padron:canal,canal,-12.093838644999948,-77.06669448899999,62,Pisco,3.0485938718071464,True,False,14.067054467334115,68699.69369966218,77.17552918751021,376904.4350118361,222.67269641450042,1087473.2926127014
LIMA,AGRO SERVICIOS DE EXPORTACION S.A.C.,padron:canal,canal,-12.09898090799993,-77.03667219399995,64,Pisco,3.0485938718071464,True,False,16.261980714201048,79419.12051380203,120.04413860663422,586263.1421429672,243.50195950716983,1189197.786377831
LIMA,INSUMOS AGRICOLAS PERUANOS SOCIEDAD ANONIMA CERRADA - INAP S.A.C.,padron:canal,canal,-12.126991046999931,-76.98430619899995,64,Pisco,3.012573270609794,True,False,36.75289590887829,179491.21455232473,110.31061256653024,538727.2305471436,228.6503670146741,1116666.620912029
PIURA,AGROSERVICIOS A & S - PIURA E.I.R.L.,padron:canal,canal,-5.1062157147499505,-80.52711383199997,96,Chiclayo,3.08078512431454,True,False,465.04914369464495,1818199.7532725423,1026.476297808561,4013208.016228692,1891.874595748186,7396650.375235498
LIMA,AGROSERVICIOS RIO BIAVO S.A,padron:canal,canal,-12.04034159349996,-76.90482929099994,59,Pisco,3.3757308752389563,True,False,13.477277880724094,65819.3841831654,72.83450819959472,355704.0612657809,186.16546694548956,909181.8465840837
LIMA,COMERCIALIZADORA AGROINDUSTRIAL FECU S.A.C.,padron:canal,canal,-12.126991046999931,-76.98430619899995,64,Pisco,3.012573270609794,True,False,36.75289590887829,179491.21455232473,110.31061256653024,538727.2305471436,228.6503670146741,1116666.620912029
