hub,ruta,orden,punto,dep,lat,lon,margen_anual,horas_ruta
Huamachuco,1,1,ASOCIACION DE PRODUCTORES AGROPECUARIOS Y SEMILLERISTAS LA P,LA LIBERTAD,-7.81196,-78.01877,10891.47,6.75
Huamachuco,1,2,AGROVETERINARIA EL VALLE CONDEBAMBA S.R.L.,CAJAMARCA,-7.52838,-78.08754,1480.41,6.75
Huamachuco,1,3,AGROCOMERCIALIZADORA HERMANOS FLORES S.R.L.,CAJAMARCA,-7.32931,-78.16303,1217.24,6.75
Huamachuco,2,1,Elder,LA LIBERTAD,-8.01093,-78.76907,1123.63,8.94
Huamachuco,2,2,Ferretería Pelaez,LA LIBERTAD,-8.08798,-78.99894,2103.85,8.94
Huamachuco,2,3,Ferreteria Bodega,LA LIBERTAD,-8.11068,-79.01289,144.72,8.94
Huamachuco,2,4,Clinica Veterinaria,LA LIBERTAD,-8.11806,-79.03887,117.24,8.94
Huamachuco,3,1,Davisa,LA LIBERTAD,-8.1487,-79.01205,228.75,8.97
Huamachuco,3,2,Ferretería y Materiales de Construcción Rocky,LA LIBERTAD,-8.17426,-78.9975,2091.39,8.97
Huamachuco,3,3,Depostito de Materiales,LA LIBERTAD,-8.14251,-79.05015,65.44,8.97
Huamachuco,3,4,Ferretería Caleb,LA LIBERTAD,-8.13375,-79.05264,71.05,8.97
Huamachuco,4,1,EMPRESA DE AGROSERVICIOS ROSITA TRACTOR E.I.R.L.,LA LIBERTAD,-8.05269,-78.98527,0.07,8.55
Huamachuco,4,2,Ferretería Villa Del Mar,LA LIBERTAD,-8.09854,-79.06208,207.8,8.55
Huamachuco,4,3,AGRO DISTRIBUIDOR JNM S.A.C.,LA LIBERTAD,-8.0634,-79.05544,0.3,8.55
Huamachuco,5,1,Maestro,CAJAMARCA,-7.1614,-78.50319,1726.3,7.88
Huamachuco,5,2,Ferretería Mejía,CAJAMARCA,-7.16786,-78.50742,141.52,7.88
Huamachuco,5,3,Dr. Valdivia,CAJAMARCA,-7.15051,-78.51257,674.12,7.88
Huamachuco,6,1,AGROSERVICIOS VIQUITO E.I.R.L.,CAJAMARCA,-7.10314,-78.44869,226.25,8.47
Huamachuco,6,2,AGROVETERINARIA MEVELIN S.R.L.,CAJAMARCA,-7.13396,-78.54251,236.53,8.47
Huamachuco,7,1,Ferretería Los Ángeles,LA LIBERTAD,-8.4082,-78.81518,3278.53,8.69
Huamachuco,7,2,Agroveterinaria Horizonte,LA LIBERTAD,-8.4233,-78.78285,558.61,8.69
Huamachuco,8,1,Agropec Mendoza,LA LIBERTAD,-8.42346,-78.78258,968.03,8.67
Huamachuco,8,2,Agrotecnología Integral,LA LIBERTAD,-8.42649,-78.78018,1826.02,8.67
Huamachuco,9,1,Inversiones Emmanuel,LA LIBERTAD,-8.51336,-78.68585,1002.75,8.55
Huamachuco,10,1,Agromen Group,LA LIBERTAD,-8.53865,-78.67771,428.83,8.62
Huamachuco,11,1,AGROVETERINARIA LA YUNTA LA LIBERTAD S.A.C.,LA LIBERTAD,-8.29431,-78.22745,648.67,7.67
Huamachuco,12,1,D' Mars,LA LIBERTAD,-8.54078,-78.67741,1513.16,8.63
Huamachuco,13,1,Maderera Selva,LA LIBERTAD,-8.54192,-78.67509,2610.44,8.64
Satipo,1,1,AGROSERVICIOS LA CASA DEL CAMPESINO S.R.L.,JUNIN,-11.19604,-74.61806,15260.17,6.02
Satipo,1,2,AGROSERVICIOS ORO VERDE SOCIEDAD ANONIMA CERRADA - AGROSERVI,JUNIN,-10.98928,-74.83262,9795.88,6.02
Satipo,1,3,AGROSERVICIOS PERENE EMPRESA INDIVIDUAL DE RESPONSABILIDAD L,JUNIN,-10.92146,-75.05655,1547.63,6.02
Satipo,2,1,AGRO SERVICIOS TORRES SOCIEDAD COMERCIAL DE RESPONSABILIDAD ,JUNIN,-11.34938,-74.38682,1748.59,5.97
Satipo,2,2,AGROCOMERCIAL LUCHO S.A.C.,JUNIN,-11.6257,-74.37676,2789.32,5.97
Satipo,3,1,AGROSERVICIOS ESDIE S.A.C.,JUNIN,-11.38203,-73.91359,640.47,7.1
