nombre,dep,clase,hub,horas_reparto,reparto_en_promesa,clientes_exclusivos,sam_exclusivo,margen_base,lat,lon
APPAI,AREQUIPA,comercio,Juliaca,5.395672030251448,False,296.6814338976976,1537998.5536962897,4844.695444143311,-16.645194,-71.87668
Facasa,ICA,comercio,Pisco,0.7618700061726205,True,208.92768287861816,1536944.6352298774,4841.375600974113,-13.444535,-76.135845
Promart,PUNO,comercio,Juliaca,0.1430420172056596,True,896.7942866926475,1505635.0687762706,4742.750466645251,-15.49614,-70.129356
Ferreteria Peñafiel,AREQUIPA,comercio,Juliaca,6.563329217479544,False,289.9674591775301,1503193.2634780558,4735.058779955874,-17.165398,-71.799437
Santa Rosa,AREQUIPA,comercio,Juliaca,5.395672030251448,False,284.52727734359587,1474991.3241705874,4646.222671137349,-16.49336,-71.843929
La Solución,LIMA,comercio,Pisco,5.237208683140843,False,300.9792758853189,1469901.471646616,4630.189635686839,-11.134988,-77.195868
"Agroveterinaria ""Sur Andino""",CUSCO,comercio,Sicuani,1.2142785170015418,True,682.6448997758839,1444826.2193360843,4551.202590908665,-14.218079,-71.431085
CONSTRUCCIONES & AGROSERVICIOS FYM S.A.C.,SAN MARTIN,canal,Bellavista,0.5388414010634826,True,314.3610696838631,1443420.2779088956,4546.7738754130205,-6.830699091249954,-76.58152511299996
MOLINO DE DOLOMITA - INSUMOS AGRICOLAS FLAQUETA E.I.R.L.,HUANUCO,canal,Tarma,6.02087279230942,False,484.7436706205263,1442654.5203451577,4544.361739087245,-9.380534043333284,-75.97580413799999
AGROCOMERCIALIZADORA FENIX DEL SUR U & M SOCIEDAD ANONIMA CERRADA,PUNO,canal,Juliaca,3.002028757795133,True,843.7948245087948,1416653.8497002851,4462.459626555898,-16.279852241124956,-69.08620082987497
Casa Blanca,LAMBAYEQUE,comercio,Chiclayo,1.077143435887015,True,316.6911857505274,1409950.025374388,4441.342579929322,-6.47824,-79.682359
Totty's,CUSCO,comercio,Sicuani,0.2990169330524693,True,640.4530060264501,1355526.5639037532,4269.908676296822,-14.186565,-71.343061
Ferretería Jesús,ICA,comercio,Pisco,2.3914228485005604,True,183.904007486494,1352861.7836050717,4261.514618355974,-14.534137,-75.187948
AGROCOMERCIAL IZUMI EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA,LAMBAYEQUE,canal,Chiclayo,0.2764130371427082,True,298.6227820988934,1329507.160737277,4187.947556322421,-6.613897299222174,-79.79464823255552
Socola,TUMBES,comercio,Chiclayo,7.835044338905437,False,195.420162519764,1323813.9028743636,4170.0137940542445,-3.682763,-80.199848
La Hacienda,JUNIN,comercio,Tarma,1.290334264876605,True,451.9616642957388,1321457.9714205684,4162.592609974789,-11.779161,-75.496508
