cod_se,dep,prov,dist,region_nat,lat,lon,horas_capital_real,horas_puerto_real,clientes,sam_usd,con_comercio,con_sitio,sin_nada,cubierto_greedy
1011003,AMAZONAS,CHACHAPOYAS,LEIMEBAMBA,SIERRA,-6.88378217099995,-77.78113709799999,2.8817677528257417,9.57899011972934,8.028400811421177,28083.77161723786,False,False,True,False
1011101,AMAZONAS,CHACHAPOYAS,LEVANTO,SIERRA,-6.303864637999936,-77.90867171199994,2.214390032934241,7.91319698931052,10.804956483616523,37796.31054149684,True,True,False,False
1011103,AMAZONAS,CHACHAPOYAS,LEVANTO,SIERRA,-6.3368231749999495,-77.91331482699997,1.646666672340965,7.3223092460673405,0.6656237166817641,2328.3870451154835,True,True,False,False
1011201,AMAZONAS,CHACHAPOYAS,MAGDALENA,SELVA ALTA,-6.413631977999955,-77.85896451499997,1.3537005703570435,7.563837132348852,18.84971383823202,65937.29821387524,True,True,False,False
1011202,AMAZONAS,CHACHAPOYAS,MAGDALENA,SELVA ALTA,-6.422165419999942,-77.79568164499995,1.9075585845041527,8.382939612638697,16.423594851843315,57450.60539292678,False,False,True,False
1011301,AMAZONAS,CHACHAPOYAS,MARISCAL CASTILLA,SIERRA,-6.567048273999944,-77.78826004399997,1.553095377482755,8.250317744386349,18.914878838229928,66165.24883821068,False,True,False,False
1011302,AMAZONAS,CHACHAPOYAS,MARISCAL CASTILLA,SIERRA,-6.585376378999968,-77.74570060599996,1.8005366865574453,8.497759053461039,0.5523327678248834,1932.0893005546204,False,True,False,False
1011303,AMAZONAS,CHACHAPOYAS,MARISCAL CASTILLA,SIERRA,-6.599233590999972,-77.80074188599997,1.589289960652042,8.286512327555636,5.9250110661500495,20726.00278932881,False,True,False,False
1011401,AMAZONAS,CHACHAPOYAS,MOLINOPAMPA,SIERRA,-6.17647945799996,-77.68183988899995,1.0829348237094598,8.189043956523786,18.693456813476352,65390.702858224286,False,True,False,False
1011402,AMAZONAS,CHACHAPOYAS,MOLINOPAMPA,SIERRA,-6.206184715999939,-77.62111621499997,0.8414208533988035,8.237089764481969,13.708155650942004,47951.85512498793,True,True,False,False
1011403,AMAZONAS,CHACHAPOYAS,MOLINOPAMPA,SIERRA,-6.2123247069999366,-77.57913765199999,0.803753602152037,8.45911816399539,13.742244366572942,48071.09925927958,False,True,False,False
1011404,AMAZONAS,CHACHAPOYAS,MOLINOPAMPA,SIERRA,-6.221007257999929,-77.52918554599995,0.9716541655114936,8.627018727354846,9.141697066320353,31978.14093178882,False,True,False,False
1011405,AMAZONAS,CHACHAPOYAS,MOLINOPAMPA,SIERRA,-6.247398313999952,-77.66654934199994,1.0829425602705645,8.210229372699644,20.02568219302017,70050.89785603403,True,True,False,False
1011501,AMAZONAS,CHACHAPOYAS,MONTEVIDEO,SIERRA,-6.611375783999961,-77.71783648399997,2.015231378170867,8.71245374507446,10.49742378284561,36720.54485214607,False,True,False,False
1011502,AMAZONAS,CHACHAPOYAS,MONTEVIDEO,SIERRA,-6.640477985999951,-77.71524144399996,2.0468023959123145,8.744024762815906,5.323801919738751,18622.941325582506,False,True,False,False
1011601,AMAZONAS,CHACHAPOYAS,OLLEROS,SIERRA,-5.982745918999967,-77.70731229999996,1.72079561080762,8.520629112678641,10.15142176416886,35510.21144953397,False,True,False,False
1011602,AMAZONAS,CHACHAPOYAS,OLLEROS,SIERRA,-6.02641171199997,-77.64550042499997,2.355852726568986,9.321041658741589,7.099863724137341,24835.69966493602,False,False,True,False
1011701,AMAZONAS,CHACHAPOYAS,QUINJALCA,SIERRA,-6.094981845999939,-77.67492652399994,1.9220402753979549,9.02814940821228,24.713987292356567,86450.83761668827,False,False,True,False
1011702,AMAZONAS,CHACHAPOYAS,QUINJALCA,SIERRA,-6.147336265999968,-77.71702832999995,1.3831971134283734,8.489306246242698,4.535911722266376,15866.85964941645,False,True,False,False
1011801,AMAZONAS,CHACHAPOYAS,SAN FRANCISCO DE DAGUAS,SIERRA,-6.232236738999973,-77.73357597799998,1.1725256662039345,7.781140061803955,13.163006363143712,46044.89401835667,True,True,False,False
