cod_se,dep,prov,dist,sector,region_nat,lat,lon,alt_m,ha_agricola,s_ha_cosechada,s_clientes_sam,s_sam_usd,km_a_via,horas_capital_real,horas_capital_vuelta,horas_capital_llano,horas_terreno,horas_ida_vuelta,horas_capital_proxy,horas_puerto_real,horas_puerto_vuelta,horas_puerto_proxy,puerto_maritimo,costo_viaje_real,accesible_real
1010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,AEROPUERTO,SIERRA,-6.211162749999971,-77.87639983399998,2437.984517684353,944.5104422956867,489.4344528356023,9.638663389122357,33716.55547272396,0.33348589519649147,1.7592517785041875,1.8888938254485266,1.5459432699544267,0.2133085085497608,3.648145603952714,1.951462935036548,7.249395513625642,7.683131736247744,14.615745556104438,Eten,65.66662087114885,1-2 h
1010102,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,TAQUIA,SIERRA,-6.256540977999975,-77.81428665399994,2400.992232013766,1499.8461990896242,777.2030577076239,15.305826173125306,53540.59130277805,0.7350880128561481,inf,inf,inf,,inf,1.5584486995858622,inf,inf,14.919339186798004,Eten,inf,
1010103,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,MOLINO,SIERRA,-6.266829395999935,-77.87408786399999,2742.7551541199678,915.023537998494,474.1546780186773,9.337751581078066,32663.950017098978,1.0670961569934172,2.1247580343459704,2.400678269115059,1.8821185282252249,0.24263950612074558,4.52543630346103,1.5819766103155648,7.61209453500714,8.194916179914278,14.504377695085012,Eten,81.45785346229853,2-4 h
1010104,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,PENCAPAMPA,SIERRA,-6.2581085599999255,-77.91189073599998,1944.6819511159074,612.4306315532327,317.3545125932883,6.249812010952063,21862.17371167569,1.7960439164361084,1.8522385107650805,1.464220915306026,1.3872844533347706,0.46495405743030993,3.3164594260711064,1.744776892909909,7.104811893452547,7.3760780527994845,14.276154053060496,Eten,59.696269669279914,1-2 h
1010201,AMAZONAS,CHACHAPOYAS,ASUNCION,VISTA HERMOSA,SIERRA,-5.965723329999946,-77.75835636099998,2599.7450517529523,304.6615802644105,157.87212841640664,3.109050242609632,10875.622556830303,0.5206462421581537,1.4157122806049038,1.6187761632845097,1.239139995928748,0.17657228467615593,3.0344884438894137,3.5701923022013817,8.215545782475925,8.730438470843728,16.015728398203606,Eten,54.62079199000945,1-2 h
1010202,AMAZONAS,CHACHAPOYAS,ASUNCION,BATAN - POLLAN,SIERRA,-5.984437884999977,-77.75157796799994,2933.703696599735,335.8198180687566,174.01796904261073,3.427017892881836,11987.890252684616,1.313228784151586,1.5545813040736591,1.7598175443212403,1.3668148119794246,0.18776649209423457,3.3143988483948994,3.4447906253906693,8.35441480594468,8.871479851880459,16.00502322043279,Eten,59.65917927110819,1-2 h
1010203,AMAZONAS,CHACHAPOYAS,ASUNCION,ASUNCION,SIERRA,-6.009581135999952,-77.73935117799994,2853.6348237286315,280.08607149682337,145.13738230011643,2.858258884441628,9998.341091716164,1.2974158934363913,1.7101112373674863,1.9147235788501478,1.4931950747637768,0.2169161626037095,3.624834816217634,3.2802463261921164,8.509944739238508,9.026385886409365,16.012288509923682,Eten,65.24702669191741,1-2 h
1010204,AMAZONAS,CHACHAPOYAS,ASUNCION,CUELCACHA,SIERRA,-6.0275512819999335,-77.71729303699993,2847.2628470661566,346.1925103052992,179.39297891215224,3.5328704959128747,12358.168269246124,0.7034250891264802,1.74521987065524,1.9845473746346038,1.5268125916292696,0.21840727902597035,3.729767245289844,3.1786172625236966,8.545053372526262,9.096209682193821,16.103797443446776,Eten,67.1358104152172,1-2 h
1010301,AMAZONAS,CHACHAPOYAS,BALSAS,ACHUPAS,SELVA ALTA,-6.765361233999954,-77.93609947999994,2079.482324927891,1488.3681916057023,771.2552861839106,15.188693904850483,53130.85641926806,0.316197923593635,3.5314512568136545,3.0074096165442383,2.5454497818099076,0.9860014750037469,6.538860873357892,1.75851184263324,8.699944808492141,8.811220624833394,9.90394294065182,Salaverry,117.69949572044206,2-4 h
1010302,AMAZONAS,CHACHAPOYAS,BALSAS,SAN BASILIO,SELVA ALTA,-6.87231971999995,-77.93897979099995,2564.195170029104,542.6781368692665,281.20957174267386,5.5379926527921,19372.191863876724,3.154920333603265,2.9034458980826177,3.049375901536348,2.382331321436216,0.5211145766464016,5.952821799618966,2.3079910331966054,7.697442958651373,7.986386811888697,9.41856935849504,Salaverry,107.15079239314139,2-4 h
1010303,AMAZONAS,CHACHAPOYAS,BALSAS,HORNOPAMPA,SELVA ALTA,-6.804144657999927,-77.99634447699998,1485.619086101597,225.9695361789526,117.09481583755442,2.3060034043998168,8066.522147923691,2.753795366669251,2.7470971275621543,2.8866685206688856,2.2083969653883084,0.5387001621738459,5.63376564823104,2.1091471031759927,7.541094188130912,7.646822923491053,9.537294762304333,Salaverry,101.40778166815872,2-4 h
1010401,AMAZONAS,CHACHAPOYAS,CHETO,CHETO,SIERRA,-6.275737246999938,-77.70892396799997,2364.4538213835126,618.7465767533984,320.6273627861028,6.314265792554068,22087.636456361157,1.2268492821353278,1.6199114472249223,1.7318944657907156,1.4166401019653911,0.20327134525953117,3.351805913015638,1.5350879094399656,8.226052506629044,8.583450485437613,15.573973109180873,Eten,60.332506434281484,1-2 h
1010402,AMAZONAS,CHACHAPOYAS,CHETO,GACMAL,SIERRA,-6.295984905999944,-77.67386647199999,2323.3062119217,257.16285758206214,133.25883638130668,2.6243290803579384,9180.04223660599,2.305530176636323,1.8347582438516925,1.9690561413952101,1.6261992279022763,0.20855901594941617,3.803814385246903,1.523589939700175,8.440899303255813,8.820612161042106,15.766464420261125,Eten,68.46865893444425,1-2 h
1010403,AMAZONAS,CHACHAPOYAS,CHETO,HUAMAZAN,SIERRA,-6.278197987999931,-77.64197628199997,2784.3953741051187,61.742996536253145,31.99451098994964,0.6300829864858015,2204.063686905295,5.70085856451532,2.0106171754542337,2.1464681923630184,1.8066481487945358,0.20396902665969785,4.157085367817253,1.7506040113082724,8.616758234858354,8.998024212009915,16.01265393117743,Eten,74.82753662071055,2-4 h
1010404,AMAZONAS,CHACHAPOYAS,CHETO,YAMIA,SIERRA,-6.303895157999932,-77.64631825699996,2458.5447035074767,121.1238538009562,62.76498856521028,1.2360605059517156,4323.805172364155,4.262415826957382,1.9252496120574238,2.258459999817588,1.7372611854497584,0.18798842660766546,4.1837096118750114,1.592480794389028,9.009311081490564,9.4214410538838,15.934514931397066,Eten,75.3067730137502,1-2 h
1010405,AMAZONAS,CHACHAPOYAS,CHETO,HUACAPAMPA,SIERRA,-6.313207606999981,-77.70108261299998,2448.6516732151044,932.961352934628,483.44984750033416,9.520805735233878,33304.283151885305,1.1872093881976813,1.8974516087829543,2.107844603604844,1.688892592833538,0.20855901594941617,4.005296212387798,1.3247095304164418,8.503592668187077,8.95940062325174,15.55263679034193,Eten,72.09533182298037,1-2 h
1010501,AMAZONAS,CHACHAPOYAS,CHILIQUIN,SENGANCHE,SIERRA,-6.039875628999937,-77.78594772299994,2687.982282161844,394.7412513259656,204.5503783788577,4.028307022296334,14091.231501215949,7.136761503209579,3.384597199055293,3.429901322293489,2.8280170397586333,0.5565801592966597,6.814498521348781,3.0498200120265184,9.665544874410335,9.956263957891311,15.633299146599168,Eten,122.66097338427807,2-4 h
1010502,AMAZONAS,CHACHAPOYAS,CHILIQUIN,VITUYA,SIERRA,-6.056148140999937,-77.75879851999997,2631.380586896702,733.9118582310239,380.3046876748137,7.489519482262722,26198.736162188045,5.934156750880547,2.167904009338432,2.4537424943568724,1.9494967303124615,0.21840727902597035,4.621646503695304,2.946717820304248,8.967737511209453,9.56540480191609,15.762574239109735,Eten,83.18963706651547,2-4 h
1010503,AMAZONAS,CHACHAPOYAS,CHILIQUIN,CHILIQUIN,SIERRA,-6.092866840999932,-77.74182801799998,2550.9927291429403,825.8260260587833,427.9335527716127,8.427497173890748,29479.831848924496,6.0107135259299405,3.2004751774776903,3.246225399415856,2.658997348005366,0.5414778294723241,6.446700576893546,2.7068535089666588,9.481422852832731,9.772588035013678,15.776008722889552,Eten,116.04061038408383,2-4 h
1010504,AMAZONAS,CHACHAPOYAS,CHILIQUIN,CUELCHO,SIERRA,-6.131928744999925,-77.74395311699999,2404.6051936615722,333.44788992769764,172.7888631482779,3.402812531129258,11903.218614167894,4.958816295548526,2.564546204277061,2.788202438273296,2.2409979992865243,0.3235482049905367,5.352748642550357,2.4373857742233347,8.8454938796321,9.314565073871117,15.665017587428414,Eten,96.34947556590643,2-4 h
1010601,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,CHUQUIBAMBA,SIERRA,-6.931201705999968,-77.85445405999997,2905.2326945909576,964.3921093311352,499.7369041280445,9.84155441879009,34426.27904958736,0.4274453389622542,4.509535667760211,4.662900819173258,3.561796491542922,0.9477391762172891,9.172436486933469,3.1396118474840806,9.303532728328973,10.175239741368772,11.826263287454037,Salaverry,165.10385676480243,4-8 h
1010602,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,CHUMBOL,SIERRA,-6.940220611999962,-77.95374894999998,2600.9851360614803,1493.8920303013322,774.1176758923574,15.245064294651126,53328.04303093844,3.7283310200331576,3.9524243064348625,4.474199240219536,3.3620417324486667,0.5903825739861959,8.4266235466544,3.361129589795102,8.74642136700362,9.2343536430417,11.340377592556928,Salaverry,151.67922383977918,2-4 h
1010701,AMAZONAS,CHACHAPOYAS,GRANADA,GRANADA,SIERRA,-6.075865561999933,-77.59529466099997,3591.168539934665,829.8542376089355,430.0209256874301,8.468604792667012,29623.628478484738,6.14284263076073,2.1039012672118425,2.347175409237604,1.8606114507396536,0.24328981647218884,4.451076676449446,3.118266536217525,9.210010400026167,9.698699502294708,16.764054465318495,Eten,80.11938017609003,2-4 h
1010702,AMAZONAS,CHACHAPOYAS,GRANADA,CALVICHE,SIERRA,-6.126326628999948,-77.55618421699995,3197.9510449091563,86.81962207546523,44.98893005631427,0.8859882064641598,3099.2337117136394,9.145747123167656,2.217899437742549,2.483234414753202,1.9978566937530569,0.22004274398949208,4.701133852495751,2.950654987823785,9.324008570556876,9.834758507810308,16.899259054069002,Eten,84.62040934492352,2-4 h
1010801,AMAZONAS,CHACHAPOYAS,HUANCAS,HUANCAS,SIERRA,-6.142778094999926,-77.88025713399998,2614.253147761488,448.9071631056121,232.618531156266,4.581066385697281,16024.813055709115,0.5107916803793471,2.0738449923121003,2.2918662875983005,1.8514316013889223,0.22241339092317802,4.365711279910401,2.4137906091621013,7.563988727433557,8.086104198397518,14.758610689276308,Eten,78.58280303838721,2-4 h
