cluster,empresas,agroindustria,productor,exportadores,importadores,dentro_2h,dentro_promesa,horas_al_hub,hub,rank,territorio,dep,sam_usd,clientes,extension_km,visitable_en_dia,empresas_por_mm,distritos,empresas_export,fob_export_mm
35,723.0,159.0,239.0,16.0,8.0,0.0,717.0,3.3757308752389563,Pisco,44,"Lima · Huarochiri, Lima",Lima,2070242.4917438088,424.591998491192,118.23231077736676,True,349.2344509801854,13.0,480.0,1193.9
29,6.0,2.0,1.0,1.0,0.0,0.0,0.0,11.592394484934884,Juliaca,45,"Arequipa · La Union, Condesuyos",Arequipa,2044488.424781232,406.22370643908073,107.98129864046776,True,2.934719476654422,,,
38,1147.0,235.0,503.0,21.0,7.0,12.0,820.0,3.012573270609794,Pisco,46,"Lima · Cañete, Lima",Lima,2018215.5586643743,413.2529078611091,112.69445171007412,True,568.323831949382,18.0,638.0,777.8
55,142.0,22.0,41.0,5.0,2.0,0.0,0.0,5.395672030251448,Juliaca,47,"Arequipa · Arequipa, Islay",Arequipa,1988761.061567026,383.63396506946657,85.0459387795484,True,71.40123705364203,1.0,20.0,31.0
54,1.0,0.0,1.0,0.0,0.0,0.0,1.0,2.1971806567166623,Juliaca,48,"Puno · Huancane, Moho",Puno,1908270.085776078,1136.613875353862,81.89572846963584,True,0.5240348352436223,,,
26,24.0,0.0,21.0,0.0,0.0,0.0,14.0,3.980163084259466,Tarma,50,Junín · Huancayo,Junín,1748160.4156824346,597.9013392899692,43.686623124716505,True,13.728717218797708,,,
32,16.0,2.0,6.0,0.0,0.0,0.0,0.0,6.005942203296156,Juliaca,51,Arequipa · Arequipa,Arequipa,1628985.0159011187,314.23281195805555,18.461658583707905,True,9.822067019535568,1.0,10.0,6.4
27,3.0,0.0,3.0,0.0,0.0,0.0,1.0,6.492103013852505,Tarma,52,"Huancavelica · Tayacaja, Huanta",Huancavelica,1180972.183225376,304.87004393397086,57.27093739447493,True,2.5402799850938416,,,
53,10.0,0.0,10.0,0.0,0.0,0.0,0.0,7.077259791642527,Huamachuco,53,"Cajamarca · Celendin, Hualgayoc",Cajamarca,1046147.7659467966,571.0139523838799,49.46770313188237,True,9.558879085259706,1.0,3.0,0.1
49,4.0,0.0,4.0,0.0,0.0,0.0,0.0,8.284162835338254,Tarma,54,"Lima · Cajatambo, Ocros",Lima,971761.353044109,201.39184346795903,50.62081215500064,True,4.116236962367073,,,
47,6.0,1.0,3.0,0.0,0.0,0.0,1.0,4.851863364027497,Chiclayo,55,"La Libertad · Gran Chimu, Cajamarca",La Libertad,819607.7765336002,225.3872622721217,46.12062897877777,True,7.320574757570065,1.0,1.0,0.0
50,16.0,1.0,13.0,0.0,0.0,0.0,16.0,3.992832878688456,Chiclayo,57,"Cajamarca · San Miguel, Santa Cruz",Cajamarca,778596.908475081,424.9779165946584,43.91943274410816,True,20.549786193393395,,,
