ubigeo,fob,kg,ops,empresas,familia_lider,pct_lider,mes_pico,dep,prov,dist,lat,lon,ha_agricola,h3,h3_ter,hub,horas_al_hub,cubierto_2h,km_al_nodo,promesa_h,cubierto_promesa,fob_mm,cluster
060802,1855065.8599999999,371550.0,17,6,Café,100.0,Ene,CAJAMARCA,JAEN,BELLAVISTA,-5.560942802749956,-78.77268994724996,15906.647174870017,858f54a3fffffff,868f54a27ffffff,Chiclayo,4.937116918455819,False,3.6336354773106727,6.0,True,1.9,
021511,1581888.88,802659.0,48,1,"Palta, mango, dátil y piña",100.0,Feb,ANCASH,PALLASCA,TAUCA,-8.454703583666628,-78.03200298499996,3848.6722021155397,858f5eb3fffffff,868f5eb27ffffff,Huamachuco,5.90283683534866,False,0.4772498815152919,6.0,True,1.6,
040511,1465095.68,718290.5,60,2,Legumbres frescas,61.7,Abr,AREQUIPA,CAYLLOMA,LLUTA,-15.960760511499956,-71.97928524749997,4231.176494806036,85b33477fffffff,86b334747ffffff,Juliaca,8.321151082154294,False,1.1545365435895352,6.0,False,1.5,
110207,1429723.52,294008.34,36,6,Hortalizas congeladas,61.8,Dic,ICA,CHINCHA,PUEBLO NUEVO,-13.314466992999968,-76.09572673449995,445.71333391606515,858e6373fffffff,868e63717ffffff,Pisco,1.119848257080439,True,3.1247741570728222,4.0,True,1.4,
200801,1381579.03,1085831.48,22,5,Legumbres secas,71.0,Set,PIURA,SECHURA,SECHURA,-5.617652616499967,-80.76249016074998,3515.297023072541,858f56dbfffffff,868f56db7ffffff,Chiclayo,3.3475376618969497,False,7.1218781621861975,4.0,True,1.4,
250105,1333701.67,114447.3,168,11,Chocolate,61.3,Oct,UCAYALI,CORONEL PORTILLO,YARINACOCHA,-8.286410027749952,-74.63821764849997,23971.78148492986,858f4c7bfffffff,868f4c78fffffff,Tarma,10.634817855423329,False,0.7790899337288866,6.0,False,1.3,
160201,1093222.3399999999,137969.55,6,3,Extractos vegetales (tara y otros),84.2,May,LORETO,ALTO AMAZONAS,YURIMAGUAS,-5.86002590599996,-76.1473921215714,79812.62779373006,858f4467fffffff,868f4466fffffff,Bellavista,3.5974262522788685,False,0.3969188868209073,6.0,True,1.1,
020101,970691.77,364900.35,57,19,Legumbres secas,34.1,Jul,ANCASH,HUARAZ,HUARAZ,-9.58072450849997,-77.48755910599996,7886.917231272755,858f583bfffffff,868f583b7ffffff,Huamachuco,8.802596373106482,False,1.0813350286166068,6.0,False,1.0,
040305,939551.85,725685.0,46,7,Hortalizas preparadas,100.0,Feb,AREQUIPA,CARAVELI,BELLA UNION,-15.474583545999963,-74.74414843849996,4704.533520610332,858e6a2ffffffff,868e6a2dfffffff,Pisco,5.095092406610351,False,2.451168551719894,4.0,False,0.9,
040110,936838.36,2870209.62,145,10,Pisco y licores,33.7,Set,AREQUIPA,AREQUIPA,MIRAFLORES,-16.356469017999927,-71.47127210899998,0.0,85b33543fffffff,86b335407ffffff,Juliaca,4.986654963456735,False,2.003208648987528,6.0,True,0.9,
