ruc,razon_social,clase,dep,provincia,distrito,ubigeo,lat,lon,exporta,importa,cluster,rank,territorio,hub,horas_al_hub,cubierto_2h
20342015108,AGROINDUSTRIAS NOBEX S.A.,agroindustria,LIMA,LIMA,CHORRILLOS,150108,-12.192644506999956,-77.00588969799998,False,False,-1,,Fuera de territorio,,,
20512896252,OLAM AGRO PERÚ S.A.C.,agro_otro,LIMA,LIMA,SAN ISIDRO,150131,-12.09898090799993,-77.03667219399995,False,False,-1,,Fuera de territorio,Pisco,2.8756055096018827,False
20104420282,AGROINDUSTRIAS AIB S.A,agroindustria,LIMA,LIMA,MIRAFLORES,150122,-12.12123578099994,-77.03185553199995,False,False,-1,,Fuera de territorio,,,
20100180210,FARMAGRO S A,agro_otro,LIMA,HUAROCHIRI,SAN ANTONIO,150716,-11.752589004666618,-76.70116950033328,False,False,-1,,Fuera de territorio,Pisco,7.143433163022564,False
20137117712,COMPAÑIA MOLINERA DEL CENTRO S.A./CIA. MOLINERA DEL CENTRO S.A.,agroindustria,LIMA,LIMA,ATE,150103,-12.04034159349996,-76.90482929099994,False,False,-1,,Fuera de territorio,Pisco,3.051842853206836,False
20116225779,AGROINDUSTRIAS SAN JACINTO S A A,agroindustria,LA LIBERTAD,ASCOPE,CASA GRANDE,130208,-7.630586066999939,-79.19929836349996,False,False,-1,,Fuera de territorio,Otuzco,1.9577948752921657,True
20502647009,AGRONEGOCIOS GENESIS S.A.C.,productor,LIMA,LIMA,LA MOLINA,150114,-12.088085452999962,-76.92572938299998,False,False,-1,,Fuera de territorio,Pisco,2.7855116323335096,False
20162348931,AGROINPER S.A.,agro_otro,LIMA,LIMA,SAN ISIDRO,150131,-12.09898090799993,-77.03667219399995,False,False,-1,,Fuera de territorio,Pisco,2.8756055096018827,False
20504565794,BANCO AGROPECUARIO,productor,LIMA,LIMA,SAN ISIDRO,150131,-12.09898090799993,-77.03667219399995,False,False,-1,,Fuera de territorio,Pisco,2.8756055096018827,False
20371843575,PRODUCTOS Y MERCADOS AGRICOLAS DE HUARAL CAJA RURAL DE AHORRO Y CREDITO - CAJA RURAL PRYMERA,productor,LIMA,LIMA,MIRAFLORES,150122,-12.12123578099994,-77.03185553199995,False,False,-1,,Fuera de territorio,,,
20419208583,AGROPECUARIA WONG S.A.C.,productor,LIMA,LIMA,SANTIAGO DE SURCO,150140,-12.126991046999931,-76.98430619899995,False,False,-1,,Fuera de territorio,Pisco,2.7855116323335096,False
20131373075,SERVICIO NACIONAL DE SANIDAD AGRARIA,productor,LIMA,LIMA,LA MOLINA,150114,-12.088085452999962,-76.92572938299998,False,False,-1,,Fuera de territorio,Pisco,2.7855116323335096,False
20265271121,AGRICOLA YAURILLA S.A  EN LIQUIDACION,productor,LIMA,LIMA,MIRAFLORES,150122,-12.12123578099994,-77.03185553199995,False,False,-1,,Fuera de territorio,,,
20337935029,INDUSTRIA TECNOLOGICA AGRICOLA DEL PERU S.A.,productor,LIMA,LIMA,LA MOLINA,150114,-12.088085452999962,-76.92572938299998,False,False,-1,,Fuera de territorio,Pisco,2.7855116323335096,False
20100166144,AGROINDUSTRIA SANTA MARIA S.A.C.,agroindustria,LIMA,LIMA,SANTIAGO DE SURCO,150140,-12.126991046999931,-76.98430619899995,False,False,-1,,Fuera de territorio,Pisco,2.7855116323335096,False
20250406941,AGROVET MARKET S.A,agro_otro,LIMA,LIMA,SAN LUIS,150134,-12.074086508999926,-76.99723940499996,False,False,-1,,Fuera de territorio,Pisco,2.7855116323335096,False
20307758645,SOCIEDAD AGRICOLA SATURNO SA,productor,LIMA,LIMA,MAGDALENA DEL MAR,150120,-12.093838644999948,-77.06669448899999,False,False,-1,,Fuera de territorio,Pisco,2.8756055096018827,False
20330930048,S.M.R.L. SR. DE LOS MILAGROS DE TRUJILLO,agro_otro,LIMA,LIMA,SAN ISIDRO,150131,-12.09898090799993,-77.03667219399995,False,False,-1,,Fuera de territorio,Pisco,2.8756055096018827,False
20414251561,PROGRAMA DE DESARROLLO DE SANIDAD AGROPE,agro_otro,LIMA,LIMA,LA MOLINA,150114,-12.088085452999962,-76.92572938299998,False,False,-1,,Fuera de territorio,Pisco,2.7855116323335096,False
20100639654,CONSORCIO AGROPECUARIO AMERICANO S.A.C,productor,LIMA,LIMA,LURIN,150119,-12.243244325666637,-76.86513057833328,False,False,-1,,Fuera de territorio,Pisco,2.512354416481685,False
20466067874,AGRO-INVERSIONES CHAVIN S.A.C.,agro_otro,LIMA,LIMA,SANTIAGO DE SURCO,150140,-12.126991046999931,-76.98430619899995,False,False,-1,,Fuera de territorio,Pisco,2.7855116323335096,False
20110378956,AGROMAR INDUSTRIAL S.A.,agro_otro,LIMA,LIMA,SAN ISIDRO,150131,-12.09898090799993,-77.03667219399995,False,False,-1,,Fuera de territorio,Pisco,2.8756055096018827,False
20505688903,AGRICOLA ANDREA S.A.C.,productor,LIMA,LIMA,SAN ISIDRO,150131,-12.09898090799993,-77.03667219399995,False,False,-1,,Fuera de territorio,Pisco,2.8756055096018827,False
20257364357,MOLINOS & CIA S.A.,agroindustria,LIMA,LIMA,ATE,150103,-12.04034159349996,-76.90482929099994,False,False,-1,,Fuera de territorio,Pisco,3.051842853206836,False
