ruc,razon_social,clase,estado,condicion,ubigeo,direccion,exporta,importa,comex,activo,habido,distrito,provincia,dep
20616340574,ASOCIACION DE PRODUCTORES AGROPECUARIOS EL POLLON DEL DISTRITO DE YANATILE-CALCA,productor,ACTIVO,HABIDO,080408,AV. BENJAMIN HERMOZA SN,False,False,False,True,True,YANATILE,CALCA,CUSCO
20616337875,ASOCIACION AGROFORESTAL CASTAÑA WASI,agro_otro,ACTIVO,HABIDO,170203,AV. 23 DE NOVIEMBRE ---- B COLORADO (PLAYA OCULTA) 6-A,False,False,False,True,True,MADRE DE DIOS,MANU,MADRE DE DIOS
20616337336,ASOCIACION DE PRODUCTORES AGROPECUARIOS EL NOGALITO,productor,ACTIVO,HABIDO,061109,CAS. EL NOGALITO SN,False,False,False,True,True,NIEPOS,SAN MIGUEL,CAJAMARCA
20616339541,BIO TERRA AGRO E.I.R.L.,agro_otro,ACTIVO,HABIDO,220105,JR. HIPOLITO RANGEL C7,False,False,False,True,True,SORITOR,MOYOBAMBA,SAN MARTIN
20616342305,AGROPECUARIA LA CASA DEL AGRICULTOR E.I.R.L.,productor,ACTIVO,HABIDO,040703,CAL. AREQUIPA - LA CURVA 201,False,False,False,True,True,DEAN VALDIVIA,ISLAY,AREQUIPA
20616346122,ASOCIACION DE PRODUCTORES AGROPECUARIOS DE GANADO MEJORADO VIRGEN ROSARIO CHINGORA,productor,ACTIVO,HABIDO,211105,COM. CHINGORA PAMPILLA SAM I A SN,False,False,False,True,True,,,
20616344979,COOPERATIVA AGRARIA CCATUN HUANCAHUANCA - COOPACCAHUA,productor,ACTIVO,HABIDO,050707,---- CASCARA S/N 2 E,False,False,False,True,True,SAN FRANCISCO DE RAVACAYCO,PARINACOCHAS,AYACUCHO
20616342372,AGROINDUSTRIAL CHILALA E.I.R.L.,agroindustria,ACTIVO,HABIDO,130101,URB. SAN JUDAS TADEO 4 B,False,False,False,True,True,TRUJILLO,TRUJILLO,LA LIBERTAD
20616345037,AGROINMEC HT S.A.C.,agro_otro,ACTIVO,HABIDO,130403,OTR. XXXX A.H. EL MILAGRO XXX,False,False,False,True,True,PUEBLO NUEVO,CHEPEN,LA LIBERTAD
20616344502,ASOCIACION DE PRODUCTORES AGROPECUARIOS LOS GANADEROS DEL NORTE DE PALLAN,productor,ACTIVO,HABIDO,060312,---- PUEBLO LIBERTAD DE PALLAN CAS. SAN MARTIN SN,False,False,False,True,True,LA LIBERTAD DE PALLAN,CELENDIN,CAJAMARCA
20616347145,AGRICOLA SANTA DELIA S.A.C.,productor,ACTIVO,HABIDO,061001,OTR. SECTOR SANTA DELIA CAS. COCHAMARCA SN,False,False,False,True,True,PEDRO GALVEZ,SAN MARCOS,CAJAMARCA
20616345061,ASOCIACION DE PRODUCTORES AGROPECUARIOS NUEVA GENERACION DE RAYMONDI,productor,ACTIVO,HABIDO,120504,AV. FLORIDA C.P. RAIMONDI 02 F,False,False,False,True,True,ULCUMAYO,JUNIN,JUNIN
20616347200,AGROINDUSTRIAS CAPO OLIVA E.I.R.L.,agroindustria,ACTIVO,HABIDO,040701,CAL. GENERAL LARA 210,False,False,False,True,True,MOLLENDO,ISLAY,AREQUIPA
20616341805,SOLUCIONES AGRICOLAS G & G E.I.R.L.,productor,ACTIVO,HABIDO,150501,URB. SANTA TERESA 16 B,False,False,False,True,True,SAN VICENTE DE CAÑETE,CAÑETE,LIMA
20616343085,SOLUCIONES AGRICOLAS GENERALES E.I.R.L.,productor,ACTIVO,HABIDO,150141,CAL. CARLYLE URB. LA CALERA DE LA MERCED 111 501,False,False,False,True,True,SURQUILLO,LIMA,LIMA
