dep,prov,dist,ha_agricola,ha_territorial,n_sectores,intensidad_agricola
JUNIN,SATIPO,PAMPA HERMOSA,5306.865064,95000.448144,4,0.05586147400016416
JUNIN,SATIPO,PANGOA,58009.90892794,441379.18935218,14,0.13142873594263058
JUNIN,SATIPO,RIO NEGRO,22462.347235,48812.905438,8,0.46017230552954247
JUNIN,SATIPO,RIO TAMBO,42804.664065000004,1021037.300183,11,0.04192272315353038
JUNIN,SATIPO,SATIPO,35251.456067,81508.53765099999,6,0.4324878973775518
JUNIN,SATIPO,VIZCATAN DEL ENE,7120.463174,60713.036537,3,0.11728062999551368
JUNIN,TARMA,ACOBAMBA,5036.323888,10718.041093,5,0.46989219805186655
JUNIN,TARMA,HUARICOLCA,1998.509157,16464.516703999998,4,0.12138280114316802
JUNIN,TARMA,HUASAHUASI,1593.859996,63690.500192,6,0.025025082095370334
JUNIN,TARMA,LA UNION,2888.983273,15147.290265,4,0.19072607855646714
JUNIN,TARMA,PALCA,5443.488855,27033.098724,4,0.2013638506845413
JUNIN,TARMA,PALCAMAYO,4894.909622,16777.528761,3,0.291753910348132
JUNIN,TARMA,SAN PEDRO DE CAJAS,3468.286945,51202.314400999996,3,0.06773691747286062
JUNIN,TARMA,TAPO,5229.185768,21494.840213,5,0.24327632660592696
JUNIN,TARMA,TARMA,8336.719541,44530.050514999995,6,0.18721558688085851
JUNIN,YAULI,CHACAPALPA,244.695338,18602.048177,3,0.013154214830093115
JUNIN,YAULI,HUAY-HUAY,108.204594,19304.924387,1,0.005605025527728321
JUNIN,YAULI,LA OROYA,49.207,37989.278002,3,0.0012952865278831945
JUNIN,YAULI,MARCAPOMACOCHA,286.883094,88332.711419,1,0.003247756005577484
JUNIN,YAULI,MOROCOCHA,10.279196,26480.149107,1,0.00038818497427881574
JUNIN,YAULI,PACCHA,21.581711,32270.660297,1,0.0006687719061641362
JUNIN,YAULI,SANTA BARBARA DE CARHUACAYAN,146.080447,68032.287637,1,0.0021472223274254967
JUNIN,YAULI,SANTA ROSA DE SACCO,17.922801,10028.908815,1,0.001787113765875834
JUNIN,YAULI,SUITUCANCHA,0.0,21533.901947,1,0.0
JUNIN,YAULI,YAULI,49.24577,41060.128229,1,0.0011993574332098318
LA LIBERTAD,ASCOPE,ASCOPE,4153.259894999999,29777.787555000003,2,0.13947509993242005
LA LIBERTAD,ASCOPE,CASA GRANDE,13145.920187,65917.219422,2,0.1994307451417243
LA LIBERTAD,ASCOPE,CHICAMA,11382.046311,89706.333264,3,0.12688118995459735
LA LIBERTAD,ASCOPE,CHOCOPE,8539.426062999999,9908.969356,3,0.8617875135348233
LA LIBERTAD,ASCOPE,MAGDALENA DE CAO,12360.067661000001,16040.999572,3,0.770529766896499
LA LIBERTAD,ASCOPE,PAIJAN,5526.1885139999995,8208.434894,3,0.6732329104588984
LA LIBERTAD,ASCOPE,RAZURI,12346.435971,31054.101958,2,0.397578264787637
LA LIBERTAD,ASCOPE,SANTIAGO DE CAO,10156.345054,13601.928698,4,0.7466841857135575
LA LIBERTAD,BOLIVAR,BAMBAMARCA,2294.818662,16449.752955,3,0.1395047492979204
LA LIBERTAD,BOLIVAR,BOLIVAR,4028.179034,73708.25805599999,3,0.05465030839474707
LA LIBERTAD,BOLIVAR,CONDORMARCA,2311.980181,32385.660057,3,0.07138900911486214
LA LIBERTAD,BOLIVAR,LONGOTEA,1199.741731,18919.662481,2,0.06341242779594172
LA LIBERTAD,BOLIVAR,UCHUMARCA,2712.086518,22132.039881999997,3,0.12254119062046973
LA LIBERTAD,BOLIVAR,UCUNCHA,680.465522,10035.581267000001,2,0.06780529237878573
LA LIBERTAD,CHEPEN,CHEPEN,8901.883267000001,28847.670138,4,0.30858239935549836
LA LIBERTAD,CHEPEN,PACANGA,21153.673153,58806.293553,4,0.35971784438233556
LA LIBERTAD,CHEPEN,PUEBLO NUEVO,10453.547489999999,27020.913326,4,0.38686876952976307
LA LIBERTAD,GRAN CHIMU,CASCAS,6741.087987999999,46686.879323,6,0.14438934633780598
LA LIBERTAD,GRAN CHIMU,LUCMA,4995.179945,28771.219577,4,0.1736172473200683
LA LIBERTAD,GRAN CHIMU,MARMOT,1773.767022,30026.122787,3,0.05907412803786853
LA LIBERTAD,GRAN CHIMU,SAYAPULLO,6685.284626,23459.581851000003,4,0.2849703233612848
LA LIBERTAD,JULCAN,CALAMARCA,7490.992276,20908.664069,6,0.3582721617832312
LA LIBERTAD,JULCAN,CARABAMBA,9503.227794999999,23448.111804,4,0.40528755041925585
LA LIBERTAD,JULCAN,HUASO,14983.401598,43905.255951,4,0.34126669514743446
LA LIBERTAD,JULCAN,JULCAN,14752.791303999998,22794.460828,6,0.6472094872223577
LA LIBERTAD,OTUZCO,AGALLPAMPA,20684.917674,25846.114896,4,0.8003105208358121
LA LIBERTAD,OTUZCO,CHARAT,3082.602019,6585.027128,2,0.46812290353255476
LA LIBERTAD,OTUZCO,HUARANCHAL,4688.133038,13535.136213999998,3,0.3463676289530691
LA LIBERTAD,OTUZCO,LA CUESTA,1323.574598,4145.098671,2,0.31931075784999086
LA LIBERTAD,OTUZCO,MACHE,3458.2966180000003,3732.7056709999997,2,0.9264852155014717
LA LIBERTAD,OTUZCO,OTUZCO,22647.739506,40216.785919999995,6,0.563141459167108
LA LIBERTAD,OTUZCO,PARANDAY,1372.9504140000001,2216.329168,2,0.619470444112298
LA LIBERTAD,OTUZCO,SALPO,8232.85278,19557.623334999997,3,0.4209536424227285
LA LIBERTAD,OTUZCO,SINSICAP,10014.355366,45373.980909,4,0.2207070035596907
LA LIBERTAD,OTUZCO,USQUIL,29553.970888,46756.703574,5,0.632079865109098
LA LIBERTAD,PACASMAYO,GUADALUPE,7974.218666999999,16736.222492,4,0.47646466643304464
LA LIBERTAD,PACASMAYO,JEQUETEPEQUE,1914.137739,4871.29244,3,0.39294248140027493
LA LIBERTAD,PACASMAYO,PACASMAYO,653.991054,3448.775425,1,0.18962993335525755
LA LIBERTAD,PACASMAYO,SAN JOSE,5451.432222,17824.147054,5,0.3058453347295863
LA LIBERTAD,PACASMAYO,SAN PEDRO DE LLOC,6854.747753,68230.732202,4,0.10046422677549796
LA LIBERTAD,PATAZ,BULDIBUYO,3678.695781,23007.460408,3,0.15989143155151833
LA LIBERTAD,PATAZ,CHILLIA,12633.899671,30884.657049,5,0.4090671834547396
LA LIBERTAD,PATAZ,HUANCASPATA,6633.075644,24213.525822,3,0.2739409242900635
LA LIBERTAD,PATAZ,HUAYLILLAS,1289.827415,9290.427079,3,0.1388340281918271
LA LIBERTAD,PATAZ,HUAYO,5889.17471,12524.729431,4,0.4702037471103914
LA LIBERTAD,PATAZ,ONGON,856.53142,131290.358397,4,0.00652394761091285
LA LIBERTAD,PATAZ,PARCOY,8411.477283,27790.659829,5,0.3026728165058711
LA LIBERTAD,PATAZ,PATAZ,4179.717504,39335.810088,5,0.10625731349244764
LA LIBERTAD,PATAZ,PIAS,2473.847713,31032.176152,2,0.07971879577129053
LA LIBERTAD,PATAZ,SANTIAGO DE CHALLAS,4283.495181,13056.211577,3,0.3280810176625709
LA LIBERTAD,PATAZ,TAURIJA,3215.7734060000003,13053.892987,2,0.24634592984655976
LA LIBERTAD,PATAZ,TAYABAMBA,12445.982134999998,33816.895639,4,0.36804035083121067
LA LIBERTAD,PATAZ,URPAY,2591.60106,10251.194520000001,2,0.25280966573639846
LA LIBERTAD,SANCHEZ CARRION,CHUGAY,16595.497424,41747.507088,7,0.39752068043292216
LA LIBERTAD,SANCHEZ CARRION,COCHORCO,10200.343945,26284.452888,5,0.38807518606015584
LA LIBERTAD,SANCHEZ CARRION,CURGOS,6933.644575,9839.377819,3,0.7046832332844277
LA LIBERTAD,SANCHEZ CARRION,HUAMACHUCO,22889.590619000002,41600.837751,7,0.5502194632715006
LA LIBERTAD,SANCHEZ CARRION,MARCABAL,9943.354884,23563.780502,5,0.42197621401014357
LA LIBERTAD,SANCHEZ CARRION,SANAGORAN,13767.353973,33734.474732,6,0.4081093327337479
LA LIBERTAD,SANCHEZ CARRION,SARIN,7293.477208,33588.323598999996,4,0.2171432339129049
LA LIBERTAD,SANCHEZ CARRION,SARTIMBAMBA,15212.152264,39800.269235,7,0.3822122954540863
LA LIBERTAD,SANTIAGO DE CHUCO,ANGASMARCA,4638.86316,15036.983287,5,0.30849692863664085
LA LIBERTAD,SANTIAGO DE CHUCO,CACHICADAN,5371.194757,27041.056486,4,0.19863109859560538
LA LIBERTAD,SANTIAGO DE CHUCO,MOLLEBAMBA,2215.534025,6942.85748,3,0.31910982349590156
LA LIBERTAD,SANTIAGO DE CHUCO,MOLLEPATA,2668.959718,6911.9220080000005,3,0.38613857548029207
LA LIBERTAD,SANTIAGO DE CHUCO,QUIRUVILCA,8181.140596,55477.060613999995,6,0.14746889084342432
LA LIBERTAD,SANTIAGO DE CHUCO,SANTA CRUZ DE CHUCA,5848.877874,16353.350902,4,0.35765623260029766
LA LIBERTAD,SANTIAGO DE CHUCO,SANTIAGO DE CHUCO,17109.672477,108088.630171,6,0.15829299020564788
LA LIBERTAD,SANTIAGO DE CHUCO,SITABAMBA,8302.03918,31520.214669,5,0.263387774073919
LA LIBERTAD,TRUJILLO,EL PORVENIR,79.222383,3839.085214,1,0.020635744867318798
LA LIBERTAD,TRUJILLO,FLORENCIA DE MORA,0.0,250.856554,1,0.0
LA LIBERTAD,TRUJILLO,HUANCHACO,1693.435733,31629.308427,2,0.053540080931849206
LA LIBERTAD,TRUJILLO,LA ESPERANZA,1.108057,2112.539957,1,0.0005245141027171587
LA LIBERTAD,TRUJILLO,LAREDO,7613.637314,49239.0457,5,0.15462601286767017
LA LIBERTAD,TRUJILLO,MOCHE,1699.3194819999999,2819.684937,2,0.6026628931840834
LA LIBERTAD,TRUJILLO,POROTO,1312.911974,15033.388492,3,0.08733307029873302
LA LIBERTAD,TRUJILLO,SALAVERRY,7338.939,28849.704422000003,2,0.25438524057818507
LA LIBERTAD,TRUJILLO,SIMBAL,1705.1120700000001,38870.296555,2,0.04386671111673488
LA LIBERTAD,TRUJILLO,TRUJILLO,957.894339,3823.637987,2,0.2505190978478476
LA LIBERTAD,TRUJILLO,VICTOR LARCO HERRERA,499.04090599999995,1184.944966,2,0.4211511254270352
LA LIBERTAD,VIRU,CHAO,18214.087179,167398.563181,9,0.10880671155645454
LA LIBERTAD,VIRU,GUADALUPITO,1428.764831,42706.285896,5,0.03345560966082097
LA LIBERTAD,VIRU,VIRU,28716.847911,108508.469325,16,0.26465075113158687
LAMBAYEQUE,CHICLAYO,CAYALTI,4707.487951,16440.628894999998,4,0.28633259597701055
LAMBAYEQUE,CHICLAYO,CHICLAYO,2471.954222,4716.826931,4,0.5240714272880749
LAMBAYEQUE,CHICLAYO,CHONGOYAPE,9321.101864,72121.697482,12,0.1292412989354049
LAMBAYEQUE,CHICLAYO,ETEN,842.185781,8323.936592,2,0.1011763811138844
LAMBAYEQUE,CHICLAYO,ETEN PUERTO,5.778922,1316.3533,1,0.004390099527231785
LAMBAYEQUE,CHICLAYO,JOSE LEONARDO ORTIZ,1621.451498,2926.904611,4,0.5539816678364582
LAMBAYEQUE,CHICLAYO,LA VICTORIA,2725.5133570000003,4087.52813,4,0.6667876697890762
LAMBAYEQUE,CHICLAYO,LAGUNAS,10880.552807,42988.222456999996,8,0.253105436445611
LAMBAYEQUE,CHICLAYO,MONSEFU,3633.048182,4677.899389,5,0.7766409407057899
LAMBAYEQUE,CHICLAYO,NUEVA ARICA,2196.25518,21147.430513,5,0.10385446963166008
LAMBAYEQUE,CHICLAYO,OYOTUN,6245.340991,48673.258609,8,0.12831154456227833
LAMBAYEQUE,CHICLAYO,PATAPO,6516.8820240000005,18401.991475,7,0.3541400414652676
LAMBAYEQUE,CHICLAYO,PICSI,4146.559378,5226.073536,4,0.7934368602807199
LAMBAYEQUE,CHICLAYO,PIMENTEL,3063.819831,6657.260575,3,0.46022230863330743
