ubigeo,dep,prov,dist,cod_se,sector,ha_se,ha_agricola,intensidad,lat,lon
010111,AMAZONAS,CHACHAPOYAS,LEVANTO,1011103,QUIPACHACHA,1520.6688156306366,65.22569838418612,0.0428927704137448,-6.3368231749999495,-77.91331482699997
010112,AMAZONAS,CHACHAPOYAS,MAGDALENA,1011201,MAGDALENA,5645.940917390526,1847.118302169152,0.3271586311645046,-6.413631977999955,-77.85896451499997
010112,AMAZONAS,CHACHAPOYAS,MAGDALENA,1011202,SEÑOR DE LOS MILAGROS,7909.160284973156,1609.3784180808657,0.20348284269046496,-6.422165419999942,-77.79568164499995
010113,AMAZONAS,CHACHAPOYAS,MARISCAL CASTILLA,1011301,TACTA,3420.70647193023,1853.5039409745991,0.5418482866577872,-6.567048273999944,-77.78826004399997
010113,AMAZONAS,CHACHAPOYAS,MARISCAL CASTILLA,1011302,SHUEMBE,3633.3197117762074,54.12410889059828,0.014896599579490027,-6.5853763789999675,-77.74570060599996
010113,AMAZONAS,CHACHAPOYAS,MARISCAL CASTILLA,1011303,DURAZNOPAMPA,839.2235759372519,580.6027865867597,0.6918332649774974,-6.599233590999972,-77.80074188599997
010114,AMAZONAS,CHACHAPOYAS,MOLINOPAMPA,1011401,MOLINOPAMPA,6387.261852625785,1831.8063874766708,0.2867905574786511,-6.17647945799996,-77.68183988899995
010114,AMAZONAS,CHACHAPOYAS,MOLINOPAMPA,1011402,SANTA CRUZ DEL TINGO,4986.651908416461,1343.2875113722876,0.2693766350735429,-6.206184715999939,-77.62111621499997
010114,AMAZONAS,CHACHAPOYAS,MOLINOPAMPA,1011403,SAN JOSE DE DALLAVOZ,9263.731471213356,1346.6279276289865,0.1453656047580367,-6.2123247069999366,-77.57913765199999
010114,AMAZONAS,CHACHAPOYAS,MOLINOPAMPA,1011404,IZCUCHACA,7868.3470017277095,895.8117936961819,0.11385006196339359,-6.221007257999929,-77.52918554599995
010114,AMAZONAS,CHACHAPOYAS,MOLINOPAMPA,1011405,HUASCAZALA,5558.694657841621,1962.3536149989557,0.3530241784787862,-6.247398313999952,-77.66654934199994
010115,AMAZONAS,CHACHAPOYAS,MONTEVIDEO,1011501,MONTEVIDEO,6289.164394149647,1028.6619606708318,0.16356099096848564,-6.611375783999961,-77.71783648399997
010115,AMAZONAS,CHACHAPOYAS,MONTEVIDEO,1011502,SAMANGA,6007.890540962988,521.6891910118806,0.08683400395777857,-6.640477985999951,-77.71524144399996
010116,AMAZONAS,CHACHAPOYAS,OLLEROS,1011601,SAN MIGUEL - SIRICHA,4407.063303766175,994.7565832857902,0.22571869626553676,-5.982745918999967,-77.70731229999996
010116,AMAZONAS,CHACHAPOYAS,OLLEROS,1011602,OLLEROS,6281.053747132406,695.7287702247131,0.11076625009654563,-6.02641171199997,-77.64550042499997
010117,AMAZONAS,CHACHAPOYAS,QUINJALCA,1011701,QUINJALCA,6177.108874927127,2421.7692978817818,0.39205546590116597,-6.094981845999939,-77.67492652399994
010117,AMAZONAS,CHACHAPOYAS,QUINJALCA,1011702,CHONTAPAMPA,2072.902115573546,444.4823741689046,0.21442516307429302,-6.147336265999968,-77.71702832999995
010118,AMAZONAS,CHACHAPOYAS,SAN FRANCISCO DE DAGUAS,1011801,PIPUS,4044.1240376690926,1289.8673249679541,0.31894850725483526,-6.232236738999973,-77.73357597799998
010119,AMAZONAS,CHACHAPOYAS,SAN ISIDRO DE MAINO,1011901,MAINO,4740.997835951538,1418.532240614653,0.2992054182893225,-6.336243249999939,-77.84080871899994
010119,AMAZONAS,CHACHAPOYAS,SAN ISIDRO DE MAINO,1011902,TOLPIN,5099.275284484996,818.0576222287109,0.16042625208286457,-6.376240115999963,-77.79495468599998
010119,AMAZONAS,CHACHAPOYAS,SAN ISIDRO DE MAINO,1011903,CALPILON,967.3181140075731,243.53568776130052,0.2517638036905343,-6.35557188699994,-77.87544971299997
010120,AMAZONAS,CHACHAPOYAS,SOLOCO,1012001,SOLOCO,1098.3206968739182,604.995593900061,0.5508369236981714,-6.278331014999935,-77.75446833099994
010120,AMAZONAS,CHACHAPOYAS,SOLOCO,1012002,LOLTO,1179.8679742775394,698.5796246168445,0.5920828769376515,-6.27207348099995,-77.73125290299998
010120,AMAZONAS,CHACHAPOYAS,SOLOCO,1012003,OQUISH,1514.6335275286892,105.68191712634429,0.06977391904085031,-6.332284295999955,-77.72261532999994
010120,AMAZONAS,CHACHAPOYAS,SOLOCO,1012004,QUITACHI,1785.3113458660055,1.7570515940602836,0.0009841709672258796,-6.337534483999946,-77.73862687599996
010120,AMAZONAS,CHACHAPOYAS,SOLOCO,1012005,MITO,1905.5748019658438,129.20610518642707,0.06780426832530241,-6.307774783999946,-77.77636429699999
010121,AMAZONAS,CHACHAPOYAS,SONCHE,1012101,CARRIZAL,2358.3597098708833,0.0,0.0,-6.149920061999978,-77.83824603899996
010121,AMAZONAS,CHACHAPOYAS,SONCHE,1012102,OLMAL,2729.133159970874,260.40321197864955,0.09541608881459951,-6.150457722999931,-77.79173711099997
010121,AMAZONAS,CHACHAPOYAS,SONCHE,1012103,SONCHE,3707.092842390622,511.9534452873935,0.1381010584448287,-6.196994270999937,-77.75883468799998
010121,AMAZONAS,CHACHAPOYAS,SONCHE,1012104,PANA,3235.4054993782047,82.97632556498148,0.025646344973119524,-6.192399511999952,-77.81290204799996
010201,AMAZONAS,BAGUA,BAGUA,1020101,ESPITAL,5328.455351239515,2451.733231883176,0.46012081743592903,-5.5206172849999575,-78.52385627399997
010201,AMAZONAS,BAGUA,BAGUA,1020102,CASUAL,4224.630485437639,1431.5290577126138,0.33885308138714487,-5.596890347999931,-78.53215139499997
010201,AMAZONAS,BAGUA,BAGUA,1020103,TOMAQUE,3758.006432348837,1812.0244745549437,0.4821770550888569,-5.64842828899998,-78.50435201399995
010202,AMAZONAS,BAGUA,ARAMANGO,1020201,C.N. TUTUMBEROS,33673.73380649601,8495.611122226544,0.2522919249479739,-5.313165795999964,-78.51111403499993
010202,AMAZONAS,BAGUA,ARAMANGO,1020202,ARAMANGO,25200.273552951305,8712.072764484386,0.34571342037928315,-5.36953535899994,-78.40615452399999
010202,AMAZONAS,BAGUA,ARAMANGO,1020203,EL PORVENIR,23116.30099267938,10135.987338717821,0.4384779096762822,-5.49830690899995,-78.41505827499998
010203,AMAZONAS,BAGUA,COPALLIN,1020301,CHONZA LAGUNA,2876.9173526477352,1816.3688940869417,0.6313594279707998,-5.62249197899996,-78.38602246499994
010203,AMAZONAS,BAGUA,COPALLIN,1020302,LLUHUANA,3132.741813743825,707.0132400866817,0.22568512891324297,-5.6090972089999696,-78.35347197699997
010203,AMAZONAS,BAGUA,COPALLIN,1020303,COPALLIN,666.1089992480315,581.064186145348,0.8723259808849747,-5.681337638999935,-78.42906131199999
010203,AMAZONAS,BAGUA,COPALLIN,1020304,ALENYA,3231.5054202926503,1174.975487923653,0.36360003623860404,-5.697706838999977,-78.45312564499994
010204,AMAZONAS,BAGUA,EL PARCO,1020401,SAN JOSE,804.3897634760975,525.4246732502878,0.6531966182410287,-5.610698781999929,-78.47618106699997
010204,AMAZONAS,BAGUA,EL PARCO,1020402,EL PARCO,1014.2194267101647,463.09592068834166,0.45660328375930564,-5.632107520999966,-78.47221561599997
010205,AMAZONAS,BAGUA,IMAZA,1020501,KUN CHIN,178933.0451403232,8905.803324895121,0.049771708282899875,-4.831778896999936,-78.51057780299999
010205,AMAZONAS,BAGUA,IMAZA,1020502,MESONES MURO,84389.63856796618,12288.302687165404,0.1456138798043149,-4.83976759799998,-78.24579393399995
