ubigeo,dep,prov,dist,cod_se,sector,ha_se,ha_agricola,intensidad,lat,lon,region_nat,region_agraria,agencia_agraria,k,ha_dep,share,productores,ua_total,ua_micro_0_5,ua_pequeno_5_20,ua_mediano_20_100,ua_grande_100_mas,ua_objetivo_5_mas,est_productores,est_ua_micro_0_5,est_ua_pequeno_5_20,est_ua_mediano_20_100,est_ua_grande_100_mas,est_ua_objetivo_5_mas,gasto_ha,tam_usd,ha_comercial,sam_usd
10104,AMAZONAS,CHACHAPOYAS,CHETO,01010401,CHETO,1281.0860192458229,618.7465767533984,0.4829859724155411,-6.275737246999938,-77.70892396799997,SIERRA,AMAZONAS,CHACHAPOYAS,AMAZONAS,520995.2885194088,0.0011876241309432649,69562.0,69028.0,43896.0,18305.0,6092.0,735.0,25132.0,82.61350979667539,52.131948851885554,21.739459716916464,7.2350062057063695,0.8729037362432996,29.847369658866132,450,278435.9595390293,495.60679329150634,223023.05698117786
10104,AMAZONAS,CHACHAPOYAS,CHETO,01010402,GACMAL,874.7258211859323,257.16285758206214,0.2939925304061642,-6.295984905999944,-77.67386647199999,SIERRA,AMAZONAS,CHACHAPOYAS,AMAZONAS,520995.2885194088,0.0004935991999330374,69562.0,69028.0,43896.0,18305.0,6092.0,735.0,25132.0,34.335747545741945,21.66703048026061,9.03533335477425,3.007006325992064,0.3627954119507825,12.405135092717096,450,115723.28591192796,205.98361912347522,92692.62860556385
10104,AMAZONAS,CHACHAPOYAS,CHETO,01010403,HUAMAZAN,642.743424345742,61.742996536253145,0.0960616541493244,-6.278197987999931,-77.64197628199997,SIERRA,AMAZONAS,CHACHAPOYAS,AMAZONAS,520995.2885194088,0.00011850970228870508,69562.0,69028.0,43896.0,18305.0,6092.0,735.0,25132.0,8.243771910606903,5.202101891664999,2.1693201003947467,0.7219611063427913,0.08710463118219823,2.978385837919736,450,27784.348441313916,49.45522071750668,22254.849322878006
10104,AMAZONAS,CHACHAPOYAS,CHETO,01010404,YAMIA,2140.6111716050373,121.1238538009562,0.0565837716852319,-6.303895157999932,-77.64631825699996,SIERRA,AMAZONAS,CHACHAPOYAS,AMAZONAS,520995.2885194088,0.0002324855070094246,69562.0,69028.0,43896.0,18305.0,6092.0,735.0,25132.0,16.172156838589594,10.205183815685702,4.255647205807517,1.4163017087014147,0.17087684765192707,5.842825762160859,450,54505.73421043029,97.01840305667828,43658.28137550523
10104,AMAZONAS,CHACHAPOYAS,CHETO,01010405,HUACAPAMPA,2099.6810577056003,932.961352934628,0.4443347952827224,-6.313207606999981,-77.70108261299998,SIERRA,AMAZONAS,CHACHAPOYAS,AMAZONAS,520995.2885194088,0.001790728963376935,69562.0,69028.0,43896.0,18305.0,6092.0,735.0,25132.0,124.56668815042634,78.60583857639394,32.77929367461479,10.909120844892287,1.3161857880820471,45.00460030758913,450,419832.6088205826,747.2881495667955,336279.667305058
10105,AMAZONAS,CHACHAPOYAS,CHILIQUIN,01010501,SENGANCHE,2797.558201405431,394.7412513259656,0.1411020693430636,-6.039875628999937,-77.78594772299994,SIERRA,AMAZONAS,CHACHAPOYAS,AMAZONAS,520995.2885194088,0.00075766760280647,69562.0,69028.0,43896.0,18305.0,6092.0,735.0,25132.0,52.70487378642366,33.258577092792805,13.869105469372432,4.615711036297015,0.5568856880627554,19.041702193732203,450,177633.56309668452,316.18186362509664,142281.83863129347
10105,AMAZONAS,CHACHAPOYAS,CHILIQUIN,01010502,VITUYA,4160.9447923936505,733.9118582310239,0.1763810612370152,-6.056148140999937,-77.75879851999997,SIERRA,AMAZONAS,CHACHAPOYAS,AMAZONAS,520995.2885194088,0.001408672735441989,69562.0,69028.0,43896.0,18305.0,6092.0,735.0,25132.0,97.99009282281563,61.83509839496155,25.785754422265608,8.581634304312596,1.0353744605498618,35.402763187128066,450,330260.33620396076,587.8524686552792,264533.6108948756
10105,AMAZONAS,CHACHAPOYAS,CHILIQUIN,01010503,CHILIQUIN,4837.940566010124,825.8260260587833,0.1706978444218149,-6.092866840999932,-77.74182801799998,SIERRA,AMAZONAS,CHACHAPOYAS,AMAZONAS,520995.2885194088,0.001585093079067295,69562.0,69028.0,43896.0,18305.0,6092.0,735.0,25132.0,110.26224476607916,69.57924579873797,29.015128812326832,9.65638703767796,1.1650434131144618,39.836559263119256,450,371621.7117264525,661.474348252891,297663.45671380096
10105,AMAZONAS,CHACHAPOYAS,CHILIQUIN,01010504,CUELCHO,2383.7622226306544,333.44788992769764,0.1398830331154899,-6.131928744999925,-77.74395311699999,SIERRA,AMAZONAS,CHACHAPOYAS,AMAZONAS,520995.2885194088,0.00064002093161976,69562.0,69028.0,43896.0,18305.0,6092.0,735.0,25132.0,44.52113604533375,28.094358814380985,11.715583153299708,3.899007515427578,0.4704153847405236,16.085006053467808,450,150051.55046746394,267.08679395692144,120189.05728061465
10106,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,01010601,CHUQUIBAMBA,10864.464413184862,964.3921093311352,0.0887657295062581,-6.931201705999968,-77.85445405999997,SIERRA,AMAZONAS,CHACHAPOYAS,AMAZONAS,520995.2885194088,0.0018510572563367978,69562.0,69028.0,43896.0,18305.0,6092.0,735.0,25132.0,128.76324486530032,81.25400932416008,33.883603077245084,11.276640805603773,1.3605270834075465,46.5207709662564,450,433976.44919901085,772.4637173576259,347608.67281093163
