ubigeo,dep,prov,dist,cod_se,sector,ha_se,ha_agricola,intensidad,lat,lon,k,region_nat,agencia_agraria,share,ha_cosechada,gasto_ha,sam_usd,clientes_sam,tam_usd,share_comercial,tasa_compra,s_ha_cosechada,s_sam_usd,s_clientes_sam,s_tam_usd
10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,01010101,AEROPUERTO,3529.484692928348,944.5104422956867,0.2676057624468811,-6.211162749999971,-77.87639983399998,amazonas,SIERRA,CHACHAPOYAS,0.001812896321922306,269973.76900000003,370.3402789429764,18598170.819262616,5316.720693052095,99982160.91874668,0.8792875390838767,0.2115518340383612,489.4344528356023,33716.55547272396,9.638663389122357,181257.29178744
10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,01010102,TAQUIA,6667.912617994845,1499.8461990896242,0.2249348911744817,-6.256540977999975,-77.81428665399994,amazonas,SIERRA,CHACHAPOYAS,0.002878809525038056,269973.76900000003,370.3402789429764,18598170.819262616,5316.720693052095,99982160.91874668,0.8792875390838767,0.2115518340383612,777.2030577076239,53540.59130277805,15.305826173125306,287829.5971867756
10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,01010103,MOLINO,1949.6648133184976,915.023537998494,0.4693235123021198,-6.266829395999935,-77.87408786399999,amazonas,SIERRA,CHACHAPOYAS,0.0017562990648127643,269973.76900000003,370.3402789429764,18598170.819262616,5316.720693052095,99982160.91874668,0.8792875390838767,0.2115518340383612,474.1546780186773,32663.950017098978,9.337751581078066,175598.5757195541
10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,01010104,PENCAPAMPA,3193.3407650302224,612.4306315532327,0.1917836762865602,-6.2581085599999255,-77.91189073599998,amazonas,SIERRA,CHACHAPOYAS,0.0011755012858056157,269973.76900000003,370.3402789429764,18598170.819262616,5316.720693052095,99982160.91874668,0.8792875390838767,0.2115518340383612,317.3545125932883,21862.17371167569,6.249812010952063,117529.1587176107
10102,AMAZONAS,CHACHAPOYAS,ASUNCION,01010201,VISTA HERMOSA,595.6949724197626,304.6615802644105,0.5114388980434899,-5.965723329999946,-77.75835636099998,amazonas,SIERRA,CHACHAPOYAS,0.0005847683980602079,269973.76900000003,370.3402789429764,18598170.819262616,5316.720693052095,99982160.91874668,0.8792875390838767,0.2115518340383612,157.87212841640664,10875.622556830305,3.109050242609632,58466.40807505342
10102,AMAZONAS,CHACHAPOYAS,ASUNCION,01010202,BATAN - POLLAN,1257.2269130033255,335.8198180687566,0.2671115409600433,-5.984437884999977,-77.75157796799994,amazonas,SIERRA,CHACHAPOYAS,0.0006445736179747549,269973.76900000003,370.3402789429764,18598170.819262616,5316.720693052095,99982160.91874668,0.8792875390838767,0.2115518340383612,174.01796904261073,11987.890252684616,3.4270178928818353,64445.86319633069
10102,AMAZONAS,CHACHAPOYAS,ASUNCION,01010203,ASUNCION,1036.963349910637,280.08607149682337,0.2701021897456265,-6.009581135999952,-77.73935117799994,amazonas,SIERRA,CHACHAPOYAS,0.0005375980890207019,269973.76900000003,370.3402789429764,18598170.819262616,5316.720693052095,99982160.91874668,0.8792875390838767,0.2115518340383612,145.13738230011643,9998.341091716164,2.858258884441628,53750.218646078516
10102,AMAZONAS,CHACHAPOYAS,ASUNCION,01010204,CUELCACHA,600.7720434416435,346.1925103052992,0.5762460388836766,-6.0275512819999335,-77.71729303699993,amazonas,SIERRA,CHACHAPOYAS,0.0006644829961689805,269973.76900000003,370.3402789429764,18598170.819262616,5316.720693052095,99982160.91874668,0.8792875390838767,0.2115518340383612,179.39297891215224,12358.168269246125,3.5328704959128747,66436.44585073795
10103,AMAZONAS,CHACHAPOYAS,BALSAS,01010301,ACHUPAS,15036.618011126644,1488.3681916057023,0.0989829089562795,-6.765361233999954,-77.93609947999994,amazonas,SELVA ALTA,CHACHAPOYAS,0.0028567786012718534,269973.76900000003,370.3402789429764,18598170.819262616,5316.720693052095,99982160.91874668,0.8792875390838767,0.2115518340383612,771.2552861839106,53130.85641926806,15.188693904850483,285626.8978215945
10103,AMAZONAS,CHACHAPOYAS,BALSAS,01010302,SAN BASILIO,10278.825204461484,542.6781368692665,0.0527957355120426,-6.87231971999995,-77.93897979099995,amazonas,SELVA ALTA,CHACHAPOYAS,0.0010416181275102836,269973.76900000003,370.3402789429764,18598170.819262616,5316.720693052095,99982160.91874668,0.8792875390838767,0.2115518340383612,281.20957174267386,19372.191863876724,5.5379926527921,104143.23124061678
10103,AMAZONAS,CHACHAPOYAS,BALSAS,01010303,HORNOPAMPA,6558.446883310169,225.9695361789526,0.0344547329877743,-6.804144657999927,-77.99634447699998,amazonas,SELVA ALTA,CHACHAPOYAS,0.0004337266404483704,269973.76900000003,370.3402789429764,18598170.819262616,5316.720693052095,99982160.91874668,0.8792875390838767,0.2115518340383612,117.09481583755442,8066.522147923691,2.3060034043998168,43364.926760056354
10104,AMAZONAS,CHACHAPOYAS,CHETO,01010401,CHETO,1281.0860192458229,618.7465767533984,0.4829859724155411,-6.275737246999938,-77.70892396799997,amazonas,SIERRA,CHACHAPOYAS,0.0011876241309432649,269973.76900000003,370.3402789429764,18598170.819262616,5316.720693052095,99982160.91874668,0.8792875390838767,0.2115518340383612,320.62736278610276,22087.636456361153,6.3142657925540675,118741.22697095618
10104,AMAZONAS,CHACHAPOYAS,CHETO,01010402,GACMAL,874.7258211859323,257.16285758206214,0.2939925304061642,-6.295984905999944,-77.67386647199999,amazonas,SIERRA,CHACHAPOYAS,0.0004935991999330374,269973.76900000003,370.3402789429764,18598170.819262616,5316.720693052095,99982160.91874668,0.8792875390838767,0.2115518340383612,133.25883638130668,9180.04223660599,2.6243290803579384,49351.114637069564
10104,AMAZONAS,CHACHAPOYAS,CHETO,01010403,HUAMAZAN,642.743424345742,61.742996536253145,0.0960616541493244,-6.278197987999931,-77.64197628199997,amazonas,SIERRA,CHACHAPOYAS,0.00011850970228870508,269973.76900000003,370.3402789429764,18598170.819262616,5316.720693052095,99982160.91874668,0.8792875390838767,0.2115518340383612,31.994510989949642,2204.063686905295,0.6300829864858015,11848.856124662074
10104,AMAZONAS,CHACHAPOYAS,CHETO,01010404,YAMIA,2140.6111716050373,121.1238538009562,0.0565837716852319,-6.303895157999932,-77.64631825699996,amazonas,SIERRA,CHACHAPOYAS,0.0002324855070094246,269973.76900000003,370.3402789429764,18598170.819262616,5316.720693052095,99982160.91874668,0.8792875390838767,0.2115518340383612,62.76498856521028,4323.805172364155,1.2360605059517156,23244.4033730927
10104,AMAZONAS,CHACHAPOYAS,CHETO,01010405,HUACAPAMPA,2099.6810577056003,932.961352934628,0.4443347952827224,-6.313207606999981,-77.70108261299998,amazonas,SIERRA,CHACHAPOYAS,0.001790728963376935,269973.76900000003,370.3402789429764,18598170.819262616,5316.720693052095,99982160.91874668,0.8792875390838767,0.2115518340383612,483.44984750033416,33304.283151885305,9.520805735233878,179040.95137821315
10105,AMAZONAS,CHACHAPOYAS,CHILIQUIN,01010501,SENGANCHE,2797.558201405431,394.7412513259656,0.1411020693430636,-6.039875628999937,-77.78594772299994,amazonas,SIERRA,CHACHAPOYAS,0.00075766760280647,269973.76900000003,370.3402789429764,18598170.819262616,5316.720693052095,99982160.91874668,0.8792875390838767,0.2115518340383612,204.5503783788577,14091.231501215947,4.028307022296334,75753.24418671752
10105,AMAZONAS,CHACHAPOYAS,CHILIQUIN,01010502,VITUYA,4160.9447923936505,733.9118582310239,0.1763810612370152,-6.056148140999937,-77.75879851999997,amazonas,SIERRA,CHACHAPOYAS,0.001408672735441989,269973.76900000003,370.3402789429764,18598170.819262616,5316.720693052095,99982160.91874668,0.8792875390838767,0.2115518340383612,380.3046876748137,26198.736162188045,7.489519482262722,140842.144116812
10105,AMAZONAS,CHACHAPOYAS,CHILIQUIN,01010503,CHILIQUIN,4837.940566010124,825.8260260587833,0.1706978444218149,-6.092866840999932,-77.74182801799998,amazonas,SIERRA,CHACHAPOYAS,0.001585093079067295,269973.76900000003,370.3402789429764,18598170.819262616,5316.720693052095,99982160.91874668,0.8792875390838767,0.2115518340383612,427.93355277161265,29479.831848924496,8.427497173890748,158481.03130249793
10105,AMAZONAS,CHACHAPOYAS,CHILIQUIN,01010504,CUELCHO,2383.7622226306544,333.44788992769764,0.1398830331154899,-6.131928744999925,-77.74395311699999,amazonas,SIERRA,CHACHAPOYAS,0.00064002093161976,269973.76900000003,370.3402789429764,18598170.819262616,5316.720693052095,99982160.91874668,0.8792875390838767,0.2115518340383612,172.7888631482779,11903.218614167894,3.402812531129258,63990.67577657301
