dep,prov,dist,sector,ha_agricola,ha_territorial,intensidad_agricola
AMAZONAS,RODRIGUEZ DE MENDOZA,MARISCAL BENAVIDES,MICHINA,1010.587472,2234.949162,0.4521747023076134
AMAZONAS,RODRIGUEZ DE MENDOZA,MARISCAL BENAVIDES,PILANCON,228.196746,305.599564,0.7467181661293207
AMAZONAS,RODRIGUEZ DE MENDOZA,MILPUC,AYACUCHO,423.773454,1919.25395,0.22080113681673028
AMAZONAS,RODRIGUEZ DE MENDOZA,MILPUC,CHONTAPAMPA,212.221433,1516.650198,0.13992773896041122
AMAZONAS,RODRIGUEZ DE MENDOZA,MILPUC,MILPUC,88.565398,862.397391,0.10269673693852815
AMAZONAS,RODRIGUEZ DE MENDOZA,OMIA,ALIZO,148.866509,5993.53834,0.024837833772829426
AMAZONAS,RODRIGUEZ DE MENDOZA,OMIA,EL GUAMBO,0.0,695.246832,0.0
AMAZONAS,RODRIGUEZ DE MENDOZA,OMIA,LA PRIMAVERA,1.48851,858.572429,0.001733703470694608
AMAZONAS,RODRIGUEZ DE MENDOZA,OMIA,LAGUNA - PLAN GRANDE,974.272093,6060.168767,0.16076649520146938
AMAZONAS,RODRIGUEZ DE MENDOZA,OMIA,NUEVO CHIRIMOTO,104.40014,3967.852828,0.026311495039150173
AMAZONAS,RODRIGUEZ DE MENDOZA,OMIA,OMIA,176.591911,1466.830261,0.12039014717327269
AMAZONAS,RODRIGUEZ DE MENDOZA,OMIA,SAN ISIDRO,162.756595,2212.655918,0.07355711915077796
AMAZONAS,RODRIGUEZ DE MENDOZA,OMIA,TOCUYA,175.438895,1273.310533,0.13778170403307266
AMAZONAS,RODRIGUEZ DE MENDOZA,SAN NICOLAS,CARAPUNGO,445.462212,2069.159984,0.2152865005338321
AMAZONAS,RODRIGUEZ DE MENDOZA,SAN NICOLAS,HUAMANPATA,63.542753,3384.492778,0.018774675311184843
AMAZONAS,RODRIGUEZ DE MENDOZA,SAN NICOLAS,MITO,221.990872,2175.030477,0.10206333858189888
AMAZONAS,RODRIGUEZ DE MENDOZA,SAN NICOLAS,NARANJO,84.279539,509.401434,0.1654481777528722
AMAZONAS,RODRIGUEZ DE MENDOZA,SAN NICOLAS,NUEVA ESPERANZA,105.673614,967.562473,0.10921632137339002
AMAZONAS,RODRIGUEZ DE MENDOZA,SAN NICOLAS,SHIPARA,92.9668,1119.050026,0.0830765362048256
AMAZONAS,RODRIGUEZ DE MENDOZA,SANTA ROSA,RAMOS,500.738238,550.442564,0.9097011582120311
AMAZONAS,RODRIGUEZ DE MENDOZA,SANTA ROSA,SANTA ROSA,111.357612,1093.390231,0.10184617425944424
AMAZONAS,RODRIGUEZ DE MENDOZA,SANTA ROSA,TRANCAHUAYCO,319.859804,380.184001,0.8413289437710978
AMAZONAS,RODRIGUEZ DE MENDOZA,TOTORA,CALHUAICO,72.597498,264.575831,0.2743920248709339
AMAZONAS,RODRIGUEZ DE MENDOZA,TOTORA,LA PERLA,301.201241,766.853736,0.39277534536259984
AMAZONAS,RODRIGUEZ DE MENDOZA,TOTORA,TOTORA,106.703581,915.182672,0.11659265878233324
AMAZONAS,RODRIGUEZ DE MENDOZA,VISTA ALEGRE,CONSUELO,208.239994,3979.053243,0.052334055686824095
AMAZONAS,RODRIGUEZ DE MENDOZA,VISTA ALEGRE,EL DORADO,1579.83388,4441.258437,0.3557176197715602
AMAZONAS,RODRIGUEZ DE MENDOZA,VISTA ALEGRE,NUEVO OMIA,1369.53781,6965.280554,0.19662349554800146
AMAZONAS,RODRIGUEZ DE MENDOZA,VISTA ALEGRE,SALAS,3525.544604,29832.526522,0.11817787546086943
