cultivo,plaga,producto,ingrediente_activo,clase,toxicidad,dosis_min,dosis_max,unidad_dosis,dosis_estimada,cilindros_por_ha,precio_usd_kg,costo_ha_min_usd,costo_ha_max_usd,costo_ha_min_fob_usd,carencia_dias,lmr_ppm,titular,registro
Arándano,Cochinilla harinosa,HOOK,BUPROFEZIN,Insecticida,Ligeramente Peligroso,0.6,0.6,kg,True,3.0,59.5909,35.75,35.75,1.55,79,0.01,ADAMA AGRICULTURE PERU S.A.,PQUA N° 2268-SENASA
Arándano,Cochinilla harinosa,HURRICANE 70 WP,ACETAMIPRID,Insecticida,Moderadamente Peligroso,0.12,0.18,kg,True,3.0,536.3184,64.36,96.54,1.63,1,2,HORTUS S A,PQUA N° 394-SENASA
Arándano,Cochinilla harinosa,ACTARA 25 WG,THIAMETHOXAM,Insecticida,Ligeramente Peligroso,0.9,0.9,lt,False,,208.5683,187.71,187.71,54.23,70,0.5,SYNGENTA CROP PROTECTION S.A. SUCURSAL PERU,PQUA N° 3270-SENASA
Arándano,Cochinilla harinosa,HUMMER,THIAMETHOXAM,Insecticida,Ligeramente Peligroso,2.0,2.0,kg,False,,119.1819,238.36,238.36,31.91,75,0.3,SHARDA PERU SOCIEDAD ANONIMA CERRADA,PQUA N° 563-SENASA
Arándano,Coquito,DESTRUCTOR,GLYPHOSATE ISOPROPILAMINE,Herbicida,Ligeramente Peligroso,3.0,3.0,lt,False,,6.6742,20.02,20.02,6.64,14,0.1,FARMAGRO S A,067-96-AG-SENASA
Arándano,Coquito,SELLADOR 400 EC,PENDIMETHALIN,Herbicida,Ligeramente Peligroso,4.5,6.0,lt,True,3.0,13.408,60.34,80.45,17.88,30,0.05,NEOAGRUM S.A.,PQUA N° 146-SENASA
Arándano,Diente de leon,DESTRUCTOR,GLYPHOSATE ISOPROPILAMINE,Herbicida,Ligeramente Peligroso,3.0,3.0,lt,False,,6.6742,20.02,20.02,6.64,14,0.1,FARMAGRO S A,067-96-AG-SENASA
Arándano,Erigeron,SELLADOR 400 EC,PENDIMETHALIN,Herbicida,Ligeramente Peligroso,4.5,6.0,lt,True,3.0,13.408,60.34,80.45,17.88,30,0.05,NEOAGRUM S.A.,PQUA N° 146-SENASA
Arándano,Grama china (gramalote),FUEGO GLUFO 200 SL,GLUFOSINATE-AMMONIUM,Herbicida,Ligeramente Peligroso,3.0,6.0,lt,True,3.0,22.9425,68.83,137.66,4.71,5,0.1,NEOAGRUM S.A.,PQUA N° 3057-SENASA
Arándano,Gusano del cesto,EN VIVO SC,MAMESTRA BRASSICAE VIRUS DE LA POLIEDROSIS NUCLEAR,Insecticida,,1.2,1.5,lt,True,3.0,101.3046,121.57,151.96,49.29,,,POINT ANDINA S.A,004-SENASA-PBA-ACBM
Arándano,Gusano perforador grande de la bellota,MANTIS 50 SG,EMAMECTIN BENZOATO,Insecticida,Ligeramente Peligroso,0.3,0.3,kg,True,3.0,62.5705,18.77,18.77,2.17,5,0.01,INHAS  S.A.C.,PQUA Nº 1119-SENASA
Arándano,Gusano perforador grande de la bellota,ENTRUST SC,SPINOSAD,Insecticida,,0.1,0.1,litro,False,,247.3024,24.73,24.73,15.31,1,0.4,CORTEVA AGRISCIENCE PERU S.A.C,0386-SENASA-PBA
Arándano,Gusano perforador grande de la bellota,COLOSO 50 SG,EMAMECTIN BENZOATO,Insecticida,Ligeramente Peligroso,0.3,0.3,kg,True,3.0,83.4273,25.03,25.03,1.76,14,2,SILVESTRE PERU S.A.C.,PQUA Nº 915-SENASA
Arándano,Gusano perforador grande de la bellota,BULLGEN 6.4 WP,BACILLUS THURINGIENSIS VAR. KURSTAKI,Insecticida,Ligeramente Peligroso,1.2,1.5,kg,True,3.0,23.2405,27.89,34.86,6.38,,,AVGUST PERU S.A.C.,018-SENASA-PBA-ACBM
Arándano,Gusano perforador grande de la bellota,LEPIBAC 10 PM,BACILLUS THURINGIENSIS VAR. KURSTAKI,Insecticida Biológico,Ligeramente Peligroso,1.05,1.05,kg,True,3.0,36.6484,38.48,38.48,5.52,,,SILVESTRE PERU S.A.C.,PBUA N° 009-SENASA
Arándano,Gusano perforador grande de la bellota,STEWARD 150 EC,INDOXACARB,Insecticida,Moderadamente Peligroso,0.3,0.3,lt,False,,131.1001,39.33,39.33,16.48,7,1,FMC LATINOAMERICA S.A. SUCURSAL,PQUA Nº 904-SENASA
Arándano,Gusano perforador grande de la bellota,BTK-CROPS,BACILLUS THURINGIENSIS VAR. KURSTAKI,Insecticida,Ligeramente Peligroso,0.9,1.5,lt,True,3.0,44.6932,40.22,67.04,6.75,,,CROPS PROTECTION S.A.C.,073-SENASA-PBA-ACBM
Arándano,Gusano perforador grande de la bellota,SPLINTER 120 SC,SPINOSAD,Insecticida,Ligeramente Peligroso,0.3,0.45,lt,True,3.0,170.1321,51.04,76.56,11.14,1,0.4,SILVESTRE PERU S.A.C.,PQUA N° 510-SENASA
Arándano,Gusano perforador grande de la bellota,EN VIVO SC,MAMESTRA BRASSICAE VIRUS DE LA POLIEDROSIS NUCLEAR,Insecticida,,0.6,1.2,lt,True,3.0,101.3046,60.78,121.57,24.64,,,POINT ANDINA S.A,004-SENASA-PBA-ACBM
Arándano,Hierba de la golondrina,DESTRUCTOR,GLYPHOSATE ISOPROPILAMINE,Herbicida,Ligeramente Peligroso,3.0,3.0,lt,False,,6.6742,20.02,20.02,6.64,14,0.1,FARMAGRO S A,067-96-AG-SENASA
Arándano,Hierba mora,SELLADOR 400 EC,PENDIMETHALIN,Herbicida,Ligeramente Peligroso,4.5,6.0,lt,True,3.0,13.408,60.34,80.45,17.88,30,0.05,NEOAGRUM S.A.,PQUA N° 146-SENASA
Arándano,INCREMENTO DE LA FLORACIÓN Y FRUCTIFICACIÓN,AGROCIMAX PLUS,EXTRACTOS VEGETALES Y FITOHORMONAS,Regulador de Crecimiento de Plantas,Ligeramente Peligroso,0.75,0.75,lt,True,3.0,138.5489,103.91,103.91,24.2,,,LABORATORIOS AGROENZYMAS S.A. DE C.V.,PBUA N° 174-SENASA
Arándano,Iscaña,SELLADOR 400 EC,PENDIMETHALIN,Herbicida,Ligeramente Peligroso,4.5,6.0,lt,True,3.0,13.408,60.34,80.45,17.88,30,0.05,NEOAGRUM S.A.,PQUA N° 146-SENASA
Arándano,Mancha negra de la hoja,TEBUSAC 25 EW,TEBUCONAZOLE,Fungicida,Ligeramente Peligroso,0.3,0.3,lt,False,,27.7098,8.31,8.31,1.97,32,1.5,HORTUS S A,PQUA N° 115-SENASA
Arándano,Mancha negra de la hoja,CANTUS,BOSCALID,Fungicida,Ligeramente Peligroso,0.8,1.0,kg,False,,165.3649,132.29,165.36,38.83,2,4.5,BASF PERUANA S A,PQUA N° 168-SENASA
Arándano,Mosca blanca,NEMATRIX BIO,EXTRACTO DE CANELA,Nematicida,Ligeramente Peligroso,0.24,0.36,lt,True,3.0,32.775,7.87,11.8,1.37,,,NEOAGRUM S.A.,0182-SENASA-PBA-EV
Arándano,Mosca blanca,GLADIADOR,ACETAMIPRID,Insecticida,Moderadamente Peligroso,0.3,0.45,lt,True,3.0,71.5091,21.45,32.18,2.32,1,2,NEOAGRUM S.A.,PQUA N° 133-SENASA
Arándano,Mosca blanca,APPLAUD,BUPROFEZIN,Insecticida,Ligeramente Peligroso,0.6,0.75,kg,True,3.0,53.6318,32.18,40.22,8.29,3,0.01,TECNOLOGIA QUIMICA Y COMERCIO S.A,166-96-AG-SENASA
Arándano,Mosca blanca,AMIPRID 20 SP,ACETAMIPRID,Insecticida,Moderadamente Peligroso,0.3,0.6,kg,True,3.0,114.7126,34.41,68.83,0.96,1,2,SILVESTRE PERU S.A.C.,PQUA N° 131-SENASA
Arándano,Mosca blanca,AMIPRID 20 SP,ACETAMIPRID,Insecticida,Moderadamente Peligroso,0.3,0.6,kg,True,3.0,114.7126,34.41,68.83,0.96,1,2,SILVESTRE PERU S.A.C.,PQUA N° 131-SENASA
Arándano,Mosca blanca,AKRON 500 WG,"ACETAMIPRID, BUPROFEZIN",Insecticida,Moderadamente Peligroso,0.3,0.6,kg,True,3.0,126.6307,37.99,75.98,1.86,75,0.05,SILVESTRE PERU S.A.C.,PQUA Nº 1066
Arándano,Mosca blanca,CONTROLLER PLUS 700 WG,IMIDACLOPRID,Insecticida,Moderadamente Peligroso,0.3,0.3,kg,True,3.0,140.0387,42.01,42.01,2.99,7,5,NEOAGRUM S.A.,PQUA Nº 1103-SENASA
Arándano,Mosca blanca,HURRICANE 70 WP,ACETAMIPRID,Insecticida,Moderadamente Peligroso,0.09,0.15,kg,True,3.0,536.3184,48.27,80.45,1.22,3,2,HORTUS S A,PQUA N° 394-SENASA
Arándano,Mosca blanca,EPINGLE 10EC,PYRIPROXYFEN,Insecticida,Moderadamente Peligroso,0.6,0.6,lt,True,3.0,101.3046,60.78,60.78,11.39,14,1,ADAMA AGRICULTURE PERU S.A.,PQUA N° 195-SENASA
Arándano,Mosca blanca,OMEX SW7,TETRAETHYL SILICATE,"Acaricida, Insecticida, Fungicida",Ligeramente Peligroso,0.9,0.9,lt,True,3.0,68.5296,61.68,61.68,26.06,,,SILVESTRE PERU S.A.C.,PBUA 283-SENASA
Arándano,Mosca mediterranea de la fruta,GF-120,SPINOSAD,Insecticida,Ligeramente Peligroso,1.6,1.6,lt,False,,28.6781,45.88,45.88,7.89,,1.5,CORTEVA AGRISCIENCE PERU S.A.C,PQUA N° 099-SENASA
Arándano,Muerte regresiva,SUPER -A 450 EC,PROCHLORAZ,Fungicida,Ligeramente Peligroso,0.6,0.6,lt,True,3.0,43.2034,25.92,25.92,2.55,31,0.05,SILVESTRE PERU S.A.C.,PQUA Nº 794-SENASA
Arándano,Muerte regresiva,TRICOX,"TRICHODERMA HARZIANUM, TRICHODERMA KONINGII","Nematicida, Fungicida",Ligeramente Peligroso,1.5,1.5,kg,False,,56.6114,84.92,84.92,34.56,,,NEOAGRUM S.A.,PBUA N° 162-SENASA
Arándano,Muerte regresiva,T-REX 360 SL,HYMEXAZOL,"Regulador de Crecimiento de Plantas, Fungicida",Ligeramente Peligroso,1.0,2.0,lt,False,,105.7739,105.77,211.55,3.98,1,0.05,SILVESTRE PERU S.A.C.,PQUA N°1601-SENASA
Arándano,Muerte regresiva,MERTECT 500 SC,THIABENDAZOLE,Fungicida,Ligeramente Peligroso,2.0,2.0,lt,False,,128.1205,256.24,256.24,99.75,30,0.01,SYNGENTA CROP PROTECTION S.A. SUCURSAL PERU,PQUA N° 1980-SENASA
Arándano,Oidiosis,AMISTAR TOP,"AZOXYSTROBIN, DIFENOCONAZOLE",Fungicida,Moderadamente Peligroso,1.5,1.5,lt,True,3.0,105.7739,158.66,158.66,62.34,,,SYNGENTA CROP PROTECTION S.A. SUCURSAL PERU,PQUA N° 327-SENASA
Arándano,Pata de gallina,DESTRUCTOR,GLYPHOSATE ISOPROPILAMINE,Herbicida,Ligeramente Peligroso,3.0,3.0,lt,False,,6.6742,20.02,20.02,6.64,14,0.1,FARMAGRO S A,067-96-AG-SENASA
Arándano,Perforador de los frutos,BIOSPORE 6.4% PM,BACILLUS THURINGIENSIS VAR. KURSTAKI,Insecticida,Ligeramente Peligroso,1.5,1.5,kg,True,3.0,23.8364,35.75,35.75,10.06,,,FARMAGRO S A,PBUA N° 260-SENASA
Arándano,Perforador de los frutos,CORAGEN SC,CHLORANTRANILIPROLE,Insecticida,Ligeramente Peligroso,0.25,0.25,lt,False,,448.4218,112.11,112.11,41.08,1,1,FMC LATINOAMERICA S.A. SUCURSAL,PQUA N° 451-SENASA
Arándano,Piojo harinoso,KORY,PYRIPROXYFEN,Insecticida,Ligeramente Peligroso,0.3,0.45,lt,True,3.0,56.6114,16.98,25.48,0.95,13,0.05,DROKASA  PERU S.A,PQUA Nº 2851-SENASA
Arándano,Piojo harinoso,CONTROLLER PLUS 700 WG,IMIDACLOPRID,Insecticida,Moderadamente Peligroso,0.3,0.45,,True,3.0,140.0387,42.01,63.02,2.99,3,5,NEOAGRUM S.A.,PQUA Nº 1103-SENASA
Arándano,Piojo harinoso,GLADIADOR,ACETAMIPRID,Insecticida,Moderadamente Peligroso,0.6,0.75,lt,True,3.0,71.5091,42.91,53.63,4.64,1,2,NEOAGRUM S.A.,PQUA N° 133-SENASA
Arándano,Piojo harinoso,AKRON 500 WG,"ACETAMIPRID, BUPROFEZIN",Insecticida,Moderadamente Peligroso,0.45,0.6,kg,True,3.0,126.6307,56.98,75.98,2.79,78,,SILVESTRE PERU S.A.C.,PQUA Nº 1066
Arándano,Piojo harinoso,HURRICANE 70 WP,ACETAMIPRID,Insecticida,Moderadamente Peligroso,0.24,0.24,kg,False,,536.3184,128.72,128.72,3.25,1,2,HORTUS S A,PQUA N° 394-SENASA
Arándano,Podredumbre gris/ Moho gris,CONSERVE,"CYPRODINIL, FLUDIOXONIL",Fungicida,Ligeramente Peligroso,0.1,0.8,kg,False,,163.8751,16.39,131.1,4.97,1,,ARIS INDUSTRIAL S.A.,PQUA N° 2763-SENASA
Arándano,Podredumbre gris/ Moho gris,KUTTA,BACILLUS SUBTILIS,"Nematicida, Fungicida",Ligeramente Peligroso,1.2,1.2,kilogramo,True,3.0,23.8364,28.6,28.6,9.89,,,SOLUCIONES TECNICAS DEL AGRO SAC,0128-SENASA-PBA-ACBM
Arándano,Podredumbre gris/ Moho gris,DK-ESCALON,PYRIMETHANIL,Fungicida,Moderadamente Peligroso,0.6,0.6,lt,True,3.0,50.6523,30.39,30.39,2.26,1,8,DROKASA  PERU S.A,PQUA N° 218-SENASA
Arándano,Podredumbre gris/ Moho gris,SERENADE ASO,BACILLUS AMYLOLIQUEFACIENS,Fungicida,Ligeramente Peligroso,2.0,6.0,lt,False,,28.3057,56.61,169.83,19.5,,,BAYER S.A.,PBUA N° 090-SENASA
Arándano,Podredumbre gris/ Moho gris,FOLIGUARD SC,TRICHODERMA HARZIANUM,Fungicida,Ligeramente Peligroso,0.6,0.6,lt,True,3.0,105.7739,63.46,63.46,21.32,,,FARMAGRO S A,PBUA N° 159-SENASA
Arándano,Podredumbre gris/ Moho gris,TELDOR SC,FENHEXAMID,Fungicida,Ligeramente Peligroso,0.75,0.9,lt,True,3.0,87.8966,65.92,79.11,22.61,1,5,BAYER S.A.,PQUA N° 1071-SENASA
Arándano,Podredumbre gris/ Moho gris,TRICOX,"TRICHODERMA HARZIANUM, TRICHODERMA KONINGII","Nematicida, Fungicida",Ligeramente Peligroso,2.0,2.0,kg,False,,56.6114,113.22,113.22,46.08,,,NEOAGRUM S.A.,PBUA N° 162-SENASA
Arándano,Podredumbre gris/ Moho gris,LUNA TRANQUILITY,"FLUOPYRAM, PYRIMETHANIL",Fungicida,Ligeramente Peligroso,1.25,1.25,lt,False,,114.7126,143.39,143.39,58.77,1,,BAYER S.A.,PQUA N° 1108-SENASA
Arándano,Podredumbre gris/ Moho gris,CANTUS,BOSCALID,Fungicida,Ligeramente Peligroso,1.0,1.2,kg,False,,165.3649,165.36,198.44,48.54,2,4.5,BASF PERUANA S A,PQUA N° 168-SENASA
Arándano,Podredumbre gris/ Moho gris,BELLIS,"PYRACLOSTROBIN, BOSCALID",Fungicida,Ligeramente Peligroso,0.8,0.8,kg,False,,239.8535,191.88,191.88,48.56,1,,BASF PERUANA S A,PQUA N° 152-SENASA
Arándano,Podredumbre radicular,ALIETTE 80 WG,FOSETYL-ALUMINIUM,Fungicida,Ligeramente Peligroso,2.25,2.25,kg,True,3.0,49.1625,110.62,110.62,42.72,,75,BAYER S.A.,PQUA N° 1106-SENASA
Arándano,Podredumbre radicular,VACOMIL PLUS 50,"OXICLORURO DE COBRE, METALAXYL",Fungicida,Ligeramente Peligroso,3.0,3.0,kg,False,,44.6932,134.08,134.08,16.25,45,,SILVESTRE PERU S.A.C.,994-2001-AG-SENASA
Arándano,REGULADOR DE CRECIMIENTO,KELPAK,"CITOQUININAS, AUXINAS",Regulador de Crecimiento de Plantas,Ligeramente Peligroso,3.0,3.0,lt,False,,32.775,98.32,98.32,16.92,,,BASF PERUANA S A,PBUA N° 202-SENASA
Arándano,REGULADOR DE CRECIMIENTO DE PLANTAS,RAPIBROT 50 SL,HYDROGEN CYANAMIDE,Regulador de Crecimiento de Plantas,Moderadamente Peligroso,9.0,9.0,lt,True,3.0,14.3018,128.72,128.72,16.91,,,FARMAGRO S A,RCP N° 016-SENASA
Arándano,Roya del arandano,DIFECONASIL 250 EC,DIFENOCONAZOLE,Fungicida,Ligeramente Peligroso,0.45,0.6,lt,True,3.0,64.0603,28.83,38.44,2.29,1,4,SILVESTRE PERU S.A.C.,PQUA N° 514-SENASA
Arándano,Roya del arandano,CONFIEE 325 SC,"AZOXYSTROBIN, DIFENOCONAZOLE",Fungicida,Ligeramente Peligroso,0.45,0.6,lt,True,3.0,72.9989,32.85,43.8,3.15,1,,NEOAGRUM S.A.,PQUA N° 1095-SENASA
Arándano,Sorghum,FUEGO GLUFO 200 SL,GLUFOSINATE-AMMONIUM,Herbicida,Ligeramente Peligroso,3.0,4.5,lt,True,3.0,22.9425,68.83,103.24,4.71,14,0.1,NEOAGRUM S.A.,PQUA N° 3057-SENASA
Arándano,Thrips,VERMETIN 1.8% CE,ABAMECTIN,"Acaricida, Insecticida",Moderadamente Peligroso,0.9,1.2,lt,True,3.0,18.7711,16.89,22.53,2.51,3,0.05,NEOAGRUM S.A.,PQUA N° 2083-SENASA
Arándano,Thrips,COLOSO 50 SG,EMAMECTIN BENZOATO,Insecticida,Ligeramente Peligroso,0.45,0.6,kg,True,3.0,83.4273,37.54,50.06,2.64,14,2,SILVESTRE PERU S.A.C.,PQUA Nº 915-SENASA
Arándano,Thrips,ENTRUST SC,SPINOSAD,Insecticida,,0.24,0.24,litro,False,,247.3024,59.35,59.35,36.74,1,0.4,CORTEVA AGRISCIENCE PERU S.A.C,0386-SENASA-PBA
Arándano,Thrips,ABASAC 1.8 EC,ABAMECTIN,"Acaricida, Insecticida",Moderadamente Peligroso,2.0,2.0,lt,False,,35.7546,71.51,71.51,7.36,3,0.01,HORTUS S A,484-97-AG-SENASA
Arándano,Thrips amarrillo,VERTIPLUS 18 EC,ABAMECTIN,Insecticida,Moderadamente Peligroso,0.45,0.6,lt,True,3.0,19.3671,8.72,11.62,1.42,7,0.01,CROP BUSINESS S.A.C.,PQUA N° 755-SENASA
Arándano,Thrips amarrillo,ACARE 1.8 EC,ABAMECTIN,Acaricida,Moderadamente Peligroso,0.6,0.8,lt,False,,28.3057,16.98,22.64,2.32,7,0.01,FARMAGRO S A,PQUA Nº 1131-SENASA
Arándano,Thrips amarrillo,BTK-CROPS,BACILLUS THURINGIENSIS VAR. KURSTAKI,Insecticida,Ligeramente Peligroso,1.5,2.1,lt,True,3.0,44.6932,67.04,93.86,11.25,,,CROPS PROTECTION S.A.C.,073-SENASA-PBA-ACBM
Arándano,Thrips amarrillo,ABASAC 1.8 EC,ABAMECTIN,"Acaricida, Insecticida",Moderadamente Peligroso,2.0,2.0,lt,False,,35.7546,71.51,71.51,7.36,3,0.01,HORTUS S A,484-97-AG-SENASA
Arándano,Trifolium,DESTRUCTOR,GLYPHOSATE ISOPROPILAMINE,Herbicida,Ligeramente Peligroso,3.0,3.0,lt,False,,6.6742,20.02,20.02,6.64,14,0.1,FARMAGRO S A,067-96-AG-SENASA
Arándano,Verdolaga,DESTRUCTOR,GLYPHOSATE ISOPROPILAMINE,Herbicida,Ligeramente Peligroso,3.0,3.0,lt,False,,6.6742,20.02,20.02,6.64,14,0.1,FARMAGRO S A,067-96-AG-SENASA
Arándano,Verdolaga,FUEGO GLUFO 200 SL,GLUFOSINATE-AMMONIUM,Herbicida,Ligeramente Peligroso,3.0,4.5,lt,True,3.0,22.9425,68.83,103.24,4.71,14,0.1,NEOAGRUM S.A.,PQUA N° 3057-SENASA
Arándano,Verdolaga,FUEGO GLUFO 200 SL,GLUFOSINATE-AMMONIUM,Herbicida,Ligeramente Peligroso,3.0,6.0,lt,True,3.0,22.9425,68.83,137.66,4.71,5,0.1,NEOAGRUM S.A.,PQUA N° 3057-SENASA
Arándano,Yuyo,DESTRUCTOR,GLYPHOSATE ISOPROPILAMINE,Herbicida,Ligeramente Peligroso,3.0,3.0,lt,False,,6.6742,20.02,20.02,6.64,14,0.1,FARMAGRO S A,067-96-AG-SENASA
Arándano,Yuyo,DESTRUCTOR,GLYPHOSATE ISOPROPILAMINE,Herbicida,Ligeramente Peligroso,3.0,3.0,lt,False,,6.6742,20.02,20.02,6.64,14,0.1,FARMAGRO S A,067-96-AG-SENASA
Arándano,blueberry leaf rust,TENAZ 250 EW,TEBUCONAZOLE,Fungicida,Ligeramente Peligroso,0.75,0.75,lt,True,3.0,35.7546,26.82,26.82,3.15,30,1.5,NEOAGRUM S.A.,PQUA N° 132-SENASA
Arándano,blueberry leaf rust,SCORE 250 EC,DIFENOCONAZOLE,Fungicida,Moderadamente Peligroso,0.5,0.6,lt,False,,119.1819,59.59,71.51,11.99,1,4,SYNGENTA CROP PROTECTION S.A. SUCURSAL PERU,PQUA N° 326-SENASA
Banano,,AGRISPON,EXTRACTO VEGETAL (VARIOS),Bioestimulante,Ligeramente Peligroso,1.0,1.0,kg,False,,47.6728,47.67,47.67,6.79,,,SILVESTRE PERU S.A.C.,PBUA N° 135-SENASA
Banano,Gorgojo negro del platano,ONCOL 40 CE,BENFURACARB,"Insecticida, Nematicida",Moderadamente Peligroso,6.0,8.0,lt,True,2.0,45.5871,273.52,364.7,111.08,,,ADAMA AGRICULTURE PERU S.A.,176-96-AG-SENASA
Banano,Grama china (gramalote),DESTRUCTOR,GLYPHOSATE ISOPROPILAMINE,Herbicida,Ligeramente Peligroso,2.0,6.0,lt,False,,6.6742,13.35,40.05,4.42,15,0.2,FARMAGRO S A,067-96-AG-SENASA
Banano,Grama china (gramalote),HERBOSATO,GLYPHOSATE ISOPROPILAMINE,Herbicida,Ligeramente Peligroso,4.0,6.0,lt,False,,8.0448,32.18,48.27,7.69,,0.1,DROKASA  PERU S.A,PQUA N°2228-SENASA
Banano,Gramalote,DESTRUCTOR,GLYPHOSATE ISOPROPILAMINE,Herbicida,Ligeramente Peligroso,2.0,6.0,lt,False,,6.6742,13.35,40.05,4.42,15,0.2,FARMAGRO S A,067-96-AG-SENASA
Banano,Kikuyo,DESTRUCTOR,GLYPHOSATE ISOPROPILAMINE,Herbicida,Ligeramente Peligroso,2.0,6.0,lt,False,,6.6742,13.35,40.05,4.42,15,0.2,FARMAGRO S A,067-96-AG-SENASA
Banano,Podredumbre de la corona,BOTRIZIM 50 FW,CARBENDAZIM,Fungicida,Ligeramente Peligroso,0.4,0.4,lt,True,2.0,23.8364,9.53,9.53,1.29,1,5,SERFI S.A.,PQUA 1649-SENASA
Banano,Sigatoka negra,SERENADE ASO,BACILLUS AMYLOLIQUEFACIENS,Fungicida,Ligeramente Peligroso,3.0,4.0,lt,True,2.0,28.3057,84.92,113.22,29.26,,,BAYER S.A.,PBUA N° 090-SENASA
Banano,Trips del plátano,FITONIM,"ACEITE DE NEEM, AZADIRACHTA",Insecticida Biológico,Ligeramente Peligroso,0.6,0.8,lt,True,2.0,30.6893,18.41,24.55,4.32,,,INDUSTRIA TECNOLOGICA AGRICOLA DEL PERU S.A,PBUA N° 285-SENASA
Banano,Trips del plátano,ENTRUST SC,SPINOSAD,Insecticida,,0.1,0.1,litro,False,,247.3024,24.73,24.73,15.31,3,0.25,CORTEVA AGRISCIENCE PERU S.A.C,0386-SENASA-PBA
Banano,Trips del plátano,OMEX SW7,TETRAETHYL SILICATE,"Acaricida, Insecticida, Fungicida",Ligeramente Peligroso,0.6,0.6,litro,True,2.0,68.5296,41.12,41.12,17.37,,,SILVESTRE PERU S.A.C.,PBUA 283-SENASA
Banano,Verdolaga,DESTRUCTOR,GLYPHOSATE ISOPROPILAMINE,Herbicida,Ligeramente Peligroso,2.0,6.0,lt,False,,6.6742,13.35,40.05,4.42,15,0.2,FARMAGRO S A,067-96-AG-SENASA
Banano / Platano,MALEZAS ANUALES,ROUNDUP,GLYPHOSATE ISOPROPILAMINE,Herbicida,Moderadamente Peligroso,2.0,3.0,lt,False,,13.408,26.82,40.22,6.26,,0.1,BAYER S.A.,PQUA N° 264-SENASA
Banano / Platano,MALEZAS PERENNES,ROUNDUP,GLYPHOSATE ISOPROPILAMINE,Herbicida,Moderadamente Peligroso,4.0,6.0,lt,False,,13.408,53.63,80.45,12.53,,0.1,BAYER S.A.,PQUA N° 264-SENASA
Brassica oleracea / Col silvestre,Barrenador de brotes,KUROMIL 90 PS,METHOMYL,Insecticida,Altamente Peligroso,0.4,0.6,kl,False,,47.6728,19.07,28.6,3.94,4,5,ARIS INDUSTRIAL S.A.,PQUA N° 2142-SENASA
Brassica oleracea / Col silvestre,Barrenador de brotes,MATCH 50 EC,LUFENURON,Insecticida,Ligeramente Peligroso,0.5,0.5,lt,False,,74.4887,37.24,37.24,11.43,14,0.1,SYNGENTA CROP PROTECTION S.A. SUCURSAL PERU,565-98-AG-SENASA
Brassica oleracea / Col silvestre,Barrenador de brotes,SORBA 50 EC,LUFENURON,Insecticida,Ligeramente Peligroso,0.5,0.5,lt,False,,78.958,39.48,39.48,14.18,14,0.1,SYNGENTA CROP PROTECTION S.A. SUCURSAL PERU,645-98-AG-SENASA
Brassica oleracea / Col silvestre,Gusano de la Col,HORTIQUIM 50 EC,PERMETHRIN,Insecticida,Moderadamente Peligroso,0.2,0.2,lt,True,2.0,25.3261,5.07,5.07,1.82,7,5,SERFI S.A.,466-97-AG-SENASA
Brassica oleracea / Col silvestre,Gusano medidor de la hoja,MATCH 50 EC,LUFENURON,Insecticida,Ligeramente Peligroso,0.4,0.5,lt,False,,74.4887,29.8,37.24,9.14,14,0.1,SYNGENTA CROP PROTECTION S.A. SUCURSAL PERU,565-98-AG-SENASA
Brassica oleracea / Col silvestre,Gusano medidor de la hoja,SORBA 50 EC,LUFENURON,Insecticida,Ligeramente Peligroso,0.4,0.5,lt,False,,78.958,31.58,39.48,11.34,14,0.1,SYNGENTA CROP PROTECTION S.A. SUCURSAL PERU,645-98-AG-SENASA
Brassica oleracea / Col silvestre,Oidiosis,SCORE 250 EC,DIFENOCONAZOLE,Fungicida,Moderadamente Peligroso,0.3,0.4,lt,True,2.0,119.1819,35.75,47.67,7.2,21,0.2,SYNGENTA CROP PROTECTION S.A. SUCURSAL PERU,PQUA N° 326-SENASA
Brassica oleracea / Col silvestre,Polilla del dorso de diamante,TAJANTE 50 CE,PERMETHRIN,Insecticida,Ligeramente Peligroso,0.2,0.2,lt,False,,40.2239,8.04,8.04,2.44,7,6,INSUMOS AGRICOLAS PERUANOS S.A.C.- INAP S.A.C.,PQUA N° 4204-SENASA
Brassica oleracea / Col silvestre,Polilla del dorso de diamante,REGENT SC,FIPRONIL,Insecticida,Moderadamente Peligroso,0.2,0.25,lt,False,,104.2841,20.86,26.07,9.81,14,0.02,BAYER S.A.,PQUA N° 1762-SENASA
Brassica oleracea / Col silvestre,Polilla del dorso de diamante,KIETO 150 WG,"LUFENURON, EMAMECTIN BENZOATO",Insecticida,Moderadamente Peligroso,0.2,0.2,lt,True,2.0,134.0796,26.82,26.82,1.72,7,,NEOAGRUM S.A.,PQUA N° 1203-SENASA
Brassica oleracea / Col silvestre,Polilla del dorso de diamante,MATCH 50 EC,LUFENURON,Insecticida,Ligeramente Peligroso,0.5,0.5,lt,False,,74.4887,37.24,37.24,11.43,14,0.1,SYNGENTA CROP PROTECTION S.A. SUCURSAL PERU,565-98-AG-SENASA
Brassica oleracea / Col silvestre,Polilla del dorso de diamante,SORBA 50 EC,LUFENURON,Insecticida,Ligeramente Peligroso,0.5,0.5,lt,False,,78.958,39.48,39.48,14.18,14,0.1,SYNGENTA CROP PROTECTION S.A. SUCURSAL PERU,645-98-AG-SENASA
