cultivo,plaga,producto,ingrediente_activo,clase,toxicidad,dosis_min,dosis_max,unidad_dosis,dosis_estimada,cilindros_por_ha,precio_usd_kg,costo_ha_min_usd,costo_ha_max_usd,costo_ha_min_fob_usd,carencia_dias,lmr_ppm,titular,registro
Alfalfa,Caballada (gusano ejército),NALA-T,METHOMYL,Insecticida,Altamente Peligroso,0.2,0.4,kl,False,,53.6318,10.73,21.45,1.87,7,20,TECNOLOGIA QUIMICA Y COMERCIO S.A,PQUA N° 3107-SENASA
Alfalfa,Caballada (gusano ejército),KUROMIL 90 PS,METHOMYL,Insecticida,Altamente Peligroso,0.4,0.6,kl,False,,47.6728,19.07,28.6,3.94,7,10,ARIS INDUSTRIAL S.A.,PQUA N° 2142-SENASA
Alfalfa,Cola de ratón (rabo de zorro),AQUILES,CLETHODIM,Herbicida,Ligeramente Peligroso,0.5,0.5,lt,False,,98.325,49.16,49.16,2.79,15,10,HORTUS S A,PQUA N° 1171-SENASA
Alfalfa,Eleusine,AQUILES,CLETHODIM,Herbicida,Ligeramente Peligroso,0.5,0.5,lt,False,,98.325,49.16,49.16,2.79,15,10,HORTUS S A,PQUA N° 1171-SENASA
Alfalfa,Grama dulce / Pasto Bermuda,AQUILES,CLETHODIM,Herbicida,Ligeramente Peligroso,0.5,0.5,lt,False,,98.325,49.16,49.16,2.79,15,10,HORTUS S A,PQUA N° 1171-SENASA
Alfalfa,Gusano medidor de la hoja,ATABRON,CHLORFLUAZURON,Insecticida,Ligeramente Peligroso,0.4,0.6,lt,False,,53.6318,21.45,32.18,5.89,14,2,ADAMA AGRICULTURE PERU S.A.,PQUA N° 2247-SENASA
Alfalfa,Hierba de gallinazo,PETARDO 10.6 SL,IMAZETHAPYR,Herbicida,Ligeramente Peligroso,1.0,1.0,lt,False,,38.7341,38.73,38.73,4.31,30,0.1,HORTUS S A,PQUA N° 257-SENASA
Alfalfa,Hierba de gallinazo,PETARDO 10.6 SL,IMAZETHAPYR,Herbicida,Ligeramente Peligroso,1.0,1.0,lt,False,,38.7341,38.73,38.73,4.31,30,0.1,HORTUS S A,PQUA N° 257-SENASA
Alfalfa,Kikuyo,AQUILES,CLETHODIM,Herbicida,Ligeramente Peligroso,0.5,0.5,lt,False,,98.325,49.16,49.16,2.79,15,10,HORTUS S A,PQUA N° 1171-SENASA
Alfalfa,Pequeño perforador de los terminales,ATABRON,CHLORFLUAZURON,Insecticida,Ligeramente Peligroso,0.4,0.5,lt,False,,53.6318,21.45,26.82,5.89,14,2,ADAMA AGRICULTURE PERU S.A.,PQUA N° 2247-SENASA
Alfalfa,Pulgón de la papa,ONCOL 40 CE,BENFURACARB,"Insecticida, Nematicida",Moderadamente Peligroso,0.2,0.2,lt,True,2.0,45.5871,9.12,9.12,3.7,45,,ADAMA AGRICULTURE PERU S.A.,176-96-AG-SENASA
Alfalfa,Pulgón de la papa,ONCOL 40 CE,BENFURACARB,"Insecticida, Nematicida",Moderadamente Peligroso,0.2,0.2,lt,True,2.0,45.5871,9.12,9.12,3.7,45,,ADAMA AGRICULTURE PERU S.A.,176-96-AG-SENASA
Alfalfa,Verdolaga,PETARDO 10.6 SL,IMAZETHAPYR,Herbicida,Ligeramente Peligroso,1.0,1.0,lt,False,,38.7341,38.73,38.73,4.31,30,0.1,HORTUS S A,PQUA N° 257-SENASA
Alfalfa,Yuyo,PETARDO 10.6 SL,IMAZETHAPYR,Herbicida,Ligeramente Peligroso,1.0,1.0,lt,False,,38.7341,38.73,38.73,4.31,30,0.1,HORTUS S A,PQUA N° 257-SENASA
Alfalfa,Yuyo,PETARDO 10.6 SL,IMAZETHAPYR,Herbicida,Ligeramente Peligroso,1.0,1.0,lt,False,,38.7341,38.73,38.73,4.31,30,0.1,HORTUS S A,PQUA N° 257-SENASA
Alfalfa,Yuyo,PETARDO 10.6 SL,IMAZETHAPYR,Herbicida,Ligeramente Peligroso,1.0,1.0,lt,False,,38.7341,38.73,38.73,4.31,30,0.1,HORTUS S A,PQUA N° 257-SENASA
Algodón,,PRECISION 100 EC,ALPHA-CYPERMETHRIN,Insecticida,Moderadamente Peligroso,0.1,0.1,lt,False,,17.8773,1.79,1.79,0.34,14,0.2,SILVESTRE PERU S.A.C.,PQUA N° 507-SENASA
Algodón,,AGRISPON,EXTRACTO VEGETAL (VARIOS),Bioestimulante,Ligeramente Peligroso,0.25,0.5,lt,False,,47.6728,11.92,23.84,1.7,,,SILVESTRE PERU S.A.C.,PBUA N° 135-SENASA
Algodón,,TRACER 120 SC,SPINOSAD,Insecticida,Ligeramente Peligroso,0.1,0.2,lt,False,,134.0796,13.41,26.82,7.69,28,0.02,CORTEVA AGRISCIENCE PERU S.A.C,PQUA N° 100-SENASA
Algodón,,LEPIBAC 10 PM,BACILLUS THURINGIENSIS VAR. KURSTAKI,Insecticida Biológico,Ligeramente Peligroso,0.5,0.6,kilogramo,False,,36.6484,18.32,21.99,2.63,,,SILVESTRE PERU S.A.C.,PBUA N° 009-SENASA
Algodón,,ATABRON,CHLORFLUAZURON,Insecticida,Ligeramente Peligroso,0.4,0.6,lt,False,,53.6318,21.45,32.18,5.89,21,2,ADAMA AGRICULTURE PERU S.A.,PQUA N° 2247-SENASA
Algodón,,MATCH 50 EC,LUFENURON,Insecticida,Ligeramente Peligroso,0.4,0.6,lt,False,,74.4887,29.8,44.69,9.14,,,SYNGENTA CROP PROTECTION S.A. SUCURSAL PERU,565-98-AG-SENASA
Algodón,,SORBA 50 EC,LUFENURON,Insecticida,Ligeramente Peligroso,0.4,0.6,lt,False,,78.958,31.58,47.37,11.34,28,0.02,SYNGENTA CROP PROTECTION S.A. SUCURSAL PERU,645-98-AG-SENASA
Algodón,,TRIGGRR SUELO,CITOQUININAS,Regulador de Crecimiento de Plantas,Ligeramente Peligroso,1.0,1.5,,False,,35.1587,35.16,52.74,17.0,,,FARMEX S A,PBUA Nº 210-SENASA
Algodón,,STEWARD 150 EC,INDOXACARB,Insecticida,Moderadamente Peligroso,0.3,0.3,lt,False,,131.1001,39.33,39.33,16.48,14,0.05,FMC LATINOAMERICA S.A. SUCURSAL,PQUA Nº 904-SENASA
Algodón,,ABSOLUTE 60 SC,SPINETORAM,Insecticida,Ligeramente Peligroso,0.15,0.15,lt,False,,291.9956,43.8,43.8,13.14,28,1.5,CORTEVA AGRISCIENCE PERU S.A.C,PQUA N° 206-SENASA
Algodón,,BIOZYME TF,"MICROELEMENTOS, CITOQUININAS, EXTRACTOS VEGETALES Y FITOHORMONAS, AUXINAS, GIBBERELLIC ACID",Regulador de Crecimiento de Plantas,Ligeramente Peligroso,1.0,1.0,lt,False,,46.183,46.18,46.18,12.06,,0.15,UPL PERU S.A.C.,PBUA N° 042-SENASA
Algodón,,SELECRON 500 EC,PROFENOFOS,Insecticida,Moderadamente Peligroso,1.5,2.0,lt,False,,43.2034,64.81,86.41,22.99,14,1,SYNGENTA CROP PROTECTION S.A. SUCURSAL PERU,835-99-AG-SENASA
Algodón,,CORAGEN SC,CHLORANTRANILIPROLE,Insecticida,Ligeramente Peligroso,0.15,0.15,lt,False,,448.4218,67.26,67.26,24.65,21,0.3,FMC LATINOAMERICA S.A. SUCURSAL,PQUA N° 451-SENASA
Algodón,,PROMALINA,"CITOQUININAS, GIBBERELLIC ACID",Regulador de Crecimiento de Plantas,Ligeramente Peligroso,0.125,0.25,lt,False,,560.1548,70.02,140.04,11.62,,,SMTM PERU SAC,PBUA N° 048-SENASA
Algodón,,AGROCIMAX V,EXTRACTOS VEGETALES Y FITOHORMONAS,Regulador de Crecimiento de Plantas,Ligeramente Peligroso,1.0,1.5,lt,False,,138.5489,138.55,207.82,10.65,,,LABORATORIOS AGROENZYMAS S.A. DE C.V.,PBUA N° 079-SENASA
Algodón,Arañita bimaculada,SELECRON 500 EC,PROFENOFOS,Insecticida,Moderadamente Peligroso,1.0,2.0,lt,False,,43.2034,43.2,86.41,15.32,14,1,SYNGENTA CROP PROTECTION S.A. SUCURSAL PERU,835-99-AG-SENASA
Algodón,Arañita roja,ACARSTIN L 600,CYHEXATIN,Acaricida,Moderadamente Peligroso,0.12,0.24,lt,True,2.0,86.4069,10.37,20.74,2.58,,,NEOAGRUM S.A.,159-96-AG-SENASA
Algodón,Arañita roja,ABASAC 1.8 EC,ABAMECTIN,"Acaricida, Insecticida",Moderadamente Peligroso,0.3,0.5,lt,True,2.0,35.7546,10.73,17.88,1.1,20,0.01,HORTUS S A,484-97-AG-SENASA
Algodón,Arrebiatado,HORTIQUIM 50 EC,PERMETHRIN,Insecticida,Moderadamente Peligroso,0.2,0.2,lt,True,2.0,25.3261,5.07,5.07,1.82,7,0.5,SERFI S.A.,466-97-AG-SENASA
