h3,sectores,ha_agricola,ha_cosechada,clientes,sam_usd,horas_capital,horas_puerto,costo_viaje,region_nat,dep,prov,prospectos,empresas,exportadores,fob_export,centro_lat,centro_lon,km2,sam_por_km2,res
85b33577fffffff,8,1960.6345938549573,1202.6974457859028,44.74281814582574,153325.88915827544,3.7153287979248932,5.038160184182842,135.4371340968126,SIERRA,MOQUEGUA,GENERAL SANCHEZ CERRO,0,4,0,0.0,-16.607887836696058,-71.02872274487977,278.1656498345148,551.2035337558447,5
858e6d5bfffffff,11,7256.913804515232,2223.80461834685,27.451537068106123,153250.3571422852,1.3997112415903845,10.879548413762375,48.30039763846557,SIERRA,APURIMAC,ANDAHUAYLAS,0,9,0,0.0,-13.82870028837259,-73.41563124399913,288.8120070687795,530.6232199196247,5
858e6ac7fffffff,2,900.8959921010166,595.5442929650512,20.82067340048399,153164.1084792895,1.2739001175068074,3.3824002577994863,45.15485551599798,COSTA,ICA,NASCA,0,0,0,0.0,-14.620205721956582,-75.09954781060168,292.0724686853586,524.4044711529756,5
858e6b17fffffff,1,862.7996627863726,689.1596847420968,29.54513894044424,153162.19947496962,2.19796409714022,8.587749212602953,79.7763720661284,COSTA,AREQUIPA,CARAVELI,0,0,0,0.0,-15.456090991991303,-73.84855127296575,287.96577148570145,531.8764056045969,5
85b336c7fffffff,1,861.8082638915159,688.3678066511544,29.511190134762803,152986.20863741767,2.736265431609305,4.54718324368269,97.1548776791309,COSTA,AREQUIPA,CONDESUYOS,3,2,0,0.0,-15.913919200629536,-73.15459880649637,285.4765877520906,535.8975663891279,5
858e606ffffffff,4,1509.4401785543068,760.7175988117688,31.276642140597158,152746.67059849494,2.1181742157305505,5.535166632527616,85.26044680335178,SIERRA,LIMA,YAUYOS,0,2,0,0.0,-12.464850731910897,-75.93368902039656,295.9300372740408,516.1580487250322,5
858b614bfffffff,1,2029.9448415598936,1398.3283748127965,72.15747102582118,152722.16359240026,4.247462009065286,17.1006264328617,147.68291329399756,SELVA ALTA,CUSCO,PAUCARTAMBO,0,0,0,0.0,-13.234667301315246,-71.1988487481166,282.84790232879595,539.9444801781443,5
85b3348ffffffff,1,857.7805519417875,685.1506789479021,29.373267840284253,152271.21853290164,2.4336856270665472,6.702067664709951,94.61770951732876,SIERRA,AREQUIPA,CAYLLOMA,0,0,0,0.0,-15.419713585161865,-71.80279963634091,282.344458147776,539.3101020357359,5
858e6d83fffffff,4,2488.430285820623,1464.7886240977596,67.74213164197793,151926.94944074706,3.3586226109317288,14.268148401964314,122.46036155538613,SIERRA,CUSCO,ANTA,0,1,0,0.0,-13.467254015762869,-72.65852426589339,287.06264130077443,529.2466785378847,5
858e6dc3fffffff,15,7151.02934271668,2191.3574429356877,27.05099610726532,151014.30583679077,2.953606780748031,13.520273558268483,107.40959560408731,SIERRA,APURIMAC,ANDAHUAYLAS,0,5,0,0.0,-13.519320960385498,-73.09831630487277,288.24739034540164,523.9051970456109,5
