cluster,celdas,sam_usd,clientes,ha_agricola,empresas,exportadores,prospectos,lat,lon,horas_capital,dep,provincias,extension_km,sam_por_cliente,rank,pct_sam,pct_acum,visitable_en_dia
0,159,33637887.472499914,9114.522777125883,434680.27778813074,133,0,6,-7.965603493667002,-78.04764296092678,2.254284322310511,LA LIBERTAD,"Sanchez Carrion, Pataz",231.53828772571796,3690.5813167661067,1,6.692129635194317,6.692129635194317,False
4,120,31450481.05032067,7263.319854079438,322750.8584504874,952,29,84,-6.711442804929328,-79.61965892876613,1.1970442422645289,LAMBAYEQUE,"Chiclayo, Lambayeque",196.30544145980642,4330.042140806525,2,6.256953456129937,12.949083091324255,False
17,142,24788236.85153129,6340.19903520287,576381.5725012573,451,44,79,-5.033788827973504,-79.99123774735831,1.4386124103044857,PIURA,"Ayabaca, Huancabamba",220.51240786659295,3909.693798869538,3,4.931525339513838,17.880608430838095,False
8,125,23951737.312645372,5225.499805377807,673438.4847640864,513,17,23,-6.600876061080952,-76.69633702844334,1.062104528319556,SAN MARTIN,"Picota, Lamas",253.66410158423653,4583.626103668689,4,4.765106941254395,22.64571537209249,False
5,76,23800262.49376659,8184.985777139142,288702.11357146193,649,65,1,-11.105297548411281,-74.88711224184699,2.76825677206986,JUNIN,"Satipo, Chanchamayo",183.93851125242966,2907.795216974144,5,4.734971602784251,27.38068697487674,False
1,52,14599227.969719563,1994.4070112027814,87800.97764463104,258,6,257,-13.584370340757586,-75.9567257320912,1.3722772821791493,ICA,"Pisco, Chincha",119.00030684205495,7320.08456033009,6,2.904460817493101,30.28514779236984,True
18,92,13619482.233447725,4543.5752184148405,186207.25890570553,283,3,45,-11.930710162727404,-75.3573665530871,1.3136496276222538,JUNIN,"Jauja, Huancayo",204.32966696669132,2997.525424086471,7,2.7095441336787487,32.99469192604859,False
9,96,12579168.581359794,5943.3481761095045,167199.16593765616,93,3,152,-13.714684436876992,-71.77820835792669,1.1796736526433333,CUSCO,"Anta, Paucartambo",202.8512867313473,2116.5121424190356,8,2.5025776936272894,35.497269619675876,False
28,110,8921773.68230781,5314.033812962,339187.84170375625,259,0,18,-15.424226973640813,-70.13264173876675,1.031977445358942,PUNO,"Puno, Lampa",119.52810565773581,1678.9079626376865,9,1.7749529041227745,37.27222252379865,True
3,21,8815552.130123358,3056.98659381893,206351.39908678795,5,0,0,-9.52286372324414,-74.94079838166896,1.675307958266948,HUANUCO,"Puerto Inca, Oxapampa",117.34940761903776,2883.7392182052586,10,1.7538205307580366,39.02604305455669,True
