h3,sectores,ha_agricola,ha_cosechada,clientes,sam_usd,horas_capital,horas_puerto,costo_viaje,region_nat,dep,prov,prospectos,empresas,exportadores,fob_export,centro_lat,centro_lon,km2,sam_por_km2,res,hub,horas_al_hub,cubierto_2h
85b33123fffffff,2,1138.9726129920928,683.2154535220437,38.58108983913533,127063.29152330523,0.7576299604741055,1.400686163941988,27.2746785770678,COSTA,TACNA,JORGE BASADRE,0,0,0,0.0,-17.755971627047053,-70.8290299660277,275.4836043786941,461.2372188532767,5,Pisco,14.294122440582214,False
858e6cbbfffffff,3,5221.99247290031,1683.705182533837,40.83074607062196,126827.40823185536,3.767307109758905,11.100891155206332,135.6230559513206,SIERRA,AYACUCHO,LA MAR,0,0,0,0.0,-13.075237654211389,-73.49729135102032,289.70611758150744,437.7795308246229,5,Jauja,9.721788993156224,False
858e6887fffffff,11,5802.959879686584,1796.5138257377268,26.561231428223195,126165.67575376832,0.7752653213214042,9.135616409090126,27.909551567570556,SIERRA,APURIMAC,ANDAHUAYLAS,1,1,0,0.0,-14.06587174818208,-73.58182099160038,289.0078809132596,436.5475271992137,5,Pisco,8.588696014388916,False
85b30453fffffff,1,1129.9443538204882,677.7998306053184,38.27527030123122,126056.10283941231,1.5605603345417145,2.5057921837113195,56.18017204350171,COSTA,TACNA,TACNA,1,0,0,0.0,-17.9300014494986,-70.55326622535942,274.2684264422041,459.6085100811843,5,Pisco,15.09123628186535,False
858f4eb7fffffff,2,8653.744887368714,2116.792393914514,25.42497540080184,124936.59462123284,2.6149909520982275,12.459295869721789,94.13967427553618,SELVA BAJA,UCAYALI,CORONEL PORTILLO,0,0,0,0.0,-8.288778880584864,-74.82563470632373,293.8805827476885,425.1270820723031,5,Satipo,9.784199217770947,False
858e6baffffffff,1,701.8961873934863,560.6383220684481,24.03526713413104,124598.98688080451,1.3178818098371183,6.286175122663238,47.44374515413626,SIERRA,AREQUIPA,CARAVELI,1,0,0,0.0,-15.639801983714433,-73.57086282551604,286.9872946412424,434.1620315859748,5,Pisco,8.114998300205116,False
858f552bfffffff,2,6377.922787163285,1960.261775085036,67.52749818353949,123716.31388298198,1.4231732402833983,6.137987951832505,51.23423665020235,SIERRA,CAJAMARCA,CELENDIN,0,3,0,0.0,-6.783486645349795,-78.18064876402907,299.44922007800346,413.1462217559129,5,Otuzco,6.0179612728825305,False
858e643bfffffff,2,1471.9932949460097,723.0796878296188,42.27006396552997,123590.37810595466,3.056461856122074,6.762185922896044,110.03262682039464,SELVA ALTA,JUNIN,CHANCHAMAYO,0,0,0,0.0,-10.992419232363073,-75.50445743442774,295.7036590850405,417.95349603845006,5,Jauja,2.139412322678254,False
858f548bfffffff,2,6367.709308612434,1957.1226509121657,67.41936099259101,123518.19704143328,2.7261910901951283,6.711862991633367,98.14287924702462,SELVA ALTA,CAJAMARCA,SAN IGNACIO,0,29,0,0.0,-5.329654958899694,-79.20521789688773,299.3260463059249,412.6543565647209,5,Chiclayo,6.5924624538492935,False
858e6607fffffff,4,1220.010992714852,614.8530071532169,25.27946967946982,123458.10047884165,1.6226471780692726,2.884314996556129,58.41529841049382,SIERRA,LIMA,HUARAL,0,2,0,0.0,-11.318781623908082,-76.56292617334188,297.7820260514869,414.5921838059344,5,Pisco,4.882309518281545,False
858f5993fffffff,1,3020.011526109652,1404.0697823307082,41.45263486844674,123367.94619025958,4.411748986113554,8.169320700896877,158.82296350008792,SIERRA,HUANUCO,DOS DE MAYO,0,0,0,0.0,-9.484811515488182,-76.39039732411076,297.65618076484753,414.4645875427729,5,Picota,8.990025066930684,False
858e6573fffffff,2,1468.176004263325,721.2045397805975,42.16044585661188,123269.87365771216,3.973222554819719,9.204271617034731,143.0360119735099,SIERRA,JUNIN,CONCEPCION,0,7,0,0.0,-11.636016104464968,-74.83091682496747,293.9440364679653,419.3651116005764,5,Satipo,2.982773637806531,False
