ruc,razon_social,fob,tn,semanas,lineas,rubro,pct,pct_acum
20506885851,BIOTECNIA DAYMSA DE PERU S.A.C.,5689787.802,1289.9592799999998,45,178,Fertilizantes,0.10300455128429001,91.06538721720239
20602674127,GAT PERU S.A.C.,5679877.99,8760.049,39,72,Fertilizantes,0.10282514991223657,91.16821236711462
20100331285,ILENDER PERU S.A,5679214.761,621.1904639999999,48,90,Proteccion de cultivos,0.10281314320690395,91.27102551032152
No Disponib,No Disponible - Ley  29733,5668258.015,6528.950775,135,482,Fertilizantes,0.10261478876126554,91.3736402990828
20104860762,AUTOSERVICIO SAN ISIDRO S.A,5541908.892,399.191556,24,56,Proteccion de cultivos,0.10032743900892437,91.47396773809172
20521293463,LABORATORIOS VETERINARIOS GAMMAVET S.A.C,5415191.848,973.5342920000002,50,90,Proteccion de cultivos,0.09803342863252622,91.57200116672425
20611391341,GALLO BRAND S.A.C.,5353776.4,2367.58,23,61,Proteccion de cultivos,0.09692159970615746,91.66892276643041
20453665969,AGRO QUIMICA SILVA S.A.C.,5335969.22,539.7504799999999,22,110,Proteccion de cultivos,0.09659922905730939,91.76552199548772
20273155938,MOLINERA INDUSTRIAL PERUANA S.A.C.,5121692.0,11285.68,46,109,Fertilizantes,0.09272008107066798,91.85824207655838
20602270441,AGREVO PERUANA S.A.C.,5110922.274,893.25896,60,193,Proteccion de cultivos,0.09252511232443553,91.95076718888282
20515946498,GLOBAL ORGANICS PERU SAC,5104267.3379999995,1015.781792,32,75,Proteccion de cultivos,0.09240463530132671,92.04317182418414
20546447449,TQC SEMILLAS SOCIEDAD ANONIMA CERRADA,5038330.671,6.276039999999999,38,116,Semillas,0.09121095690173346,92.13438278108588
20601783267,INRO REPRESENTACIONES SOCIEDAD ANONIMA C,4852448.757,420.173653,89,156,Proteccion de cultivos,0.08784586073123923,92.22222864181711
20610852743,AG TEN E.I.R.L.,4820138.94,581.13511,46,86,Proteccion de cultivos,0.08726094292446397,92.30948958474157
20610063587,COMPO EXPERT PERU S.R.L,4779951.222,4362.1167000000005,79,141,Fertilizantes,0.08653340825994194,92.39602299300151
20610622616,PRO HOME PRODUCTS E.I.R.L.,4703070.22,3189.3412799999996,22,59,Proteccion de cultivos,0.0851416000961097,92.48116459309762
20538140776,FINKA S.A.C,4557409.065,1815.4644270000001,45,127,Fertilizantes,0.08250463674484862,92.56366922984246
20613317661,GENAGRO S.A.,4519494.625,877.2118,47,114,Proteccion de cultivos,0.08181825615996592,92.64548748600242
20372983796,KEYPERU S.A.,4396409.0,6.694832999999997,32,46,Semillas,0.0795899868441551,92.72507747284658
20134294303,MAXAM PERU S.A.C.,4355692.13,8091.65,20,21,Fertilizantes,0.07885287272496481,92.80393034557154
20562838971,FUTURECO BIOSCIENCE PERU S.A.C.,4341460.646,564.355747,37,242,Fertilizantes,0.07859523436048763,92.88252557993204
20600039424,PERU FERTIL E.I.R.L.,4301103.84,1038.236762,51,225,Proteccion de cultivos,0.07786463862687593,92.96039021855891
20523787293,ATLANTICA AGRICOLA PERU S.A.C.,4238165.74,565.093447,56,128,Fertilizantes,0.07672524450976896,93.03711546306869
20421278769,FERTILIZACION TECNICA S.A.,4058003.755,900.101757,65,210,Fertilizantes,0.07346369854897075,93.11057916161766
20546891012,BOZELT S.A.C,4048022.925,79.64571099999999,50,1479,Semillas,0.07328301150907211,93.18386217312674
20477464263,NOVAGRO-AG S.A.C.,3996197.628,739.91132,47,135,Proteccion de cultivos,0.07234479700118068,93.25620697012792
20511906530,SEMILLAS DEL MUNDO S.A.C.,3946194.147,2.911628,62,152,Semillas,0.07143956357204523,93.32764653369996
20373860736,VIRU S.A.,3895707.056,43.176163,20,48,Semillas,0.07052557515365884,93.39817210885361
20211040352,QUIMICOS GOICOCHEA S.A.C.,3873277.466,2878.402,47,84,Proteccion de cultivos,0.07011952312960472,93.46829163198322
20522145131,TATTERSALL PERU S.A,3735482.637,718.8844349999999,52,154,Fertilizantes,0.06762496708914019,93.53591659907237
20602822533,HORTIFRUT - PERÚ S.A.C.,3530501.029,1598.29025,56,83,Fertilizantes,0.0639141013612214,93.59983070043359
20608465571,H. TORRES LA JARA Y ASOCIADOS SOCIEDAD C,3515813.838,491.99,17,17,Semillas,0.06364821314689294,93.66347891358048
20606232021,KALIPTRA LIFE S.A.C.,3494851.188,451.630419,43,184,Proteccion de cultivos,0.06326871773649809,93.72674763131697
20608450727,BIODEX PERU LAB SOCIEDAD ANÓNIMA CERRADA,3429819.133,452.507598,23,72,Fertilizantes,0.062091415897224625,93.7888390472142
20131373075,SERVICIO NACIONAL DE SANIDAD AGRARIA,3423472.585,684.534897,10,79,Proteccion de cultivos,0.06197652174797104,93.85081556896216
20601229006,OCHO SUR U S.A.C.,3304493.48,4151.76,7,12,Fertilizantes,0.059822594440097875,93.91063816340225
20610564004,PROINECO PERU SOCIEDAD ANONIMA CERRADA -,3289561.141,4660.636259,54,332,Fertilizantes,0.05955226821145025,93.9701904316137
20106109401,SAN ISIDRO REPRESENTACIONES S A,3262377.324,25.688613000000004,11,28,Semillas,0.05906014847522827,94.02925058008893
20603646275,ONE CHEMICAL COMPANY S.A.C.,3257053.407,693.63182,32,159,Proteccion de cultivos,0.05896376743242963,94.08821434752136
20517933318,VIVEROS GENESIS SAC,3137199.751,65.873643,29,86,Semillas,0.056794007770791265,94.14500835529215
20606666111,DEMETRA GROUP S.A.C.,3112603.53,374.99474,53,167,Proteccion de cultivos,0.05634873234127459,94.20135708763343
20609421763,COPEFERT SOCIEDAD ANONIMA CERRADA,3086042.0,8300.0,60,111,Fertilizantes,0.05586787812064575,94.25722496575408
