ruc,razon_social,fob,tn,semanas,destinos
20554556192,AGROVISION PERU S.A.C.,8078805.25,1319.14104,10,14
20100085063,AJINOMOTO DEL PERU S A,7989905.477,2988.726531,10,7
20600598385,AGRO DIRECT S.A.C.,7880421.89,1994.89,2,3
20562740814,GLOBAL AGRO PERU S.A.C.,7768729.41,3087.11085,6,1
20525416543,COOPERATIVA AGRARIA NORANDINO LTDA.-COOP,7688042.34,1066.936,9,8
20555837659,AGRICOLA SANTA AZUL S.R.L,7655805.71,847.8186199999998,10,3
20508634090,H.V.C.EXPORTACIONES SAC,7525485.68,1160.9999980000002,8,4
20536558072,SOBIFRUITS S.A.C.,7420284.1,2391.6517999999996,10,22
20614746379,AGRO BLUE PERU S.A.C.,7298971.456,864.5058,8,5
20606949511,AMA'Z COFFEE TRADING S.A.C.,7246337.7700000005,1570.35,10,7
20601438586,SOCIEDAD EXPORTADORA VERFRUT SOCIEDAD AN,7135539.97,1020.13812,5,5
20605493603,INKA SELECT FRUIT S.A.C.,7056205.53,3429.8118,10,12
20608170732,AGRICOLA BLUE GOLD S.A.C.,7048906.798,886.281,10,6
20610773274,BERRY HARVEST S.A.,6979769.673,2413.64884,10,8
20526005610,EL ALAMO EXPORT S.A.C.,6891779.942,375.02597,10,3
20603062397,FRUGLOBE S.A.C.,6872149.257,3348.0986000000003,10,11
20568333820,COOPERATIVA AGRARIA CAFETALERA JUAN SANT,6802294.15,1137.595,8,5
20609493071,AVALEZA S.A.,6704058.779999999,3762.144,10,6
20279143222,FLORIDABLANCA S.A.C.,6617382.14,1021.1967,10,15
20510865627,SANTA SOFIA DEL SUR S.A.C.,6496559.96,3310.8856,9,4
20611839589,,6317105.82,1404.41016,6,4
20513081236,FUXION BIOTECH S.A.C.,6312430.85,146.761303,10,10
20530184596,ECOSAC AGRICOLA S.A.C.,6185519.36,1913.75886,9,17
20614080630,SUNRISE DEL PERÚ S.A.C.,6175155.886,2749.3292,9,6
20607575160,FRG FARMS S.A.C.,6103766.154,1822.9458,10,3
20509438448,NEGRISA S.A.C.,6036173.37,942.825,9,7
20291939083,INKA CROPS S.A.,6013900.95,978.207954,10,12
20396637759,AGRICOLA ALPAMAYO S.A.,5898002.762,3392.3802800000003,6,4
20530074227,AGROCOSTA PERU S.A.C.,5731660.422,3856.358,10,8
20601017238,AGROINDUSTRIAL E&C S.A.C,5720620.04,1299.3609600000002,10,3
20515552872,AGRICOLA SAFCO PERU S.A.,5669251.26,1895.13495,3,3
20521137682,AMAZONAS TRADING PERU S.A.C.,5657051.0,1290.58,9,4
20603735090,KIMSA FRESH S.A.C.,5409873.81,1227.1528999999998,10,12
20504524176,SELVA INDUSTRIAL S.A.,5298783.95,1618.165,8,7
20147123052,"COOPERATIVA AGRARIA CAFETALERA ""LA PROSP",5219381.16,776.92,9,9
20109930751,AGRICOLA HUARMEY S.A.C.,5215052.09,1358.9014,9,10
20601799040,ASOCIACION DE PRODUCTORES AGROINDUSTRIAL,5194251.15,1261.78,6,3
20117751954,PROCESADORA PERU SOCIEDAD ANONIMA CERRAD,5153480.23,2588.8993200000004,10,4
20537677962,AGRICOLA BGS S.A.C.,5144044.057,3216.048,8,2
20109195848,ED&F MAN VOLCAFE PERU S.A.,5138962.899999999,754.435,6,11
20563196387,CORPORACION AGRICOLA OLMOS S.A.,5077796.8719999995,1387.6396399999999,9,5
20483894814,ECO PEPPERS S.A.C.,5066726.418,2336.0347589999997,10,9
20550721679,INVERSIONES PIRONA S.A.C.,5041439.531,3558.72576,10,14
20611123427,SELECT GRAINS INTERNATIONAL S.A.C.,4955121.47,783.525,8,6
20607799955,FRESH FRUITS CKS S.A.C.,4936487.56,2705.31,8,2
20613764560,TALSA GRAPE FARMS S.A.C.,4933854.805,1368.3062579999998,9,8
20606528281,JALHUCA PERÚ S.A.C.,4913528.9,2494.78032,10,6
20110378956,AGROMAR INDUSTRIAL S.A.,4870034.47,1920.714561,10,10
20542089106,S & M FOODS SOCIEDAD ANONIMA CERRADA - S,4777786.864,1292.10924,10,5
20612887234,SUREXPORT PERU BERRIES S.A.C.,4757945.303,628.3537799999999,9,10
20603843895,FUNDO DON JORGE S.A.C.,4730221.22,628.446,10,1
20615015840,,4632202.24,1496.99,6,1
20611849321,CORPORACION AARJEA S.A.C.,4612384.394,785.831,5,4
20310422755,ICATOM S.A.,4609837.79,5364.102500000001,10,10
20481065799,DOMINUS S.A.C,4411805.518,1912.44802,10,16
20480319860,V & F SAC,4354772.5,2533.13694,10,9
20613080326,BYBLUE PERU SOCIEDAD ANONIMA CERRADA - B,4204495.75,487.684,9,4
20600370899,AGRICOLA KAMUK S.A.C.,4190630.427,1334.2616099999998,10,14
20601837138,VALLEY COFFEE TRADING S.A.C,4188540.678,660.945,8,8
20494586810,SUN FRUITS EXPORTS S.A.,4157460.18,2953.3155,10,12
20600857313,ASOCIACION DE PRODUCTORES FINKAFE,4138830.7,700.41,6,2
20376641466,BAYER VEGETALES PERU S.A.,4134131.14,4.099217,6,3
20604776440,FALCON COFFEES PERU S.R.L.,4078816.29,643.43,9,4
20530042708,AGRONEGOCIOS LOS ANGELES S.A.C.,4069020.0,5333.159999999998,10,4
20602445764,AGROPECUARIA DOÑA MARIA S.A.C.,4050095.63,2441.974,10,4
20606844159,AGROINDUSTRIA FRUTOS DE ORO S.A.C.,4004284.28,1670.6942,10,14
20411051782,MANUELITA FYH S.A.C.,4003690.9,1029.24208,9,9
20601576245,EXOTIC'S PRODUCERS & PACKERS S.A.C.,3931877.207,2801.138,7,3
20610879943,QBERRIES SAC,3901666.12,471.876,8,6
20600958659,ASOCIACION DE PRODUCTORES AGRO-ECOLOGICO,3885261.45,753.015,6,2
20609628848,AGROINDUSTRIAL BEEGROUP PERU E.I.R.L.,3873882.38,1013.3232,9,2
20556450600,AGROEXPORTADORA SOL DE OLMOS S.A.C.,3837713.33,2353.1874799999996,10,8
20600596382,FINCA CHURUPAMPA PERU S.A.C.,3760327.7199999997,571.9,8,2
20454186002,ALSUR PERU S.A.C.,3743502.269,1323.156868,9,6
20514938343,SOCIEDAD AGRICOLA YOLANDA PATRICIA S.A.C,3736630.37,2500.736,9,1
20614093049,,3704988.43,756.7056000000003,10,3
20550495130,INVERSIONES HEFEI S.A.C.,3647405.816,2454.5683200000003,10,13
20601285941,CITROLIM PERU S.R.L.,3641189.2399999998,3267.5055,7,6
20507453687,AGROEMPAQUES S.A.,3637392.4,1156.005,9,5
20612024481,,3613107.12,1714.242,10,4
20611688734,EXCELLENCE FRUIT S.A.C.,3608789.82,437.3358,8,17
20610306030,PERUVIAN ORGANIC FARMS E.I.R.L.,3588677.826,1564.6003199999998,7,3
20609482401,SOLFRUT EXPORT SOCIEDAD ANONIMA CERRADA,3518193.64,2652.304,10,5
20486973219,COOPERATIVA AGRARIA SONOMORO DEL VRAEM L,3516099.336,680.5902499999997,8,3
20601958911,COOPERATIVA AGRARIA CAFETALERA LAGUNA DE,3503876.573,555.795,8,6
20610343377,FRUTÍCOLA OLMUÉ PERÚ S.A.C.,3465147.262,1661.2922599999997,10,8
20514584789,COMPAÑIA NACIONAL DE CHOCOLATES DE PERU,3443625.74,583.406434,7,9
20571525594,AGRO ISM S.A.C.,3430817.51,374.7072,10,8
20601586305,ORGANIC RAINFOREST S.A.C.,3424194.67,341.1955,10,7
20601600707,ORGANIC EXPORT CENTER SOCIEDAD ANONIMA C,3382334.27,860.034,9,3
20613703323,CMX PERU SOCIEDAD ANONIMA CERRADA - CMX,3321908.25,1086.312,10,7
20604552576,AGROEXPORTADORA DON ELOY SOCIEDAD ANONIM,3310267.2,1950.4127999999994,6,1
20100032709,I Q F DEL PERU SA,3292798.028,809.23404,6,6
20287944528,EL BOSQUE EMPRESA INDIVIDUAL DE R LTDA,3231994.02,357.2,9,3
20605663649,ALPES AMAZONICOS S.A.C.,3224071.798,627.9,7,8
20601714893,COOPERATIVA AGRARIA Y SERVICIOS MULTIPLE,3202116.508,663.09,8,7
20611418231,AGRONEGOCIOS D & C E.I.R.L.,3152661.27,737.69126,10,5
20342015108,AGROINDUSTRIAS NOBEX S.A.,3147531.0439999998,1018.600618,9,12
20208672721,DON FERMIN S R L,3109371.35,2149.072,10,3
20610490027,THREE RIVERS SOCIEDAD ANONIMA CERRADA,3096237.983,1717.836,10,5
20479721166,PERUNOR S.A.C.,3088126.14,476.865,8,9
20331633390,AGRICOLA EL TUNAL S.A. Y/O AGROTUNA S.A.,3058500.79,99.822,4,1
20605465995,IMPORTADORA Y EXPORTADORA WORLD COMMERCE,3058065.05,2346.719,8,1
20605814957,DIAMOND BRIDGE S.A.C.,3051794.4620000003,391.41020000000003,7,5
20609156598,COFFEE GRAIN GLOBAL S.A.C.,3035511.92,477.66,6,6
20607852465,FARMERS CONNECTION S.A.C.,3035182.25,1219.2548000000002,2,7
20601596998,FAIR FRUIT PERU S.A.C.,3033512.83,825.103,10,3
20604981973,ASOCIACION DE PRODUCTORES DE CAFES ESPEC,3020550.2369999997,483.61,4,5
20568617267,LA CAMPIÑA PERU S.A.C.,3007439.6999999997,779.1084000000001,7,2
20600459946,ASEPTIC PERUVIAN FRUIT S.A.,3003001.654,976.6993,9,15
20551771556,ARA EXPORT S.A.C.,2992436.351,1520.822,10,10
20480298412,COOPERATIVA AGRARIA RODRIGUEZ DE MENDOZA,2982272.14,476.445,5,4
20572101500,ASOCIACION CACAOTERA DE TOCACHE - ASOTOC,2968791.2,706.55,4,2
20427377475,RAINFOREST TRADING S.A.C.,2940209.98,429.25,7,6
20438297775,COOPERATIVA AGRARIA CAFETALERA CENFROCAF,2930519.43,443.67,6,4
20565944429,EXPORTADORA Y COMERCIALIZADORA GREENVIC,2930267.164,779.7108499999999,6,1
20542380455,COOPERATIVA DE SERVICIOS MULTIPLES ECOFO,2908697.77,500.96,7,8
20603153473,THE SUPERFOOD COMPANY SOCIEDAD ANONIMA C,2824119.75,675.743,5,5
20606458445,,2802483.56,553.396,6,3
20612065668,POB S.A.C.,2788840.288,358.48544000000004,8,4
20103272964,EMPRESA AGRICOLA SAN JUAN S.A,2764641.198,2102.448,10,8
20286844953,GREEN VEGETABLES & FLOWERS S.A.C.,2763478.231,425.96029100000004,10,2
20130120599,COUNTRY HOME SA,2744022.737,1082.69,10,2
20566558590,PACHAMAMA FARMS S.A.C.,2725090.01,1155.9851999999998,6,4
20604296481,VALLE SAN MIGUEL S.A.C.,2724200.44,1647.8575,4,3
20602526322,CAPITAL EXCHANGE & AGRICULTURE LATAM S.R,2714725.8,651.44,7,4
20602872760,LOS OLIVOS DE VILLACURI S.A.C.,2713510.59,1031.128,7,13
20404057805,COOPERATIVA AGRARIA ACOPAGRO LTDA,2705758.72,474.56,5,2
20512441174,QALI FRUITS S.A.C.,2702890.5300000003,338.7212600000001,9,3
20548411085,PEPAS TROPICALES DEL PERU S.A.C.,2692182.96,639.37,10,9
20539701178,GREEN FRUITS PERU S.A.C.,2678535.712,2410.8,9,3
20601226015,AGROCASAGRANDE S.A.C.,2655384.672,568.69504,8,5
20256119006,SOCIEDAD AGRICOLA ARONA S.A.,2619442.764,2168.908,10,6
20568075278,GREENBOX SOCIEDAD ANÓNIMA CERRADA - GREE,2615083.26,218.48468,8,6
20611834480,AGRO QORIANKA S.A.C.,2569958.54,413.0401,10,8
20479813877,PROMOTORA Y SERVICIOS LAMBAYEQUE S.A.C.,2562712.65,1589.675,4,4
20542289024,CUENCAS DEL HUALLAGA ASOCIACION DE PRODU,2541021.23,551.126,7,3
20570726014,EMPRESA CAFETALERA AROMAS DE CAFE E.I.R.,2517699.81,363.44,8,7
20611889705,ADSA CORPORATION S.A.C.,2509717.771,566.8158400000001,7,3
20452675804,PEAK QUALITY DEL PERU S.A.,2475799.0,533.0763199999999,10,4
20605913131,,2461863.68,1200.0,2,2
20100055237,ALICORP SAA,2454135.013,549.975414,10,4
20611902485,AGROINDUSTRIAS BARR S.A.C.,2438579.907,495.1272,7,4
20600724089,"""COOPERATIVA AGROINDUSTRIAL DE JOVENES L",2427153.64,438.834,6,3
20538953441,AMAZON'S CUP S.A.C.,2411475.67,420.505,6,6
20546090435,NOBEX AGROINDUSTRIAL S.A.,2409763.13,1281.815,9,4
20608451634,CORPORACION TIERRA BRAVA S.A.C.,2408227.2,1102.878,9,4
20601338522,FRUTICAL S.A.C.,2380957.24,1271.006,9,9
20614245108,CHAKAY S.A.C.,2371699.6500000004,550.528,6,1
20419184111,ECOANDINO S.A.C.,2346666.04,214.14709000000002,10,12
20602781713,M & V RIVAS E.I.R.L.,2335781.419,402.01,7,4
20542232006,CAYNARACHI S.A.,2316382.832,815.5006699999999,10,8
20293718220,AGRICOLA DON RICARDO S.A.C.,2307179.482,879.4360600000001,10,13
20600390911,COOPERATIVA AGRARIA DE CACAO AROMATICO C,2307135.02,460.757,5,1
20484002216,LIMONES PIURANOS SOCIEDAD ANONIMA CERRAD,2285220.16,1672.7788899999998,10,10
20505580291,CULTIVARES SAC,2278131.59,1380.403,8,6
20606818069,CONSORCIO Y ASOCIADOS LOS FRUTALES S.A.C,2273527.73,1518.464,10,8
20601225639,AGROSANJACINTO S.A.C.,2272881.663,1117.1676,9,9
20540715409,CENTRAL SAN LUIS S.A.C.,2266726.041,1897.6352,7,8
20601197261,AGROEXPORTACIONES MACABI S.A.C.,2245891.0,533.505,10,1
20563207923,SELVACACAO SOCIEDAD ANONIMA CERRADA,2224406.005,346.38,6,3
20603000961,TULIPAN NARANJA S.A.C.,2200698.231,2781.9503999999997,10,3
20522308880,PROCESADORA TORRE BLANCA S.A.C,2178569.53,1695.247,10,6
20605873660,,2178226.5,360.524881,4,2
20605481729,IREN PERU SOCIEDAD ANONIMA CERRADA - IRE,2171738.2,2388.2232000000013,6,2
20610249851,G & L FOODS S.A.C.,2155513.37,449.45599999999996,9,3
20389426891,AGRICOLA LOS MEDANOS S.A.,2147553.03,521.53644,10,4
20486267934,COOPERATIVA AGRARIA CAFETALERA SOSTENIBL,2134060.9,341.55,7,4
20546512364,AGRICOLA GUILI SOCIEDAD ANONIMA CERRADA,2068240.32,1441.92,6,1
20613206419,,2059955.0,437.0,6,1
20110804483,COMERCIO ALTERNATIVO DE PRODUCTOS NO TRA,2047164.0,186.2,7,6
20610793577,,2024894.707,1033.44748,7,4
20612426661,,1989799.0,368.886,5,2
20456174834,PROCESADORA AGROINDUSTRIAL LA JOYA S.A.C,1976791.84,80.546,7,2
20525353959,AGROFRUTOS TRADING S.A.,1959213.68,549.243449,8,4
20437547263,COOPERATIVA AGRARIA APROCASSI,1954926.179,302.68,8,7
20518581237,CYNARA PERU S.A.C.,1952600.66,920.5373549999999,8,3
20604024219,KULKAO S.A.,1928562.5,198.27157,8,7
20605016848,FRESH VEGGIES S.A.C.,1908380.3800000001,780.55357,9,1
20480325088,FRUTOS TONGORRAPE SOCIEDAD ANONIMA,1907491.67,707.023,5,9
20602187307,AGROALTO S.A.C.,1907408.5,1744.024,9,6
20601909317,MARAND COMPANY S.A.C.,1907145.13,1165.056,2,5
20608488422,EMPRESA DE MULTISERVICIOS CHIRINOS SOCIE,1896086.404,294.285,6,7
20603219211,CAFE SELVA NORTE S.A.C.,1864396.09,274.44,4,4
20494397685,CORPORACION AGROEXPORTICA S.A.C.,1850203.72,393.0032,10,7
20523273265,MIRANDA - LANGA AGRO EXPORT S.A.C - MIRA,1839087.77,651.3467999999999,9,3
20556859591,AGROFINO FOODS S.A.C.,1832150.59,213.16343000000003,7,13
20542026449,HUARAL FRUIT EXPORT S.A.C.,1824787.13,1148.848,10,9
20613348078,,1815068.19,943.954,6,2
20481787743,AGRO EXPORTACIONES PERU FOODS SAC,1802438.501,354.72785999999996,10,4
20607450677,COOPERATIVA AGRARIA AROMAS DEL VALLE,1793626.69,271.86,8,5
20530336281,COOPERATIVA AGRARIA AGROEXPORTADORA DEL,1784220.0,2119.0018420000006,10,4
20439837846,SAN EFISIO S.A.C.,1779311.18,320.81847999999997,10,9
20454726121,AGRICOLA MIRANDA S.A.C.,1745784.76,3933.4445,9,6
20612337129,FAEX TRADING S.A.C.,1723856.0,530.55,5,1
20571593751,GRUPO COMERCIAL CAMPO VERDE S.A.C.,1705019.6,1329.016,8,6
20607892955,FRUTOS TROPICALES PERU EXPORT SOCIEDAD A,1688728.39,767.64181,10,6
No Disponib,No Disponible - Ley  29733,1673033.4,2694.8755360000005,10,10
20613991515,AGROINCA HERITAGE S.A.C.,1670657.24,300.60475,7,1
20601578566,DOMEL PRODUCE S.A.C.,1666696.73,563.58,9,5
20542209951,ASOCIACION  VALLE  GRANDE,1646428.4649999999,299.805,3,3
20606967731,INKAPACKING S.A.C.,1624741.0,884.884,7,1
20513328495,AGRONEGOCIOS LA GRAMA S.A.C.,1623214.1639999999,616.263,10,5
20601228514,PULPAS Y PROCESADOS DEL AGRO SOCIEDAD AN,1580565.17,572.187904,7,5
20554348671,AGROINDUSTRIAS CHECCOBAMBA S.A.C. - CHEC,1559941.77,758.028,10,2
20530866590,AGROPECUARIA PAMAJOSA S.A.,1558581.28,1143.621,8,6
20207845044,FRUTOS Y ESPECIAS S.A.C.,1542121.29,782.8,5,3
20526765096,LA NUEZ S.R.L.,1534227.06,157.52488,7,7
20498655468,FUNDO AMERICA SAC.,1530026.22,564.5136,7,3
20611604280,,1516986.66,231.8,4,3
20613031058,CULTIVEMOS S.A.C.,1500382.381,972.0856,9,7
20602842739,LARAMA BERRIES S.A.C.,1482166.59,205.07724,10,8
20600185081,PROFRUTOS PERU E.I.R.L.,1481481.1099999999,651.309,8,2
20609199335,LA ALTEÑA PERU S.A.C.,1476636.91,946.656,8,1
20542215501,COOPERATIVA AGRARIA CAFETALERA ALTO MAYO,1472888.199,213.4505,4,3
20170142773,COOPERATIVA AGRARIA CAFETALERA BAGUA GRA,1470362.53,307.7,6,3
20602371931,AGRICOLA LOS BUENOS MUCHACHOS DE PISCO S,1464764.304,428.376,3,4
20608345770,AQU ANQA S.A.C.,1463126.538,155.7637,6,8
20186370571,IMPORTADORA Y EXPORTADORA DOÑA ISABEL S.,1459357.091,346.6016900000001,10,6
20532520950,FUNDO LA NORIA SOCIEDAD ANONIMA CERRADA,1458467.391,674.129,8,4
20546597416,AGRILOR S.A.C.,1453500.0,4131.0,5,1
20554251677,AGROINPER FOODS S.A.C.,1452582.0,334.73856499999994,9,2
20543733769,AGROINDUSTRIAS JAS EMPRESA INDIVIDUAL DE,1449131.84,634.94447,8,1
20615819337,,1438650.7,317.832,4,4
20606787091,,1426586.2,914.456,9,3
20293583626,MEBOL SAC,1425542.45,516.5457560000001,8,6
20511375666,UNION DE NEGOCIOS CORPORATIVOS SOCIEDAD,1421606.93,478.76857,7,6
20444479753,COOPERATIVA AGRARIA CAFETALERA ACPC PICH,1419712.746,239.65497399999998,5,4
20601199557,MEBOL GF S.A.C.,1418849.31,477.56919,8,7
20610316108,ASOCIACION DE PRODUCTORES TSINANI DE LA,1413556.38,1087.952,10,3
20546128424,DSM MARINE LIPIDS PERU S.A.C.,1407624.1,299.262,4,1
20606396628,BERRYCO S.A.C.,1398964.3,271.25289000000004,9,7
20525955096,'JUMAR PERU S.A.C.',1391462.601,1686.288,3,5
20607068781,ASOCIACION DE PRODUCTORES AGROPECUARIOS,1352283.85,196.965,6,3
20614037092,,1343316.35,298.84,9,3
20538955907,COMPAÑIA ADMINISTRADORA Y INVERSORA PACI,1341209.1199999999,213.85,5,2
20612457167,AGRONEGOCIOSL&VEIRL,1328027.87,894.53,9,2
20602384323,COMERCIALIZADORA VERDE DE ALIMENTOS SOCI,1320677.65,279.04,9,13
20452791031,POMICA PERU SOCIEDAD ANONIMA CERRADA,1300151.955,389.46959999999996,3,5
20611375043,FRUTAS MITPAL S.A.C.,1299495.23,744.16,7,5
20602360939,JBF CARGO S.A.C.,1293822.6400000001,264.08,4,1
20611474106,GRUPO TAVARI S.A.C.,1287360.99,438.3105,9,7
20610089136,ARA FOODS INDUSTRY S.A.C.,1286769.34,423.54977,10,6
20604580294,AMARA FOODS S.A.C.,1279174.76,510.78929999999997,8,5
20600224540,ASOCIACION DE PRODUCTORES CAFETALEROS DE,1243786.51,189.75,6,2
20325346435,SOCIEDAD AGRICOLA DON LUIS S.A.,1232212.47,519.3588,5,5
20601116431,ELISUR ORGANIC S.A.C.,1232139.67,634.508,10,7
20566127181,QORI FOODS S.A.C.,1229946.599,359.99474599999996,10,9
20600546806,WAMBRA CORP S.A.C.,1227303.2,925.942,10,7
20614056208,GREEN LAND PERU EXPORTS S.A.C.,1216295.49,129.9,9,4
20607057088,AGRONEGOCIOS SAN MIGUEL ARCANGEL SOCIEDA,1199808.0,1348.6336,10,2
20613418181,,1197890.5,784.75557,10,6
20609310252,PURA BERRIES S.A.C.,1178066.552,150.67891999999998,6,4
20610818499,,1170525.6,189.618,5,3
20614146525,WE FRUIT S.A.C.,1160295.04,829.388,9,4
20480385579,COOPERATIVA DE SERVICIOS MULTIPLES SOL&C,1149414.42,192.51,4,4
20603734255,COOPERATIVA AGROINDUSTRIAL  MISHAGRO,1136760.08,208.725,5,3
20612693804,ALLPA FARMS PERU S.A.C.,1130482.9,157.1955,10,7
20615023770,,1129435.0,299.15,6,1
20604409811,COOPERATIVA AGRARIA DE USUARIOS RIO Y VA,1120176.0,1384.4448,8,4
20565586247,GIDDINGS BERRIES PERU S.A.C.,1118491.27,610.68376,9,2
20605822976,NEGOCIOS LDL & EL TREBOL E.I.R.L.,1093548.0,1765.844,8,1
