ruc,razon_social,fob,tn,semanas,lineas,rubro,pct,pct_acum,distrito,provincia,dep,fob_anual
20104121374,PALMAS DEL ESPINO S.A.,102677.0,3.655,2,2,Proteccion de cultivos,0.0018588036461569,99.6761010792254,,,,21704.081300813006
20531740786,DISTRIBUIDORA Y COMERCIALIZADORA VIRGEN,102008.4,65.0,1,1,Fertilizantes,0.0018466997074187,99.6779477789328,MIRAFLORES,LIMA,LIMA,21562.751219512193
20605088822,ENCIPHARM PERU S.A.C.,101354.58,24.144,1,8,Proteccion de cultivos,0.0018348633370541,99.67978264226986,SANTIAGO DE SURCO,LIMA,LIMA,21424.545365853657
20611919311,BIOCHEMICAL INTERNATIONAL COMPANY S.A.C.,101273.92,31.34,10,12,Fertilizantes,0.0018334031161468,99.681616045386,CHICLAYO,CHICLAYO,LAMBAYEQUE,21407.495284552846
20524637007,ANDEAN NATURAL PRODUCTS EXPORT IMPORT S.,101245.132,11.20821,5,24,Proteccion de cultivos,0.0018328819552309,99.68344892734125,SAN MIGUEL,LIMA,LIMA,21401.410016260164
20602626203,SEMILLAS J. MANRIQUE S.R.L.,101230.242,7.173,7,55,Semillas,0.0018326123954824,99.68528153973674,CONCEPCION,CONCEPCION,JUNIN,21398.262536585367
20607046566,CCV BUSINESS E.I.R.L.,100870.295,15.560776,8,72,Fertilizantes,0.0018260961280026,99.68710763586472,MOCHE,TRUJILLO,LA LIBERTAD,21322.176178861788
20601668425,AGRARIOS NUTRICION Y SEMILLAS E.I.R.L. -,100850.0,40.09375,8,13,Fertilizantes,0.0018257287193327,99.68893336458407,CERRO COLORADO,AREQUIPA,AREQUIPA,21317.886178861787
20545044545,HYDROTECH PERU IMPORT E.I.R.L.,100648.24,88.2,3,4,Proteccion de cultivos,0.0018220761756896,99.69075544075976,SAN ISIDRO,LIMA,LIMA,21275.237723577236
20600679717,KP INGENIERIA LOGISTICA PERU S.A.C.,100459.414,42.928866,6,25,Proteccion de cultivos,0.0018186577815284,99.69257409854129,PUNTA HERMOSA,LIMA,LIMA,21235.323284552847
20531385781,MERCADOR PORT E.I.R.L.,99800.92,16.495,4,7,Semillas,0.0018067367958337,99.69438083533711,LA BANDA DE SHILCAYO,SAN MARTIN,SAN MARTIN,21096.129430894307
20600314000,GRUPO FORESTAL DEL PERU S.A.C.,99494.63,26.932,3,3,Proteccion de cultivos,0.0018011919029289,99.69618202724004,HUANCHACO,TRUJILLO,LA LIBERTAD,21031.385203252034
20613183117,QING HUA DROGUERIA SOCIEDAD ANONIMA CERR,99459.0,87.93104000000001,4,4,Proteccion de cultivos,0.0018005468784939,99.69798257411854,JESUS MARIA,LIMA,LIMA,21023.853658536587
