ruc,razon_social,fob,tn,semanas,destinos,distrito,provincia,dep,fob_anual
20600957652,PAITA INGREDIENTS S.A.C.,88365.81,88.36581,3,1,PAITA,PAITA,PIURA,459502.212
20503250919,MULTISERVICIOS CRUZATT S.R.L.,87838.0,156.0,4,1,SANTIAGO DE SURCO,LIMA,LIMA,456757.6
20615455149,,86345.2,43.434,2,2,SAN ISIDRO,LIMA,LIMA,448995.04000000004
20615277283,MOLINA KP S.A.C.,86136.0,23.1,2,1,MIRAFLORES,LIMA,LIMA,447907.2
20615343014,,86020.0,21.5,1,1,CHICLAYO,CHICLAYO,LAMBAYEQUE,447304.0
20524221676,RAIN BRANDS S.A.C.,85864.2,35.502,2,1,SAN MIGUEL,LIMA,LIMA,446493.84
20613945416,,85857.12,18.40068,3,2,SANTIAGO DE SURCO,LIMA,LIMA,446457.024
20107745948,NAKAYAMA DEL PERU S.A.C.,85732.1,4.586,1,1,MIRAFLORES,LIMA,LIMA,445806.92000000004
20609736489,TEC-FRESH FRUIT S.A.C.,85392.0,66.912,3,2,ATE,LIMA,LIMA,444038.4
20613606379,,85289.0,21.092821,2,1,CARAZ,HUAYLAS,ANCASH,443502.8
20612972801,NAYTANA FRESH S.A.C,84989.04000000001,44.08,2,2,CALLAO,CALLAO,CALLAO,441943.00800000003
20612377384,EXPORTACIONESYIMPORTACIONESPERUPACIFICOS,84957.3,849.573,10,1,CORONEL GREGORIO ALBARRACIN LANCHIPA,TACNA,TACNA,441777.95999999996
20605664297,AZUMA FOODS KAMPO PERU S.A.C.,84327.01,24.3708,4,5,CALLAO,CALLAO,CALLAO,438500.45199999993
20606758210,FINCA EL MORITO S.R.L.,83151.0,6.066,1,1,JAEN,JAEN,CAJAMARCA,432385.2
20547859252,TROPICAL NEW DIMENSION S.A.C.,81500.0,30.049,11,1,SAN BORJA,LIMA,LIMA,423800.0
20613167634,,80974.48,64.926,2,1,JESUS MARIA,LIMA,LIMA,421067.296
