cod_se,ubigeo,dep,prov,dist,sector,region_nat,lat,lon,alt_m,piso,ha_agricola,s_sam_usd,s_clientes_sam
1010905,010109,AMAZONAS,CHACHAPOYAS,LA JALCA,QUELUCAS,SIERRA,-6.519748375999939,-77.81635319199995,2567.964878727433,quechua,1821.2752864320337,65014.770061020536,18.585987659573327
1011001,010110,AMAZONAS,CHACHAPOYAS,LEIMEBAMBA,LEIMEBAMBA,SIERRA,-6.692633500999932,-77.77140828699999,2870.695563496623,quechua,1720.45162255691,61415.62863941128,17.55708918028462
1011002,010110,AMAZONAS,CHACHAPOYAS,LEIMEBAMBA,CHILCHOS,SIERRA,-6.782636049999951,-77.81830742199998,3158.3041029349724,quechua,3247.0231864806483,115910.24565287185,33.13564584325121
1011003,010110,AMAZONAS,CHACHAPOYAS,LEIMEBAMBA,TAJOPAMPA,SIERRA,-6.88378217099995,-77.78113709799999,3453.5607429198926,quechua,786.7178357820964,28083.77161723786,8.028400811421177
1011101,010111,AMAZONAS,CHACHAPOYAS,LEVANTO,LEVANTO,SIERRA,-6.303864637999936,-77.90867171199994,2644.885608054372,quechua,1058.7976584848388,37796.31054149684,10.804956483616523
1011102,010111,AMAZONAS,CHACHAPOYAS,LEVANTO,CACHUC,SIERRA,-6.306454821999978,-77.81931064599996,3176.268205891424,quechua,532.503898430545,19008.998129482323,5.4341652569687655
1011103,010111,AMAZONAS,CHACHAPOYAS,LEVANTO,QUIPACHACHA,SIERRA,-6.3368231749999495,-77.91331482699997,2534.530117471819,quechua,65.22569838418612,2328.3870451154835,0.6656237166817641
1011201,010112,AMAZONAS,CHACHAPOYAS,MAGDALENA,MAGDALENA,SELVA ALTA,-6.413631977999955,-77.85896451499997,2534.6063207434254,ceja de selva,1847.118302169152,65937.29821387524,18.84971383823202
1011202,010112,AMAZONAS,CHACHAPOYAS,MAGDALENA,SEÑOR DE LOS MILAGROS,SELVA ALTA,-6.422165419999942,-77.79568164499995,2968.0532802154075,ceja de selva,1609.3784180808657,57450.60539292678,16.423594851843315
1011301,010113,AMAZONAS,CHACHAPOYAS,MARISCAL CASTILLA,TACTA,SIERRA,-6.567048273999944,-77.78826004399997,2767.3558375508865,quechua,1853.5039409745991,66165.24883821068,18.914878838229928
1011302,010113,AMAZONAS,CHACHAPOYAS,MARISCAL CASTILLA,SHUEMBE,SIERRA,-6.585376378999968,-77.74570060599996,3185.175886296389,quechua,54.12410889059828,1932.0893005546204,0.5523327678248834
1011303,010113,AMAZONAS,CHACHAPOYAS,MARISCAL CASTILLA,DURAZNOPAMPA,SIERRA,-6.599233590999972,-77.80074188599997,2362.0736014528447,quechua,580.6027865867597,20726.00278932881,5.9250110661500495
1011401,010114,AMAZONAS,CHACHAPOYAS,MOLINOPAMPA,MOLINOPAMPA,SIERRA,-6.17647945799996,-77.68183988899995,2809.3909374896734,quechua,1831.8063874766708,65390.702858224286,18.693456813476352
1011402,010114,AMAZONAS,CHACHAPOYAS,MOLINOPAMPA,SANTA CRUZ DEL TINGO,SIERRA,-6.206184715999939,-77.62111621499997,2577.9167811106654,quechua,1343.2875113722876,47951.85512498793,13.708155650942004
1011403,010114,AMAZONAS,CHACHAPOYAS,MOLINOPAMPA,SAN JOSE DE DALLAVOZ,SIERRA,-6.2123247069999366,-77.57913765199999,2740.0780003294412,quechua,1346.6279276289863,48071.09925927958,13.742244366572942
1011404,010114,AMAZONAS,CHACHAPOYAS,MOLINOPAMPA,IZCUCHACA,SIERRA,-6.221007257999929,-77.52918554599995,2570.620213028913,quechua,895.8117936961819,31978.14093178882,9.141697066320353
1011405,010114,AMAZONAS,CHACHAPOYAS,MOLINOPAMPA,HUASCAZALA,SIERRA,-6.247398313999952,-77.66654934199994,2522.5825598065207,quechua,1962.353614998956,70050.89785603403,20.02568219302017
1011501,010115,AMAZONAS,CHACHAPOYAS,MONTEVIDEO,MONTEVIDEO,SIERRA,-6.611375783999961,-77.71783648399997,3409.6921677267255,quechua,1028.6619606708318,36720.54485214607,10.49742378284561
1011502,010115,AMAZONAS,CHACHAPOYAS,MONTEVIDEO,SAMANGA,SIERRA,-6.640477985999951,-77.71524144399996,3192.307291034967,quechua,521.6891910118806,18622.941325582506,5.323801919738751
1011601,010116,AMAZONAS,CHACHAPOYAS,OLLEROS,SAN MIGUEL - SIRICHA,SIERRA,-5.982745918999967,-77.70731229999996,2943.8290090982555,quechua,994.7565832857902,35510.21144953397,10.15142176416886
1011602,010116,AMAZONAS,CHACHAPOYAS,OLLEROS,OLLEROS,SIERRA,-6.02641171199997,-77.64550042499997,3234.6586412774277,quechua,695.7287702247131,24835.69966493602,7.099863724137341
1011701,010117,AMAZONAS,CHACHAPOYAS,QUINJALCA,QUINJALCA,SIERRA,-6.094981845999939,-77.67492652399994,3182.1778956665285,quechua,2421.7692978817818,86450.83761668827,24.713987292356567
1011702,010117,AMAZONAS,CHACHAPOYAS,QUINJALCA,CHONTAPAMPA,SIERRA,-6.147336265999968,-77.71702832999995,2641.318645403924,quechua,444.4823741689046,15866.85964941645,4.535911722266376
1011801,010118,AMAZONAS,CHACHAPOYAS,SAN FRANCISCO DE DAGUAS,PIPUS,SIERRA,-6.232236738999973,-77.73357597799998,2121.940406716477,yunga,1289.867324967954,46044.89401835667,13.163006363143712
1011901,010119,AMAZONAS,CHACHAPOYAS,SAN ISIDRO DE MAINO,MAINO,SIERRA,-6.336243249999939,-77.84080871899994,3096.3045909598336,quechua,1418.532240614653,50637.89539931672,14.476022880879691
1011902,010119,AMAZONAS,CHACHAPOYAS,SAN ISIDRO DE MAINO,TOLPIN,SIERRA,-6.376240115999963,-77.79495468599998,3027.6895102896788,quechua,818.0576222287109,29202.520125366907,8.348221152964134
1011903,010119,AMAZONAS,CHACHAPOYAS,SAN ISIDRO DE MAINO,CALPILON,SIERRA,-6.35557188699994,-77.87544971299997,2488.2117766817937,quechua,243.5356877613005,8693.587871865253,2.485264759873053
1012001,010120,AMAZONAS,CHACHAPOYAS,SOLOCO,SOLOCO,SIERRA,-6.278331014999935,-77.75446833099994,2846.708648841597,quechua,604.995593900061,21596.76228979065,6.17393796868082
1012002,010120,AMAZONAS,CHACHAPOYAS,SOLOCO,LOLTO,SIERRA,-6.27207348099995,-77.73125290299998,2777.142497685034,quechua,698.5796246168445,24937.467719530872,7.128956494981005
1012003,010120,AMAZONAS,CHACHAPOYAS,SOLOCO,OQUISH,SIERRA,-6.332284295999955,-77.72261532999994,2973.7300003170267,quechua,105.68191712634427,3772.5683716037775,1.078476615909204
1012004,010120,AMAZONAS,CHACHAPOYAS,SOLOCO,QUITACHI,SIERRA,-6.337534483999946,-77.73862687599996,3122.474227304201,quechua,1.7570515940602836,62.72215201303777,0.0179305893445761
1012005,010120,AMAZONAS,CHACHAPOYAS,SOLOCO,MITO,SIERRA,-6.307774783999946,-77.77636429699999,3082.4555399125998,quechua,129.20610518642707,4612.320433794604,1.3185393193584538
1012101,010121,AMAZONAS,CHACHAPOYAS,SONCHE,CARRIZAL,SIERRA,-6.149920061999978,-77.83824603899996,2630.0344384363166,quechua,0.0,0.0,0.0
1012102,010121,AMAZONAS,CHACHAPOYAS,SONCHE,OLMAL,SIERRA,-6.150457722999931,-77.79173711099997,2617.3366499486992,quechua,260.40321197864955,9295.714423880358,2.6573966716640287
1012103,010121,AMAZONAS,CHACHAPOYAS,SONCHE,SONCHE,SIERRA,-6.196994270999937,-77.75883468799998,2487.8150001238164,quechua,511.9534452873935,18275.40063562448,5.22444931157453
1012104,010121,AMAZONAS,CHACHAPOYAS,SONCHE,PANA,SIERRA,-6.192399511999952,-77.81290204799996,2479.823185327782,quechua,82.97632556498148,2962.038066021366,0.846767632810042
1020101,010201,AMAZONAS,BAGUA,BAGUA,ESPITAL,SELVA BAJA,-5.5206172849999575,-78.52385627399997,561.6112004586978,selva alta,2451.733231883176,87520.4717866224,25.019767155363
1020102,010201,AMAZONAS,BAGUA,BAGUA,CASUAL,SELVA BAJA,-5.596890347999931,-78.53215139499997,518.5667202105228,selva alta,1431.5290577126138,51101.8478185056,14.60865449565862
1020103,010201,AMAZONAS,BAGUA,BAGUA,TOMAQUE,SELVA BAJA,-5.64842828899998,-78.50435201399995,476.1554278729744,selva alta,1812.024474554944,64684.540242635965,18.49158376760296
1020201,010202,AMAZONAS,BAGUA,ARAMANGO,C.N. TUTUMBEROS,SELVA ALTA,-5.313165795999964,-78.51111403499993,1753.0826065393744,ceja de selva,8495.611122226544,303271.12422497565,86.6971207782481
1020202,010202,AMAZONAS,BAGUA,ARAMANGO,ARAMANGO,SELVA ALTA,-5.36953535899994,-78.40615452399999,1090.0372740738626,ceja de selva,8712.072764484386,310998.2393971112,88.90609678629397
1020203,010202,AMAZONAS,BAGUA,ARAMANGO,EL PORVENIR,SELVA ALTA,-5.49830690899995,-78.41505827499998,1124.8812063120754,ceja de selva,10135.98733871782,361828.27004650433,103.43704600750428
1020301,010203,AMAZONAS,BAGUA,COPALLIN,CHONZA LAGUNA,SELVA ALTA,-5.62249197899996,-78.38602246499994,1428.0347304438646,ceja de selva,1816.3688940869413,64839.62467112715,18.535918266847112
1020302,010203,AMAZONAS,BAGUA,COPALLIN,LLUHUANA,SELVA ALTA,-5.6090972089999696,-78.35347197699997,1946.8496223479958,ceja de selva,707.0132400866817,25238.525760914992,7.215020954437355
1020303,010203,AMAZONAS,BAGUA,COPALLIN,COPALLIN,SELVA ALTA,-5.681337638999935,-78.42906131199999,653.6703975381081,selva alta,581.064186145348,20742.47354826973,5.929719616563015
1020304,010203,AMAZONAS,BAGUA,COPALLIN,ALENYA,SELVA ALTA,-5.697706838999977,-78.45312564499994,587.7719308706289,selva alta,1174.975487923653,41943.555564488495,11.990543154863763
1020401,010204,AMAZONAS,BAGUA,EL PARCO,SAN JOSE,SELVA ALTA,-5.610698781999929,-78.47618106699997,596.9063618423929,selva alta,525.4246732502878,18756.288283401744,5.361922256242962
1020402,010204,AMAZONAS,BAGUA,EL PARCO,EL PARCO,SELVA ALTA,-5.632107520999966,-78.47221561599997,648.1847286240403,selva alta,463.09592068834166,16531.314636532683,4.7258616702442495
1020501,010205,AMAZONAS,BAGUA,IMAZA,KUN CHIN,SELVA BAJA,-4.831778896999936,-78.51057780299999,696.3110614278281,selva alta,8905.803324895121,317913.9143270508,90.88310368464708
1020502,010205,AMAZONAS,BAGUA,IMAZA,MESONES MURO,SELVA BAJA,-4.83976759799998,-78.24579393399995,596.3702820580896,selva alta,12288.302687165404,438660.30555512814,125.40127448178656
1020503,010205,AMAZONAS,BAGUA,IMAZA,VILLA RICA,SELVA BAJA,-5.10543064999996,-78.21429088499997,603.8687461458758,selva alta,3988.703779591119,142386.30535621537,40.7044447247764
1020504,010205,AMAZONAS,BAGUA,IMAZA,PUERTO PACUI,SELVA BAJA,-5.237204150999958,-78.17914615299998,973.9258400742875,selva alta,3649.712684616751,130285.2088022351,37.24506417158073
1020505,010205,AMAZONAS,BAGUA,IMAZA,CHIRIACO,SELVA BAJA,-5.309673997999937,-78.29163016499996,495.0805547944045,selva alta,8162.151556992115,291367.48883285647,83.29418910142546
1020506,010205,AMAZONAS,BAGUA,IMAZA,SAN RAMON,SELVA BAJA,-5.141538210999954,-78.52711778199995,1601.744544483079,ceja de selva,6455.563409897253,230446.7500522855,65.87857572426405
1020601,010206,AMAZONAS,BAGUA,LA PECA,SAN ISIDRO,SELVA ALTA,-5.543315284999949,-78.49364488999998,799.900128215516,selva alta,740.6826680351113,26440.436385003908,7.558615125519716
1020602,010206,AMAZONAS,BAGUA,LA PECA,ARRAYAN,SELVA ALTA,-5.581016859999977,-78.44363715799994,1118.2494804702037,ceja de selva,3230.6073881555235,115324.24453517867,32.9681237627806
1020603,010206,AMAZONAS,BAGUA,LA PECA,SAN FRANCISCO,SELVA ALTA,-5.623499759999959,-78.42013388299995,995.7431560931977,selva alta,2695.797168489705,96232.91676233316,27.51042265797096
1020604,010206,AMAZONAS,BAGUA,LA PECA,LIMONYACO ALTO,SELVA ALTA,-5.566385922999928,-78.49600809299994,638.0716565490716,selva alta,588.5027834477468,21008.0120403334,6.005629984807107
1030101,010301,AMAZONAS,BONGARA,JUMBILLA,CEBADA - LAS PALMAS,SELVA ALTA,-5.88973882199997,-77.84537896899997,2664.9316464880676,ceja de selva,962.3576470987596,34353.65406245823,9.820792873170658
1030102,010301,AMAZONAS,BONGARA,JUMBILLA,JUMBILLA,SELVA ALTA,-5.908665443999951,-77.80093414399994,2146.449771356841,ceja de selva,765.632427321629,27331.0776160001,7.813225684210701
1030103,010301,AMAZONAS,BONGARA,JUMBILLA,JUMPAMPA,SELVA ALTA,-5.980345874999955,-77.79285837099997,3217.325797395871,ceja de selva,1940.2041636316512,69260.2203025906,19.79964858193136
