k,ha_cosechada,g_fert,g_plag,n_cultivos,gasto_ha,dep,ua_total,ua_objetivo_5_mas,share_comercial,productores,compradores_insumos,compran_a_credito,tasa_fert,tasa_pest,tasa_credito,tam_usd,tasa_compra,ha_sam,sam_usd,clientes_sam,ticket_anual,densidad,score,rank,pct_sam,pct_acum,horas_capital,horas_puerto,pct_bajo_2h,pct_sobre_4h,costo_viaje,pct_sin_puerto,mes_pico,pct_pico,pct_top4,demanda_anual,continuidad,costo_pct_ticket,score_v3,rank_v2,rank_v3,mov,pct_sam_v3,pct_acum_v3,arquetipo
junin,283502.24,68777508.75333333,40897929.105066665,91.0,386.8591580031255,Junín,132063.0,29074.0,0.7750811323144658,135849.0,16573.080423737156,3595.970983545732,0.5700309700673164,0.4597426985605355,0.1236833935318749,109675437.8584,0.5700309700673164,125257.03047697362,48456829.34429384,16573.080423737156,2923.827562852497,170.9222098008603,75.49862249127709,2,9.4591478207542,20.02117999021582,2.0737004069307297,7.286375614804161,77.29357798165137,3.89908256880734,74.65321464950627,0.0,Oct,16.864366007455637,50.28357686600551,91291128.48933332,49.71642313399449,2.553270090137406,78.0717844004561,2,1,1,9.4591478207542,9.4591478207542,Red de canal
lalibertad,278106.52,78413534.93824,51624182.57061333,101.0,467.5824123391761,La Libertad,126100.0,21886.0,0.6455083057947524,127279.0,14107.358065027756,1104.1929579698651,0.6445836637589215,0.573005551149881,0.0504520222045995,130037717.50885336,0.6445836637589215,115715.7035078694,54106627.79173444,14107.358065027756,3835.34801784504,194.55361129877295,76.60752406400348,1,10.562032169461622,10.562032169461622,1.4050001468504063,3.098517079879922,72.1763085399449,0.8264462809917356,50.58000528661462,0.0,Dic,18.038288884092115,55.1700340150127,107778756.75946668,44.8299659849873,1.318785284967019,76.4132469558482,1,2,-1,10.562032169461622,20.02117999021582,Operación mixta
sanmartin,553252.8,123327455.33573334,83994791.50986665,42.0,374.7332988565082,San Martín,90651.0,40673.0,0.9007916342443348,91224.0,10249.572668806744,4369.214614289969,0.2519994263714686,0.2403172607031362,0.1074229738226826,207322246.8456,0.2519994263714686,125587.8185766217,47061937.55141012,10249.572668806744,4591.599969297947,85.06407477993807,63.15222027380638,3,9.186854155621988,29.208034145837807,1.320263593839751,11.905398447077513,91.56626506024097,0.8032128514056224,47.52948937823103,1.2048192771084338,Feb,10.603601953961675,38.969536415253366,193283677.2616,61.030463584746634,1.0351400317109565,73.63470124921598,3,3,0,9.186854155621987,29.208034145837807,Operación mixta
lambayeque,130124.67,40750422.66933333,28816843.053066667,67.0,534.6201125612845,Lambayeque,57324.0,9518.0,0.6091279250404723,59102.0,7442.184704486776,1794.379771125532,0.7819063568487893,0.770026515944456,0.1885248761426278,69567265.7224,0.7819063568487893,61975.90752588504,33133566.657576416,7442.184704486776,4452.129041839114,254.629400078989,60.47217762506557,4,6.467928444429579,35.67596259026739,1.4954872937048442,1.619832417770855,91.4691943127962,0.0,53.83754257337441,0.0,Ene,32.10341530429648,65.53654089092248,66923976.80266666,34.46345910907752,1.2092538663509818,61.38463572963191,4,4,0,6.467928444429579,35.67596259026739,Campaña estacional
ica,110514.94,38778744.7816,26550024.545066666,72.0,591.130659136825,Ica,32291.0,6792.0,0.7648133074771548,32522.0,3863.6848657520673,974.913133690502,0.5688581957821065,0.5335852095010993,0.1435384472453625,65328769.32666667,0.5688581957821065,48081.77011183071,28422608.45867178,3863.6848657520673,7356.347488536519,257.18340396937987,52.12110398769082,6,5.548312972599695,47.31298205231655,1.0350419709438958,1.9541976074576028,95.1923076923077,0.0,37.26151095398025,0.0,Ene,9.760508417762251,38.58014183252345,64088275.993706666,61.41985816747655,0.5065218984291496,60.88337497184024,6,5,1,5.548312972599695,41.224275562867085,Venta directa consultiva
piura,229836.99322615183,65183714.11897384,43141233.51895558,57.0,471.3120638997453,Piura,139981.0,13471.0,0.4861990364455094,142850.0,7977.839135311221,2046.041469913774,0.5922232302955401,0.5163343596630972,0.1518848986648188,108324947.6379294,0.5922232302955401,66178.88780020649,31190908.195705,7977.839135311221,3909.6937988695377,135.7088245799239,54.79581250188973,5,6.088706489449466,41.76466907971685,1.3063771184726347,2.9919890808935925,89.87730061349694,0.3067484662576687,47.029576265014846,0.0,Feb,19.164310682378897,54.49013024930785,118780380.90666668,45.50986975069215,1.202896663636757,60.285913762172825,5,6,-1,6.088706489449467,47.31298205231655,Operación mixta
huanuco,399748.75,47600341.95413333,46553966.55173333,84.0,235.53371587995372,Huánuco,106356.0,26631.0,0.8417778042391045,106926.0,11801.862828613335,1084.2099176351123,0.4431625860318177,0.4023092256196171,0.0407123246455301,94154308.50586666,0.4431625860318177,149124.04402363126,35123740.21593168,11801.862828613335,2976.118323522199,87.86454045430204,46.14049620752876,11,6.856425713693351,75.35094650986058,1.7687253113773949,9.28967259214709,76.92307692307693,1.4423076923076923,63.67411120958621,0.0,Oct,13.404710184499402,42.87271538968817,110701729.59786664,57.12728461031183,2.1395020052236595,58.412793691067876,11,7,4,6.856425713693351,54.1694077660099,Red de canal
arequipa,133942.46020272726,34880505.542060606,24215583.746070087,81.0,441.20504579866906,Arequipa,53208.0,10090.0,0.8851114965774322,58202.0,5742.281047962711,1522.185197714629,0.5691061494512103,0.5421741091565179,0.1508607728161178,59096089.28813069,0.5691061494512103,67469.81693286462,29768023.669892352,5742.281047962711,5184.006742486711,222.2448626435356,48.61078475759333,7,5.810948426372431,53.123930478688976,1.6549297741148894,3.7306465220049536,75.11520737327189,1.8433179723502304,59.577471868136016,0.0,Nov,14.751460176672332,46.8732923985721,59748102.09066667,53.1267076014279,1.1492552928192636,54.900263552713824,7,8,-1,5.8109484263724305,59.98035619238233,Venta directa consultiva
lima,132510.059,39781954.3848,27236882.76381333,89.0,505.7641484305228,Lima,77241.0,8761.0,0.6384228520136753,78518.0,5448.105449178545,1098.8538211571574,0.621858857342603,0.580443028961303,0.1254256159293639,67018837.14861333,0.621858857342603,52607.67345881642,26607075.1678093,5448.105449178545,4883.729842604472,200.792870885442,47.916432111822736,8,5.193906834101679,58.31783731279066,1.3691162067811633,1.9807495181545087,75.28868360277137,5.080831408775981,49.28818344412188,0.0,Feb,11.195718264104809,40.74253434397639,61827348.95402668,59.25746565602361,1.0092323906646872,54.80056257342769,8,9,-1,5.1939068341016785,65.17426302648401,Operación mixta
cajamarca,379261.272,81687998.50666668,46389074.90197334,69.0,337.7014287096522,Cajamarca,329650.0,35384.0,0.5061530322107491,339979.0,13064.869795237371,882.9630941908085,0.3692310025784923,0.2833035037160625,0.0249537388138935,128077073.40864,0.3692310025784923,70879.1498367226,23935990.16558673,13064.869795237371,1832.0879228595363,63.11213913132352,44.252914858125024,12,4.672490385280764,80.02343689514134,1.634103865072407,5.198989765782455,73.42047930283225,1.5250544662309369,58.82773914260665,0.0,Oct,15.740103832503175,48.1545351927776,124724725.71370669,51.8454648072224,3.210967028852408,52.898687566507284,12,10,2,4.672490385280763,69.84675341176478,Red de canal
