cultivo,total,abono,fertilizantes,plaguicidas,semillas,jornales,riego,asistencia_tecnica,insumos_soles,pct_insumos,insumos_usd,total_usd
camote,3011.0,384.5,741.0,472.7,404.3,580.4,108.8,29.0,1598.2,53.07871139156426,426.18666666666667,802.9333333333333
granadilla,2543.4,161.8,614.4,689.5,523.2,414.1,6.1,0.0,1465.7,57.62758512227727,390.85333333333335,678.24
maíz choclo,2772.5,251.9,825.2,356.2,305.2,246.6,7.4,0.0,1433.3000000000002,51.6970243462579,382.21333333333337,739.3333333333334
plátano,13352.2,420.9,510.4,481.6,0.0,9499.4,375.6,208.4,1412.9,10.581776785848025,376.77333333333337,3560.586666666667
orégano,3212.3,540.2,526.7,337.7,0.0,537.2,492.5,0.0,1404.6000000000001,43.72567941973041,374.56000000000006,856.6133333333333
algodón,5003.9,157.0,711.0,465.4,257.3,1259.4,371.1,0.0,1333.4,26.647215172165712,355.5733333333334,1334.3733333333332
lechuga,16568.5,469.7,466.9,395.5,2408.7,10961.1,73.9,0.0,1332.1,8.039955336934545,355.22666666666663,4418.266666666666
caña de azúcar para alcohol,4457.3,4.7,1314.1,3.0,299.1,2836.4,0.0,0.0,1321.8,29.654723711664012,352.47999999999996,1188.6133333333335
papaya,3940.3,124.0,557.0,521.7,0.0,2164.9,0.0,0.0,1202.7,30.52305662005431,320.72,1050.7466666666667
chirimoya,6542.5,155.8,227.3,805.2,0.0,4676.9,76.2,0.0,1188.3000000000002,18.16278181123424,316.88000000000005,1744.6666666666667
rocoto,2102.5,103.8,392.6,665.4,131.5,558.6,52.4,0.0,1161.8,55.25802615933413,309.81333333333333,560.6666666666666
cacao,5671.2,55.1,788.7,212.5,0.0,4141.3,0.0,4.2,1056.3000000000002,18.625687685146005,281.68000000000006,1512.32
tuna,9872.6,239.9,724.6,75.0,0.0,7858.6,6.9,0.0,1039.5,10.529141259647915,277.2,2632.6933333333336
pallar grano seco,3633.3,34.7,474.1,512.0,226.6,356.4,89.1,0.0,1020.8,28.09567060248259,272.2133333333333,968.88
maíz amarillo duro,3067.2,48.3,589.3,347.4,154.5,909.1,106.9,0.0,984.9999999999999,32.11398017736045,262.66666666666663,817.92
haba grano verde,3674.2,368.4,374.1,228.1,509.9,1481.1,104.7,0.0,970.6,26.416634913722717,258.82666666666665,979.7866666666666
alfalfa,3608.7,222.5,337.8,355.0,0.0,2579.1,65.2,0.0,915.3,25.36370438107906,244.07999999999998,962.3199999999999
café,2130.1,159.3,349.3,261.1,0.0,1230.3,0.0,0.0,769.7,36.134453781512605,205.25333333333336,568.0266666666666
trébol,1336.9,260.3,488.8,6.1,0.0,333.8,19.2,0.0,755.2,56.48889221332934,201.38666666666668,356.5066666666667
rye grass,9624.9,481.7,235.6,12.1,0.0,7252.2,0.0,318.6,729.4,7.578260553356399,194.50666666666666,2566.64
avena forrajera,1504.4,150.0,505.7,14.9,424.5,1.8,0.0,0.0,670.6,44.57591066205796,178.82666666666668,401.17333333333335
maíz amiláceo,1421.2,99.3,394.9,138.7,288.4,422.7,40.3,0.0,632.9,44.53278919223192,168.77333333333334,378.9866666666667
frijol grano seco,1281.6,41.6,292.5,285.4,417.4,83.1,5.1,0.0,619.5,48.33801498127341,165.2,341.76
arveja grano verde,2783.4,194.3,223.3,176.0,383.5,1360.2,9.3,0.0,593.6,21.326435294962995,158.29333333333335,742.24
trigo,1290.9,75.0,387.9,85.4,362.9,379.7,0.0,0.0,548.3,42.47424277635757,146.2133333333333,344.24
yuca,3713.2,122.8,262.8,153.4,162.3,1368.0,1307.6,0.0,539.0,14.515781536141334,143.73333333333332,990.1866666666666
cebada forrajera,7692.9,98.7,402.1,15.6,183.0,0.0,0.0,0.0,516.4,6.712683123399499,137.70666666666665,2051.44
cebada,1548.2,19.3,396.4,59.6,212.7,516.1,0.0,0.0,475.3,30.700167936959048,126.74666666666667,412.85333333333335
achiote,593.2,0.0,0.0,320.0,0.0,204.9,0.0,0.0,320.0,53.94470667565745,85.33333333333333,158.18666666666667
pasto de elefante,512.9,13.4,0.0,298.5,0.0,154.4,15.1,0.0,311.9,60.81107428348606,83.17333333333333,136.77333333333334
braquearia,388.5,8.8,3.0,298.7,0.0,71.0,0.0,0.0,310.5,79.92277992277992,82.8,103.6
haba grano seco,1261.0,116.1,29.0,99.6,512.0,360.0,5.1,0.0,244.7,19.405233941316414,65.25333333333333,336.26666666666665
pijuayo,286.8,0.0,0.0,200.0,0.0,86.8,0.0,0.0,200.0,69.73500697350069,53.333333333333336,76.48
arveja grano seco,641.6,98.8,0.0,24.7,464.8,26.4,0.0,0.0,123.5,19.24875311720698,32.93333333333333,171.09333333333333
