dep,partida4,producto,fob_usd,kg
La Libertad,2008,Frutas preparadas,1831327.21,501071.0
Lima,0803,Banano y plátano,1814494.62,2151044.2
Lima,0601,Bulbos y tubérculos de flor,1803279.48,494914.0
Arequipa,0712,Hortalizas secas,1790766.54,74534.0
La Libertad,0806,Uva,1727502.54,705380.4
Lima,2001,Conservas en vinagre,1699209.69,1043539.7
Lima,0813,Frutas secas,1679843.0,156860.4
Callao,1905,Galletas y panadería,1666342.42,669127.7
Lambayeque,0806,Uva,1647295.97,384515.0
Lima,1511,Aceite de palma,1583583.08,1419337.0
Piura,0910,"Jengibre, cúrcuma y especias",1583472.68,1077188.5
La Libertad,0710,Hortalizas congeladas,1524073.04,441972.9
Ica,1212,Algarroba y otros frutos,1483891.1,1992210.0
Lambayeque,0703,Cebolla y ajo,1470975.39,3414409.0
Arequipa,1212,Algarroba y otros frutos,1421869.22,1752845.0
La Libertad,2103,Salsas y condimentos,1314043.32,280208.0
Lambayeque,2009,Jugos de fruta,1234507.64,387017.0
Callao,1511,Aceite de palma,1216209.62,914590.0
Piura,0814,Cortezas de cítricos,1215471.26,924936.9
Piura,0713,Legumbres secas,1160977.98,818000.0
Arequipa,0804,"Palta, mango, dátil y piña",1155258.55,700442.0
Callao,0810,"Arándano, fresa y otras bayas",1112668.79,141316.0
Ancash,0708,Legumbres frescas,1077547.37,287477.8
Junin,0805,Cítricos,1063619.82,1187592.0
Ancash,0714,Raíces y tubérculos,1058400.0,504000.0
Lambayeque,0810,"Arándano, fresa y otras bayas",987451.62,126846.5
La Libertad,1701,Azúcar de caña,946549.24,1680000.0
Lima,1802,Cáscara de cacao,944578.2,1453978.3
Cusco,0901,Café,940590.95,110027.0
Tacna,0711,Hortalizas conservadas provisionalmente,935827.0,1257435.0
Lima,0711,Hortalizas conservadas provisionalmente,922078.98,703751.9
Lambayeque,0709,Hortalizas frescas (espárrago y otras),906448.53,261275.0
Callao,0710,Hortalizas congeladas,872447.46,296024.3
La Libertad,0803,Banano y plátano,843074.0,1042027.2
La Libertad,2006,Frutas confitadas,835611.81,184964.0
Ayacucho,1211,Plantas para perfumería,834868.5,259456.0
Lima,1901,Preparaciones de harina y malta,834809.67,208143.6
Lambayeque,3301,Aceites esenciales,802545.0,21780.0
Tacna,2202,Bebidas no alcohólicas,801912.24,813034.9
Arequipa,0904,Pimienta y ají,799408.75,192200.0
Callao,1207,Semillas oleaginosas,797922.5,1704.7
Huanuco,1801,Cacao en grano,792427.46,108341.0
Callao,0904,Pimienta y ají,749744.74,181701.0
Loreto,1801,Cacao en grano,734730.72,150238.0
La Libertad,0703,Cebolla y ajo,726910.5,1842870.0
Piura,2008,Frutas preparadas,685259.84,445084.1
Lima,1302,Extractos vegetales (tara y otros),650359.6,136374.9
Tumbes,0713,Legumbres secas,649563.62,499671.5
Piura,1515,Otros aceites vegetales,637911.48,89240.0
Ancash,2008,Frutas preparadas,624072.46,205810.0
Arequipa,2001,Conservas en vinagre,622386.71,169924.5
Piura,1207,Semillas oleaginosas,621123.6,251130.0
Lima,0702,Tomate,618838.22,1078200.0
Lima,2309,Alimento balanceado,593358.04,226960.6
Ucayali,1209,Semillas para siembra,574800.0,40000.0
Ica,1209,Semillas para siembra,572842.01,2140.0
Huanuco,1805,Cacao en polvo,562749.14,53023.3
Lima,2202,Bebidas no alcohólicas,553431.56,385618.3
Callao,1901,Preparaciones de harina y malta,552104.85,205837.0
Moquegua,0810,"Arándano, fresa y otras bayas",551200.0,77268.0
Callao,2102,Levaduras,544690.99,509610.0
San Martin,1207,Semillas oleaginosas,540480.0,240000.0
Tacna,0804,"Palta, mango, dátil y piña",530655.34,379890.0
Tacna,2103,Salsas y condimentos,525114.21,244184.0
Lima,0712,Hortalizas secas,492769.19,92804.0
Lima,1104,Granos aplastados y copos,478927.71,274841.1
Tacna,1905,Galletas y panadería,467349.66,200278.6
Lima,1701,Azúcar de caña,460580.98,657829.9
Tacna,0805,Cítricos,458660.0,255020.0
Junin,0813,Frutas secas,447254.08,40220.0
Huanuco,1803,Pasta de cacao,442835.18,46578.0
Ica,1207,Semillas oleaginosas,440237.13,114215.0
Lima,1102,Harinas de cereales,431132.44,134609.4
San Martin,1804,Manteca de cacao,410346.22,56565.3
Ayacucho,1801,Cacao en grano,407709.13,75326.0
Lambayeque,1207,Semillas oleaginosas,402422.9,120847.0
Callao,0910,"Jengibre, cúrcuma y especias",392968.42,164535.0
Lima,0704,Coles y brócoli,377556.04,100907.8
Lima,2101,Extractos de café y té,376233.35,60016.8
Huanuco,1804,Manteca de cacao,363437.0,40209.3
San Martin,1805,Cacao en polvo,357565.96,48902.8
Lambayeque,0814,Cortezas de cítricos,356425.72,269000.6
Tumbes,0804,"Palta, mango, dátil y piña",338882.36,212400.0
Cusco,1211,Plantas para perfumería,330411.34,44966.0
Lima,0602,Plantas vivas,322972.84,1320.3
Arequipa,1704,Confitería sin cacao,305972.61,9286.4
Piura,0901,Café,298681.1,43401.0
Ica,0803,Banano y plátano,293550.0,14677.5
Ica,0710,Hortalizas congeladas,285642.76,63855.8
Arequipa,1211,Plantas para perfumería,257891.56,20503.5
Callao,2106,Preparaciones alimenticias,252562.69,49570.8
Lima,2006,Frutas confitadas,249572.7,105929.1
Callao,0806,Uva,241152.0,130872.0
Lima,2302,Salvados y afrecho,240855.02,764813.0
Junin,2009,Jugos de fruta,240686.95,82739.4
Callao,2008,Frutas preparadas,239716.51,104738.5
Tacna,0910,"Jengibre, cúrcuma y especias",235609.9,333860.8
Ica,0813,Frutas secas,228870.0,20823.0
Callao,1513,Aceite de coco y palmiste,224072.02,134590.0
Lima,2105,Helados,221963.29,29771.0
Piura,0904,Pimienta y ají,218192.52,75355.4
Callao,3302,Mezclas odoríferas,215462.93,4858.0
Lambayeque,0805,Cítricos,214774.3,276080.0
Arequipa,1008,Quinua y cereales andinos,200830.0,57783.2
Madre De Dios,2008,Frutas preparadas,197911.99,16400.0
Lima,0802,Nueces,195000.0,25000.0
Lima,1507,Aceite de soya,192264.58,33131.3
Piura,1801,Cacao en grano,190000.0,19000.0
Tacna,0709,Hortalizas frescas (espárrago y otras),189185.0,1891850.0
