partida4,producto,fob_usd,kg,empresas,destinos,descripcion
1212,Algarroba y otros frutos,5086068.46,6528397.9,27,10,DRIED CHOPPED SEAWEEDS MACROCYSTIS INTEGRIFOLIA FOR INDUSTRI
2104,Sopas y caldos,4657659.39,1789136.4,26,13,SOPA INSTANTANEA CON FIDEOS SABOR GALLINA PICANTE AJI-NO-MEN
0712,Hortalizas secas,4620303.49,551140.9,45,19,HONGO DESHIDRATADO EN TROZOSEN BOLSAS DE PAPEL KRAFT CON 20.
2002,Tomate preparado,4488352.79,4878162.5,1,10,PASTA CONCENTRADA DE TOMATE HB 30/32 BRIXFORMA DE PRESENTACI
1006,Arroz,4225083.9,7930696.6,21,7,"ARROZ EN GRANO SEMIBLANQUEADO, S/MEN SACOS X 50 KGPARA SU CO"
0714,Raíces y tubérculos,4133716.29,4062025.1,53,11,CAMOTE MORADO FRESCOEN MALLAS
1516,Grasas y aceites hidrogenados,4063875.56,1723686.4,6,8,MANTECA DE PALMA NH 3942 B 10KG 1CJA EXEN CAJAS DE CARTONMAN
1106,Harinas de legumbres y frutas,3995582.52,684005.0,78,39,MUCILAGO DE CACAO LIOFILIZADO PULVERIZADO FREEZE DRIED COCOA
1005,Maíz,3936333.75,1875307.1,74,21,MAIZ EN GRANO SECO
2208,Pisco y licores,3750085.98,1088508.5,34,18,TABERNERO DESTILADO DE UVA QUEBRANTA (6 BOT X 2 L) CAJ X 6 B
2302,Salvados y afrecho,3367389.99,10700174.0,6,1,DERIVADO TRIGO AFRECHO MARCA:S/M EN SACOS DE 40 KG. C/U USO:
1302,Extractos vegetales (tara y otros),3029788.51,800662.2,42,36,HARINA DE GOMA DE TARA SOLGUM HP2 TARA GUM POWDER SOLGUM HP2
3302,Mezclas odoríferas,2961662.68,307520.4,37,22,SILLAO CAYPI 18 UNID. X 1 LT.
0603,Flores cortadas,2863601.21,332627.4,9,10,RAMOS DE FLORES FRESCAS WAX FLOWERCODIGO No13 RESTITUCION DE
1904,Cereales inflados y hojuelas,2791514.29,787412.2,85,25,FIDEOS ESPIRALES DON BITUTE 12 UNID. X 400 GR
0602,Plantas vivas,2764814.0,254874.1,9,9,PLANTAS DE ARANDANO VARIEDAD PLABLUE 1502 1L (BLUE MADEIRA) 
1704,Confitería sin cacao,2669721.28,567974.8,48,14,CANDY SURTIDO 18bx400gx100u
2007,Mermeladas y purés,2368188.01,1557034.5,28,18,"JALEA DE UVA PAMPA (12/19 OZ.) MARCA: PAMPA, MODELO: S/M, PE"
0813,Frutas secas,2364534.14,218244.8,21,16,AGUAYMANTO DESHIDRATADO ORGANICO ORGANIC RAW DRIED GOLDEN BE
0711,Hortalizas conservadas provisionalmente,1946818.35,2062258.9,24,4,ACEITUNA VERDE Y MULATA EN SALMUERAEN BIDONES
1703,Melaza,1872673.86,10618512.2,8,3,AGROLMOS MELAZA TM.MELAZA DE CANA DE AZUCAR A GRANEL.PRESENT
0205,Carne de equino,1333372.48,373765.0,4,2,CARNE CONGELADA DE EQUINO
2006,Frutas confitadas,1098299.51,296993.0,6,10,HORTALIZAS Y FRUTOS CONFITADOS CONSUMO HUMANO
1802,Cáscara de cacao,969901.4,1510578.3,7,7,CASCARILLA CACAO TRITURADA BOLSA X 25 KG
2203,Cerveza,895678.18,772463.0,10,14,CERVEZA CUSQUENA DORADA 330ML 6X4 EXP USA H MARCA: CUSQUENA 
1202,Maní,839941.74,1186985.1,5,3,MANI SIN CASCARAEMBALAJE : 800 SACOSX 50 KILOS CADA SACOPARA
0105,Aves vivas,816543.8,21540.8,3,2,PAVO BB DE CARNE MACHO EXPORTACION SELEC PAVO BB DE CARNE HE
1104,Granos aplastados y copos,757502.93,464808.6,49,16,MAIZ MOTE PRECOCIDO
1509,Aceite de oliva,739082.6,203125.9,8,6,ACEITE DE OLIVA EXTRA VIRGEN EXTRA VIRGIN OLIVE OIL EN FLEXI
0408,Huevos sin cáscara,704400.3,61490.0,1,1,YD25P - YEMA HIDROLIZADA PASTEURIZADA DESHIDRATADA 15KG BOX/
2401,Tabaco en rama,667387.46,76760.0,3,2,TABACO PARA RELLENO PESADO (HOJA CON VENA) DE EXPORTACION. C
