codigo,aduana,partida4,producto,fob_usd,kg
019,Tumbes,2102,Levaduras,544690.99,509610.0
235,Aérea del Callao,1211,Plantas para perfumería,528657.89,65032.2
370,Chancay,0904,Pimienta y ají,526854.25,144001.4
118,Marítima del Callao,0703,Cebolla y ajo,450275.74,864992.0
019,Tumbes,2106,Preparaciones alimenticias,430904.2,180332.4
118,Marítima del Callao,0803,Banano y plátano,424815.5,24589.5
118,Marítima del Callao,0708,Legumbres frescas,394553.48,154219.3
172,Tacna,2106,Preparaciones alimenticias,389080.72,53945.7
262,Desaguadero,1806,Chocolate,387185.96,64022.6
262,Desaguadero,2106,Preparaciones alimenticias,384289.26,23520.9
118,Marítima del Callao,2101,Extractos de café y té,336565.8,58371.0
262,Desaguadero,2002,Tomate preparado,330682.89,335183.0
019,Tumbes,0810,"Arándano, fresa y otras bayas",319276.17,84002.0
172,Tacna,0805,Cítricos,271056.0,156240.0
235,Aérea del Callao,1806,Chocolate,270916.75,20661.8
019,Tumbes,1801,Cacao en grano,246918.16,46800.0
172,Tacna,0904,Pimienta y ají,239928.67,206327.7
172,Tacna,0709,Hortalizas frescas (espárrago y otras),235285.01,2377850.0
172,Tacna,0703,Cebolla y ajo,230979.6,2723260.0
091,Chimbote,0704,Coles y brócoli,229470.68,55651.8
055,Chiclayo,0710,Hortalizas congeladas,225343.94,49487.8
118,Marítima del Callao,2105,Helados,221963.29,29771.0
163,Ilo,0804,"Palta, mango, dátil y piña",221634.0,184695.0
046,Paita,0904,Pimienta y ají,219049.99,116029.3
046,Paita,0703,Cebolla y ajo,218041.0,374243.6
118,Marítima del Callao,0802,Nueces,195000.0,25000.0
145,Mollendo Matarani,0805,Cítricos,187604.0,98780.0
145,Mollendo Matarani,1211,Plantas para perfumería,182555.55,9990.3
046,Paita,0813,Frutas secas,167940.0,15080.0
235,Aérea del Callao,1803,Pasta de cacao,167829.34,9008.4
046,Paita,0910,"Jengibre, cúrcuma y especias",165059.44,80480.0
118,Marítima del Callao,0711,Hortalizas conservadas provisionalmente,157231.8,67371.9
235,Aérea del Callao,0705,Lechuga,154588.98,39728.3
172,Tacna,0708,Legumbres frescas,143408.4,1448294.0
235,Aérea del Callao,0803,Banano y plátano,142110.9,39475.3
262,Desaguadero,2006,Frutas confitadas,140805.0,60100.0
145,Mollendo Matarani,1212,Algarroba y otros frutos,136247.22,140295.0
172,Tacna,0910,"Jengibre, cúrcuma y especias",135053.5,449757.3
262,Desaguadero,1804,Manteca de cacao,130047.8,18000.0
118,Marítima del Callao,1208,Harinas,129059.44,22325.6
019,Tumbes,2009,Jugos de fruta,127655.25,26055.0
